,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2016-10-27,23-146,WAS,AWAY,ATL,L (-15),1,25:48,.672,.714,7.4,17.7,12.1,6.1,3.6,0.0,0.0,11.4,140,108,11.2,3.2
1,2016-10-30,23-149,WAS,AWAY,MEM,L (-9),1,36:09,.421,.400,10.0,3.4,6.7,0.0,1.5,0.0,0.0,20.4,96,118,7.5,-5.2
2,2016-11-02,23-152,WAS,HOME,TOR,L (-10),1,38:28,.856,.846,15.1,33.0,24.2,0.0,1.3,0.0,13.0,18.8,148,120,21.6,5.6
3,2016-11-04,23-154,WAS,HOME,ATL,W (+3),1,37:57,.571,.571,0.0,0.0,0.0,9.8,0.0,0.0,12.5,8.8,107,99,4.3,-0.8
4,2016-11-05,23-155,WAS,AWAY,ORL,L (-2),1,28:47,.625,.625,10.6,37.1,23.6,0.0,0.0,0.0,0.0,12.9,144,98,9.5,2.8
5,2016-11-07,23-157,WAS,HOME,HOU,L (-8),1,38:54,.639,.538,7.9,17.6,12.0,7.8,3.9,2.9,0.0,16.7,153,115,21.2,8.4
6,2016-11-09,23-159,WAS,HOME,BOS,W (+25),1,38:16,.837,.816,20.4,20.9,20.7,17.6,4.1,7.5,0.0,22.8,186,93,40.4,27.2
7,2016-11-11,23-161,WAS,HOME,CLE,L (-11),1,33:36,.500,.500,9.7,14.6,12.3,23.1,0.0,2.7,15.4,16.8,105,111,9.9,2.1
8,2016-11-12,23-162,WAS,AWAY,CHI,L (-11),1,28:35,.300,.292,3.4,9.9,6.7,5.1,0.0,4.1,13.1,23.2,62,111,-0.3,-11.5
9,2016-11-16,23-166,WAS,AWAY,PHI,L (-7),1,41:04,.400,.353,12.4,27.5,18.8,3.6,4.8,2.4,0.0,19.4,101,102,15.2,2.4
10,2016-11-17,23-167,WAS,HOME,NYK,W (+7),1,39:12,.727,.714,3.7,21.4,13.4,3.6,2.6,2.1,12.2,19.4,126,113,17.8,4.4
11,2016-11-19,23-169,WAS,HOME,MIA,L (-3),1,36:51,.333,.333,3.0,17.8,10.5,3.3,5.6,2.2,0.0,10.7,90,110,7.6,-0.6
12,2016-11-21,23-171,WAS,HOME,PHO,W (+5),1,23:11,.514,.429,7.8,32.9,19.2,13.4,4.1,0.0,10.2,17.3,111,89,10.4,3.7
13,2016-11-25,23-175,WAS,AWAY,ORL,W (+3),1,33:37,.633,.633,6.8,16.2,11.6,10.0,0.0,0.0,0.0,20.7,128,102,14.4,4.3
14,2016-11-26,23-176,WAS,HOME,SAS,L (-12),1,37:31,.829,.813,5.8,22.6,13.1,11.2,4.1,0.0,10.6,11.4,156,116,16.1,7.4
15,2016-11-28,23-178,WAS,HOME,SAC,W (+6),1,29:37,.759,.778,4.3,28.1,17.3,0.0,5.0,0.0,0.0,14.8,150,80,15.2,11.5
