,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,8,Luke Babbitt,SF,6-9,225,1989-06-20,US,7,Nevada
1,24,Kent Bazemore,SG,6-4,195,1989-07-01,US,5,Old Dominion
2,3,Marco Belinelli,SG,6-5,220,1986-03-25,IT,10,
3,95,DeAndre' Bembry,SF,6-5,210,1994-07-04,US,1,Saint Joseph's
4,16,Nicolás Brussino,SF,6-7,195,1993-03-02,AR,1,
5,34,Tyler Cavanaugh,PF,6-9,238,1994-02-09,US,R,George Washington
6,0,Antonius Cleveland,SG,6-5,195,1994-02-02,US,R,SE Missouri State
7,20,John Collins,PF,6-9,235,1997-09-23,US,R,Wake Forest
8,14,Dewayne Dedmon,C,7-0,245,1989-08-12,US,4,USC
9,5,Malcolm Delaney,PG,6-3,190,1989-03-11,US,1,Virginia Tech
10,2,Tyler Dorsey,SG,6-5,183,1996-02-18,US,R,Oregon
11,6,Jeremy Evans,SF,6-9,200,1987-10-24,US,6,Western Kentucky
12,7,Ersan İlyasova,PF,6-9,235,1987-05-15,TR,9,
13,8,Damion Lee,SG,6-5,210,1992-10-21,US,R,"Drexel, Louisville"
14,11,Josh Magette,PG,6-1,160,1989-11-28,US,R,Alabama-Huntsville
15,3,Jaylen Morris,SG,6-5,185,1995-09-19,US,R,Molloy
16,31,Mike Muscala,C,6-10,240,1991-07-01,US,4,Bucknell
17,18,Miles Plumlee,C,6-11,249,1988-09-01,US,5,Duke
18,12,Taurean Prince,SF,6-7,218,1994-03-22,US,1,Baylor
19,17,Dennis Schröder,PG,6-3,172,1993-09-15,DE,4,
20,22,Isaiah Taylor,PG,6-3,170,1994-07-11,US,1,Texas
21,4,Andrew White,SF,6-7,210,1993-06-16,US,R,"Nebraska, Syracuse"
