,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-11-26,26-081,BRK,AWAY,MEM,W (+10),1,37:06,.597,.600,3.6,15.4,10.0,4.6,0.0,2.4,8.4,15.2,122,105,9.8,1.1
1,2017-11-27,26-082,BRK,AWAY,HOU,L (-14),1,28:14,.455,.455,0.0,15.1,8.0,5.1,0.0,0.0,15.4,20.8,76,121,3.4,-8.5
2,2017-11-29,26-084,BRK,AWAY,DAL,W (+5),1,30:12,.533,.500,0.0,14.1,6.6,8.9,0.0,0.0,0.0,14.3,120,110,7.7,-2.5
3,2017-12-15,26-100,BRK,AWAY,TOR,L (-33),1,30:09,.375,.375,0.0,7.6,3.9,0.0,1.6,0.0,20.0,15.0,59,123,0.0,-10.5
4,2018-01-08,26-124,BRK,HOME,TOR,L (-1),1,37:24,.505,.455,5.2,10.9,8.0,8.5,0.0,0.0,7.8,14.2,107,104,6.9,-2.5
5,2018-01-10,26-126,BRK,HOME,DET,L (-34),1,25:28,.541,.429,0.0,8.6,4.2,8.1,1.9,0.0,10.7,18.0,96,120,6.2,-3.7
6,2018-02-06,26-153,BRK,HOME,HOU,L (-10),1,28:03,.383,.350,16.3,19.6,17.8,19.1,0.0,0.0,16.1,20.6,101,138,6.2,-8.3
7,2018-02-07,26-154,BRK,AWAY,DET,L (-9),1,35:41,.670,.692,2.9,13.5,8.4,27.3,0.0,2.0,27.1,21.7,98,115,12.6,1.2
8,2018-02-10,26-157,BRK,HOME,NOP,L (-10),1,34:17,.676,.625,5.4,24.2,14.2,14.0,2.8,4.1,10.1,12.1,138,107,13.9,4.3
9,2018-03-16,26-191,BRK,AWAY,PHI,L (-4),1,35:52,.619,.563,0.0,5.5,3.0,22.3,0.0,0.0,18.4,12.9,123,131,7.4,-2.0
10,2018-03-17,26-192,BRK,HOME,DAL,W (+8),1,32:14,.619,.563,0.0,9.7,5.1,4.0,0.0,0.0,10.1,14.4,116,121,6.8,-6.9
11,2018-04-03,26-209,BRK,AWAY,PHI,L (-26),1,21:33,.568,.591,0.0,0.0,0.0,0.0,0.0,0.0,8.0,25.4,90,124,5.1,-3.6
12,2018-04-05,26-211,BRK,AWAY,MIL,W (+8),1,29:26,.957,.938,0.0,13.3,8.0,31.3,0.0,0.0,0.0,14.3,197,118,18.0,10.4
13,2018-04-07,26-213,BRK,AWAY,CHI,W (+28),1,29:08,.889,.889,0.0,14.6,7.8,27.4,1.6,5.6,18.2,16.5,144,92,17.9,11.6
