,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-11-01,24-291,CHI,AWAY,MIA,L (-6),1,29:04,.500,.500,3.2,33.0,17.8,5.1,1.7,6.4,0.0,6.0,113,91,7.6,0.1
1,2017-11-03,24-293,CHI,AWAY,ORL,W (+22),1,35:27,.601,.583,0.0,14.7,7.9,4.4,2.9,2.7,0.0,17.3,125,83,13.7,2.6
2,2017-11-04,24-294,CHI,HOME,NOP,L (-6),1,19:48,.500,.500,4.2,17.1,9.7,19.9,2.6,4.8,12.5,17.7,98,89,6.2,4.1
3,2018-02-22,25-039,CHI,HOME,PHI,L (-1),1,33:10,.750,.750,6.6,22.5,14.6,9.3,1.5,2.7,6.7,18.6,143,113,18.0,7.4
4,2018-02-24,25-041,CHI,AWAY,MIN,L (-18),1,33:37,.651,.667,6.3,20.8,13.8,0.0,0.0,0.0,15.7,16.2,110,119,10.0,-4.8
5,2018-02-26,25-043,CHI,AWAY,BRK,L (-17),1,31:05,.615,.625,0.0,19.3,8.9,10.3,3.1,0.0,29.1,9.1,91,103,6.0,-3.6
6,2018-02-27,25-044,CHI,AWAY,CHO,L (-15),1,31:43,.935,.900,11.4,11.6,11.5,9.2,4.7,3.2,0.0,8.1,198,113,15.2,8.0
7,2018-03-02,25-047,CHI,HOME,DAL,W (+8),1,33:09,.506,.444,6.6,27.7,17.5,20.0,4.5,2.6,16.8,15.5,109,92,13.4,4.9
8,2018-03-05,25-050,CHI,HOME,BOS,L (-16),1,29:41,.519,.500,6.7,3.9,5.5,17.9,3.4,0.0,23.7,19.9,93,114,6.7,-3.5
9,2018-03-11,25-056,CHI,AWAY,ATL,W (+7),1,22:46,.868,1.000,0.0,16.2,7.1,10.1,2.1,0.0,0.0,10.9,173,125,8.9,-0.1
10,2018-03-13,25-058,CHI,HOME,LAC,L (-6),1,27:49,.682,.682,3.7,12.9,7.9,5.6,1.7,7.3,8.3,17.8,124,108,13.4,5.5
11,2018-03-15,25-060,CHI,AWAY,MEM,W (+1),1,13:55,.610,.500,15.7,15.3,15.5,0.0,3.5,0.0,10.9,29.5,119,110,8.6,0.9
12,2018-03-27,25-072,CHI,AWAY,HOU,L (-32),1,29:55,.338,.250,6.4,13.7,9.9,0.0,1.6,0.0,25.3,16.7,61,119,1.0,-12.0
13,2018-03-29,25-074,CHI,AWAY,MIA,L (-11),1,35:15,.517,.409,2.7,19.0,10.1,19.8,0.0,2.5,12.1,18.8,106,105,11.3,1.7
14,2018-03-30,25-075,CHI,AWAY,ORL,W (+8),1,20:39,.255,.200,0.0,4.3,2.2,8.4,2.4,0.0,25.4,16.6,46,92,-1.7,-13.2
15,2018-04-01,25-077,CHI,HOME,WAS,W (+19),1,19:51,.460,.400,13.1,24.2,18.8,36.3,5.0,0.0,8.4,27.4,115,89,11.3,6.2
16,2018-04-03,25-079,CHI,HOME,CHO,W (+6),1,31:34,.556,.556,6.1,24.8,14.7,19.8,1.5,0.0,10.0,13.3,125,112,11.5,-0.2
17,2018-04-06,25-082,CHI,AWAY,BOS,L (-7),1,26:12,.357,.357,3.7,13.7,8.2,5.9,1.8,0.0,6.7,24.9,74,113,3.3,-13.1
18,2018-04-07,25-083,CHI,HOME,BRK,L (-28),1,30:23,.276,.200,0.0,11.8,5.6,14.4,1.5,0.0,0.0,15.6,68,121,3.0,-8.1
19,2018-04-09,25-085,CHI,AWAY,BRK,L (-9),1,30:29,.500,.500,22.5,15.7,19.2,4.5,0.0,0.0,26.7,20.9,91,120,5.8,-10.3
20,2018-04-11,25-087,CHI,HOME,DET,L (-32),1,29:49,.375,.344,6.2,18.4,11.1,13.4,1.7,0.0,14.8,29.2,74,124,4.2,-9.6
