,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-10-26,23-344,CHI,HOME,ATL,W (+5),1,35:40,.359,.286,2.6,21.1,11.9,25.0,3.0,0.0,11.5,20.9,88,92,9.0,0.3
1,2017-11-17,24-001,CHI,HOME,CHO,W (+3),1,32:27,.600,.600,0.0,20.5,9.6,24.2,0.0,2.5,11.8,23.3,114,120,13.9,1.2
2,2017-11-19,24-003,CHI,AWAY,PHO,L (-8),1,36:47,.450,.450,2.6,17.8,9.6,10.3,0.0,0.0,0.0,11.0,111,114,7.0,-3.1
3,2017-11-21,24-005,CHI,AWAY,LAL,L (-9),1,37:42,.683,.708,2.3,20.0,10.7,18.0,2.6,0.0,7.4,14.9,132,100,16.7,8.8
4,2017-11-22,24-006,CHI,AWAY,UTA,L (-30),1,22:24,.200,.200,4.8,10.0,7.3,31.9,0.0,0.0,0.0,10.4,79,123,1.8,-5.3
5,2017-11-24,24-008,CHI,AWAY,GSW,L (-49),1,20:35,.500,.500,12.5,21.2,15.7,18.2,2.3,0.0,9.1,21.3,107,136,7.8,0.2
6,2017-11-26,24-010,CHI,HOME,MIA,L (-7),1,39:42,.583,.583,4.7,32.4,17.1,31.4,1.2,0.0,7.7,14.4,121,105,16.0,4.7
7,2017-11-28,24-012,CHI,HOME,PHO,L (-5),1,38:55,.357,.357,2.3,13.7,7.6,13.9,3.8,0.0,12.5,9.2,89,106,6.7,-6.8
8,2017-11-30,24-014,CHI,AWAY,DEN,L (-1),1,39:37,.417,.417,3.1,16.2,10.1,14.6,1.3,0.0,0.0,7.1,120,116,7.8,-1.5
9,2017-12-01,24-015,CHI,HOME,SAC,L (-1),1,25:35,.436,.417,4.4,24.7,13.9,9.8,0.0,0.0,0.0,12.4,108,117,4.6,-9.0
10,2017-12-04,24-018,CHI,HOME,CLE,L (-22),1,30:07,.500,.500,0.0,12.6,5.4,10.9,0.0,0.0,12.5,12.6,93,131,3.8,-8.7
11,2017-12-06,24-020,CHI,AWAY,IND,L (-2),1,32:32,.558,.538,6.9,21.1,13.9,14.0,0.0,2.8,13.0,21.5,112,104,11.1,3.7
12,2017-12-08,24-022,CHI,AWAY,CHO,W (+8),1,24:55,.444,.429,4.5,7.2,6.0,5.1,0.0,0.0,20.2,17.1,79,104,2.1,-8.5
13,2017-12-09,24-023,CHI,HOME,NYK,W (+2),1,18:30,.000,.000,0.0,32.4,16.2,12.4,2.7,0.0,16.7,14.7,22,102,-0.6,-14.1
14,2017-12-11,24-025,CHI,HOME,BOS,W (+23),1,29:47,.143,.143,3.6,17.1,10.5,12.9,1.8,0.0,0.0,11.3,68,95,1.2,-9.9
15,2017-12-13,24-027,CHI,HOME,UTA,W (+3),1,35:48,.732,.688,0.0,9.6,4.3,7.8,0.0,0.0,10.1,11.9,133,104,10.3,-0.5
16,2017-12-15,24-029,CHI,AWAY,MIL,W (+6),1,18:07,.250,.250,5.5,17.7,11.4,6.7,0.0,0.0,0.0,9.3,85,115,0.7,-10.1
17,2017-12-18,24-032,CHI,HOME,PHI,W (+2),1,21:40,.833,.833,0.0,0.0,0.0,20.2,0.0,0.0,0.0,11.5,171,115,8.7,1.0
18,2017-12-20,24-034,CHI,HOME,ORL,W (+18),1,28:32,.810,.833,8.9,28.0,19.6,24.8,1.7,0.0,9.2,17.6,154,97,18.2,11.1
