,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-10-19,20-150,CHI,AWAY,TOR,L (-17),1,33:27,.581,.500,6.2,20.5,13.0,0.0,0.0,2.7,17.0,21.8,101,118,10.3,-2.8
1,2017-10-21,20-152,CHI,HOME,SAS,L (-10),1,37:02,.450,.464,0.0,28.8,15.6,0.0,1.4,0.0,17.2,21.5,70,86,5.2,-3.3
2,2017-10-24,20-155,CHI,AWAY,CLE,L (-7),1,31:57,.792,.792,7.7,23.1,15.4,0.0,0.0,3.3,14.3,20.5,125,128,14.9,2.2
3,2017-10-26,20-157,CHI,HOME,ATL,W (+5),1,30:40,.489,.462,3.1,33.8,18.4,6.8,0.0,0.0,12.3,22.9,96,96,8.4,-2.0
4,2017-10-28,20-159,CHI,HOME,OKC,L (-32),1,27:54,.778,.643,9.7,18.7,13.9,10.2,0.0,3.2,0.0,15.7,167,113,15.9,10.8
5,2017-11-01,20-163,CHI,AWAY,MIA,L (-6),1,34:17,.593,.556,2.7,19.6,11.0,6.0,2.8,0.0,0.0,27.0,120,97,20.7,9.3
6,2017-11-03,20-165,CHI,AWAY,ORL,W (+22),1,28:38,.650,.650,8.4,25.5,17.5,15.9,0.0,0.0,16.7,19.3,120,90,11.2,4.3
7,2017-11-04,20-166,CHI,HOME,NOP,L (-6),1,39:35,.415,.375,2.1,17.1,8.5,18.9,0.0,2.4,5.6,19.7,94,97,9.0,-0.3
8,2017-11-07,20-169,CHI,AWAY,TOR,L (-5),1,29:22,.773,.667,0.0,9.1,4.4,4.7,0.0,2.9,11.4,13.6,139,127,9.2,-1.3
9,2017-11-10,20-172,CHI,HOME,IND,L (-18),1,28:20,.429,.429,0.0,43.4,18.0,17.8,3.5,3.1,0.0,21.8,93,99,12.0,5.5
10,2017-11-11,20-173,CHI,AWAY,SAS,L (-39),1,15:14,.600,.600,0.0,20.3,8.8,20.6,0.0,5.4,28.6,21.1,88,139,4.0,-5.2
11,2017-11-15,20-177,CHI,AWAY,OKC,L (-13),1,32:02,.595,.577,0.0,20.9,10.5,17.6,3.4,3.6,0.0,20.8,118,97,13.6,10.1
12,2017-11-17,20-179,CHI,HOME,CHO,W (+3),1,30:49,.627,.591,0.0,30.3,14.2,11.9,3.1,0.0,7.3,19.9,120,115,14.7,3.5
13,2017-11-19,20-181,CHI,AWAY,PHO,L (-8),1,33:39,.640,.632,5.6,35.7,19.5,10.3,0.0,0.0,12.9,28.2,116,110,18.2,5.7
14,2017-11-21,20-183,CHI,AWAY,LAL,L (-9),1,31:01,.346,.294,11.1,30.3,20.2,5.2,0.0,3.1,17.6,30.6,71,101,5.1,-8.5
15,2017-11-22,20-184,CHI,AWAY,UTA,L (-30),1,23:54,.152,.111,8.9,23.4,16.0,0.0,0.0,0.0,9.2,21.3,40,120,-2.2,-16.5
16,2017-11-24,20-186,CHI,AWAY,GSW,L (-49),1,27:11,.404,.344,3.2,26.8,11.9,0.0,1.7,3.2,5.5,26.8,85,134,6.9,-5.0
17,2017-11-26,20-188,CHI,HOME,MIA,L (-7),1,31:32,.550,.550,0.0,37.1,16.5,5.7,0.0,3.5,0.0,14.0,103,105,9.6,0.4
18,2017-11-28,20-190,CHI,HOME,PHO,L (-5),1,34:21,.378,.367,0.0,18.6,8.6,17.2,0.0,0.0,0.0,20.7,87,113,6.5,-6.9
19,2017-11-30,20-192,CHI,AWAY,DEN,L (-1),1,31:37,.521,.441,3.9,27.0,16.3,0.0,0.0,2.9,5.0,30.0,103,114,12.5,-5.3
20,2017-12-01,20-193,CHI,HOME,SAC,L (-1),1,27:50,.504,.462,0.0,22.7,10.6,0.0,1.8,0.0,6.7,24.7,92,113,6.8,-9.4
21,2017-12-04,20-196,CHI,HOME,CLE,L (-22),1,31:55,.468,.423,2.9,23.7,11.8,5.7,3.4,3.3,12.6,23.7,87,119,9.0,-4.2
22,2017-12-06,20-198,CHI,AWAY,IND,L (-2),1,30:57,.367,.367,7.2,14.8,10.9,9.9,0.0,0.0,16.7,26.3,75,107,2.7,-9.9
23,2017-12-08,20-200,CHI,AWAY,CHO,W (+8),1,33:38,.698,.633,6.7,26.7,17.8,0.0,0.0,0.0,5.5,23.4,133,99,19.7,7.1
24,2017-12-09,20-201,CHI,HOME,NYK,W (+2),1,29:50,.536,.536,0.0,32.2,16.1,0.0,0.0,4.8,6.7,22.7,95,104,10.4,-3.6
25,2017-12-18,20-210,CHI,HOME,PHI,W (+2),1,25:32,.455,.455,0.0,26.2,13.1,20.6,1.7,0.0,8.3,19.6,94,106,8.5,0.4
26,2017-12-20,20-212,CHI,HOME,ORL,W (+18),1,19:52,.398,.300,6.4,20.1,14.0,0.0,0.0,3.9,0.0,26.3,93,98,5.0,-11.7
27,2017-12-21,20-213,CHI,AWAY,CLE,L (-3),1,29:40,.699,.676,4.9,4.4,4.6,11.1,1.7,0.0,5.3,30.4,130,124,19.1,3.2
28,2017-12-23,20-215,CHI,AWAY,BOS,L (-25),1,26:02,.551,.500,7.4,11.8,9.5,6.9,0.0,0.0,8.4,19.6,109,124,8.2,-1.0
29,2017-12-26,20-218,CHI,AWAY,MIL,W (+9),1,19:53,.190,.214,9.3,33.5,19.2,5.7,0.0,0.0,0.0,15.9,66,108,1.3,-10.8
30,2017-12-27,20-219,CHI,HOME,NYK,W (+5),1,28:03,.389,.400,0.0,6.5,3.4,6.5,1.7,2.5,6.1,26.0,70,87,4.7,-3.6
31,2017-12-29,20-221,CHI,HOME,IND,W (+12),1,28:22,.833,.794,4.3,23.1,14.3,6.9,0.0,0.0,5.0,32.1,151,111,26.3,13.1
32,2017-12-31,20-223,CHI,AWAY,WAS,L (-4),1,29:08,.442,.417,7.3,24.0,15.9,0.0,0.0,0.0,13.9,20.9,84,116,4.9,-7.7
33,2018-01-01,20-224,CHI,HOME,POR,L (-4),1,34:16,.738,.750,0.0,22.5,11.5,4.5,0.0,2.1,0.0,15.8,147,115,16.0,4.9
34,2018-01-03,20-226,CHI,HOME,TOR,L (-9),1,31:37,.615,.588,6.0,37.0,19.8,5.2,1.5,0.0,10.1,26.4,110,117,16.6,1.5
35,2018-01-05,20-228,CHI,AWAY,DAL,W (+3),1,31:42,.847,.833,4.3,29.5,17.9,4.3,1.5,2.5,9.6,14.4,152,119,16.6,5.6
36,2018-01-06,20-229,CHI,AWAY,IND,L (-39),1,24:35,.658,.611,12.2,11.2,11.8,17.6,0.0,0.0,16.8,22.1,120,138,9.6,1.7
37,2018-01-08,20-231,CHI,HOME,HOU,L (-9),1,34:28,.766,.750,0.0,24.8,12.7,8.8,0.0,4.4,16.1,16.5,118,116,12.7,1.2
38,2018-01-10,20-233,CHI,AWAY,NYK,W (+3),1,46:08,.682,.636,2.5,23.1,12.7,3.9,2.3,1.7,4.0,25.8,135,105,27.0,10.2
39,2018-01-13,20-236,CHI,HOME,DET,W (+2),1,26:47,.615,.600,4.7,11.4,8.4,6.1,5.6,2.8,6.1,28.1,113,103,16.3,7.7
40,2018-01-15,20-238,CHI,HOME,MIA,W (+8),1,30:24,.612,.577,3.7,30.1,16.7,14.6,1.6,0.0,0.0,20.5,131,109,15.7,6.0
41,2018-01-17,20-240,CHI,HOME,GSW,L (-7),1,29:02,.442,.417,2.9,28.9,13.5,8.6,0.0,3.2,0.0,16.8,104,115,7.9,-2.0
42,2018-01-20,20-243,CHI,AWAY,ATL,W (+16),1,30:10,.535,.500,0.0,12.0,6.8,5.8,0.0,0.0,0.0,26.9,104,100,12.5,-3.9
43,2018-01-22,20-245,CHI,AWAY,NOP,L (-4),1,39:31,.493,.417,0.0,39.6,22.9,7.8,1.2,4.3,12.3,18.2,90,99,12.5,-0.8
44,2018-01-24,20-247,CHI,AWAY,PHI,L (-14),1,22:40,.446,.423,4.1,10.9,7.0,16.7,0.0,0.0,0.0,24.8,100,122,7.2,-1.6
45,2018-01-26,20-249,CHI,HOME,LAL,L (-5),1,30:51,.506,.450,5.8,29.8,16.9,0.0,0.0,7.0,15.5,17.2,96,103,8.6,-1.0
46,2018-01-28,20-251,CHI,HOME,MIL,L (-14),1,32:31,.751,.700,3.2,35.0,17.6,10.9,0.0,0.0,20.9,19.3,117,117,13.4,1.7
47,2018-02-09,20-263,CHI,HOME,MIN,W (+1),1,35:52,.857,.857,3.3,11.9,7.9,3.9,0.0,0.0,12.5,10.0,144,117,10.3,0.8
48,2018-02-10,20-264,CHI,HOME,WAS,L (-11),1,33:01,.309,.289,6.6,27.7,16.9,0.0,3.2,0.0,9.3,30.8,63,107,3.7,-13.5
49,2018-02-12,20-266,CHI,HOME,ORL,W (+4),1,30:52,.517,.474,10.8,18.5,14.6,0.0,0.0,2.9,9.0,32.1,102,110,13.2,-5.3
50,2018-02-14,20-268,CHI,HOME,TOR,L (-24),1,25:02,.618,.550,3.9,22.3,12.5,6.5,0.0,7.1,0.0,20.5,127,119,12.9,5.3
51,2018-02-22,20-276,CHI,HOME,PHI,L (-1),1,32:37,.169,.125,13.4,13.1,13.2,0.0,0.0,2.8,10.1,12.5,61,119,0.7,-13.0
52,2018-02-24,20-278,CHI,AWAY,MIN,L (-18),1,31:57,.169,.125,0.0,21.9,11.3,0.0,1.4,5.1,18.4,14.5,28,112,-0.5,-12.8
53,2018-02-26,20-280,CHI,AWAY,BRK,L (-17),1,30:27,.503,.472,2.8,16.4,9.1,0.0,0.0,0.0,5.0,27.0,101,111,10.4,-2.3
54,2018-02-27,20-281,CHI,AWAY,CHO,L (-15),1,32:12,.500,.500,3.7,22.9,13.2,4.7,3.1,0.0,15.4,17.6,90,119,8.1,-4.6
55,2018-03-02,20-284,CHI,HOME,DAL,W (+8),1,34:13,.567,.567,12.8,23.9,18.5,4.4,0.0,0.0,0.0,19.0,128,106,14.4,1.5
56,2018-03-05,20-287,CHI,HOME,BOS,L (-16),1,30:18,.600,.600,0.0,15.5,7.1,6.6,1.7,3.3,0.0,15.4,117,113,10.2,1.7
57,2018-03-07,20-289,CHI,HOME,MEM,W (+9),1,34:50,.698,.643,4.2,16.8,11.2,0.0,1.4,0.0,6.0,20.4,136,114,17.2,1.0
58,2018-03-09,20-291,CHI,AWAY,DET,L (-16),1,26:59,.250,.250,7.3,24.8,15.5,12.9,0.0,0.0,0.0,19.3,68,108,3.4,-6.7
59,2018-03-11,20-293,CHI,AWAY,ATL,W (+7),1,29:02,.607,.500,6.6,25.4,14.9,0.0,1.7,3.9,6.0,24.7,125,122,15.4,-4.8
60,2018-03-23,20-305,CHI,HOME,MIL,L (-13),1,22:17,.571,.500,4.7,26.3,14.9,0.0,0.0,0.0,0.0,15.3,136,130,6.3,-4.5
61,2018-03-27,20-309,CHI,AWAY,HOU,L (-32),1,27:57,.640,.600,0.0,14.6,7.1,17.0,0.0,4.8,22.5,33.3,100,121,11.8,2.4
62,2018-03-30,20-312,CHI,AWAY,ORL,W (+8),1,24:22,.533,.450,0.0,29.2,14.6,8.9,4.1,3.6,14.1,25.4,96,75,10.6,5.0
63,2018-04-01,20-314,CHI,HOME,WAS,W (+19),1,24:55,.817,.864,0.0,28.9,15.0,0.0,0.0,0.0,6.6,27.7,135,100,17.7,11.0
64,2018-04-03,20-316,CHI,HOME,CHO,W (+6),1,24:21,.783,.750,3.9,27.5,14.8,6.5,0.0,4.2,0.0,26.5,157,112,20.5,14.4
65,2018-04-06,20-319,CHI,AWAY,BOS,L (-7),1,23:26,.784,.773,4.2,20.5,11.5,16.0,0.0,0.0,19.0,29.2,122,117,14.2,5.3
66,2018-04-09,20-322,CHI,AWAY,BRK,L (-9),1,25:57,.317,.286,8.8,18.5,13.5,9.9,3.7,4.6,6.0,27.4,78,108,6.3,-5.8
67,2018-04-11,20-324,CHI,HOME,DET,L (-32),1,21:31,.698,.654,8.6,38.2,20.5,13.6,4.6,0.0,0.0,28.5,142,114,19.2,20.6
