,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-10-21,36-023,CLE,HOME,ORL,L (-21),1,13:32,.333,.333,0.0,15.8,7.5,24.1,0.0,0.0,40.0,15.6,55,121,0.3,-12.3
1,2017-11-20,36-053,CLE,AWAY,DET,W (+28),1,28:28,1.036,1.000,0.0,16.1,8.9,9.6,1.9,0.0,12.9,13.3,178,97,13.9,7.4
2,2017-11-22,36-055,CLE,HOME,BRK,W (+10),1,19:50,.625,.625,0.0,6.5,3.2,12.7,2.5,0.0,20.0,11.6,110,112,4.3,-2.0
3,2017-11-24,36-057,CLE,HOME,CHO,W (+1),1,20:27,.750,.750,0.0,8.2,4.7,6.6,0.0,0.0,50.0,9.2,71,108,0.5,-9.3
4,2017-11-27,36-060,CLE,AWAY,PHI,W (+22),1,22:57,.000,.000,5.0,0.0,2.1,25.5,4.6,0.0,50.0,4.0,115,101,2.9,-0.5
5,2017-11-28,36-061,CLE,HOME,MIA,W (+11),1,16:54,.568,,7.3,5.9,6.5,21.3,2.9,0.0,53.2,5.1,124,100,2.5,-2.8
6,2017-11-30,36-063,CLE,AWAY,ATL,W (+7),1,18:13,.500,.500,0.0,0.0,0.0,13.7,0.0,0.0,0.0,7.2,145,128,1.9,-7.8
7,2017-12-02,36-065,CLE,HOME,MEM,W (+5),1,13:41,.000,.000,0.0,0.0,0.0,8.4,0.0,0.0,0.0,3.7,56,127,-0.4,-12.9
8,2017-12-04,36-067,CLE,AWAY,CHI,W (+22),1,27:07,.500,.500,4.7,10.4,8.0,4.6,2.0,0.0,28.6,13.0,84,102,2.0,-9.3
9,2017-12-06,36-069,CLE,HOME,SAC,W (+6),1,15:14,.000,.000,0.0,0.0,0.0,8.5,3.4,0.0,0.0,12.3,19,102,-1.1,-13.7
10,2017-12-08,36-071,CLE,AWAY,IND,L (-4),1,22:01,.765,.700,0.0,13.9,7.0,21.5,2.4,0.0,14.5,14.2,139,113,8.9,4.3
11,2017-12-09,36-072,CLE,HOME,PHI,W (+7),1,27:33,.735,.800,0.0,10.2,4.8,11.3,1.8,0.0,15.5,10.9,118,108,6.5,-1.0
12,2017-12-12,36-075,CLE,HOME,ATL,W (+9),1,31:37,1.000,1.000,0.0,3.7,2.1,15.0,1.6,0.0,0.0,10.3,194,123,14.4,6.2
13,2017-12-14,36-077,CLE,HOME,LAL,W (+9),1,23:19,.944,.944,5.0,8.8,7.0,40.3,4.1,0.0,18.2,20.4,151,109,18.2,17.9
14,2017-12-16,36-079,CLE,HOME,UTA,W (+9),1,22:34,.500,.500,0.0,9.7,5.4,23.9,0.0,0.0,0.0,13.0,126,121,5.6,-4.8
15,2017-12-17,36-080,CLE,AWAY,WAS,W (+7),1,20:22,.875,.875,0.0,18.5,10.1,13.9,2.5,0.0,20.0,11.8,136,103,8.0,3.8
16,2017-12-19,36-082,CLE,AWAY,MIL,L (-3),1,23:36,.694,.500,0.0,21.4,10.6,21.4,2.1,0.0,0.0,8.4,170,122,8.1,0.2
17,2017-12-21,36-084,CLE,HOME,CHI,W (+3),1,24:03,.800,.800,0.0,6.0,2.9,27.7,2.1,0.0,0.0,9.6,175,121,9.7,4.7
18,2017-12-25,36-088,CLE,AWAY,GSW,L (-7),1,17:14,.375,.375,9.9,0.0,5.7,11.0,0.0,0.0,0.0,9.9,117,116,1.5,-4.7
19,2017-12-27,36-090,CLE,AWAY,SAC,L (-14),1,22:43,.174,.000,0.0,0.0,0.0,6.6,0.0,0.0,25.8,8.5,42,132,-1.5,-17.1
20,2017-12-30,36-093,CLE,AWAY,UTA,L (-3),1,18:51,.000,.000,0.0,12.1,5.7,37.4,2.6,0.0,75.0,9.5,55,108,1.0,-6.0
21,2018-01-02,36-096,CLE,HOME,POR,W (+17),1,20:49,.000,.000,0.0,5.1,2.8,16.1,0.0,0.0,50.0,4.2,75,121,-0.1,-10.5
22,2018-01-03,36-097,CLE,AWAY,BOS,L (-14),1,18:37,.676,.625,9.9,0.0,5.2,0.0,2.6,0.0,18.4,12.6,117,104,3.8,-2.2
23,2018-01-12,36-106,CLE,AWAY,IND,L (-2),1,33:09,.450,.438,0.0,13.5,6.4,8.9,0.0,0.0,10.1,13.7,89,109,3.2,-9.3
24,2018-02-09,36-134,CLE,AWAY,ATL,W (+16),1,20:29,.786,.786,0.0,27.2,13.8,6.8,2.4,0.0,22.2,20.0,108,108,7.7,-4.2
25,2018-03-17,36-170,CLE,AWAY,CHI,W (+5),1,36:10,.699,.667,2.9,18.1,10.4,19.9,0.0,2.3,0.0,7.9,168,115,13.4,3.2
26,2018-03-21,36-174,CLE,HOME,TOR,W (+3),1,27:09,1.000,1.000,0.0,4.5,2.7,18.5,0.0,0.0,22.2,16.0,149,145,11.4,3.4
27,2018-03-23,36-176,CLE,HOME,PHO,W (+25),1,18:59,.667,.667,0.0,11.0,5.6,18.1,2.5,0.0,50.0,12.7,80,94,3.4,-4.2
28,2018-03-25,36-178,CLE,AWAY,BRK,W (+7),1,16:05,.250,.250,14.2,0.0,6.9,29.1,0.0,0.0,14.3,19.1,93,126,1.2,-10.4
29,2018-03-27,36-180,CLE,AWAY,MIA,L (-19),1,25:48,.619,.563,0.0,4.8,2.2,15.8,2.0,0.0,25.3,20.6,96,110,5.9,-0.8
30,2018-04-01,36-185,CLE,HOME,DAL,W (+11),1,21:56,.667,.667,0.0,5.0,2.5,15.4,0.0,0.0,14.3,14.4,117,99,4.5,-1.8
31,2018-04-03,36-187,CLE,HOME,TOR,W (+6),1,26:04,.800,.773,4.7,11.3,8.4,29.3,3.7,3.1,7.8,23.6,152,103,19.4,16.4
