,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-10-24,26-225,CLE,HOME,CHI,W (+7),1,23:59,.644,.667,10.3,35.9,23.1,0.0,0.0,3.6,20.5,9.6,119,118,5.7,-7.1
1,2017-10-25,26-226,CLE,AWAY,BRK,L (-5),1,22:36,.798,1.000,11.5,26.5,20.0,0.0,2.1,0.0,34.7,5.4,119,107,4.7,-2.2
2,2017-10-28,26-229,CLE,AWAY,NOP,L (-22),1,22:22,.509,.500,10.2,10.2,10.2,0.0,0.0,0.0,0.0,13.9,114,128,4.4,-7.3
3,2017-10-29,26-230,CLE,HOME,NYK,L (-19),1,19:21,.266,.000,0.0,0.0,0.0,0.0,0.0,4.1,34.7,6.6,36,120,-2.0,-12.8
4,2017-11-01,26-233,CLE,HOME,IND,L (-17),1,14:54,1.000,1.000,22.5,31.4,26.8,0.0,0.0,5.0,0.0,2.9,208,121,5.3,0.6
5,2018-01-26,26-319,CLE,HOME,IND,W (+7),1,31:19,.714,.714,12.4,24.4,18.9,4.0,1.5,0.0,12.5,11.4,138,109,11.2,-0.8
6,2018-01-28,26-321,CLE,HOME,DET,W (+17),1,20:29,.827,.800,0.0,19.5,10.7,0.0,0.0,0.0,0.0,12.2,159,108,7.5,0.9
7,2018-01-30,26-323,CLE,AWAY,DET,L (-11),1,26:49,.444,.444,11.7,29.8,20.3,5.8,0.0,0.0,10.0,15.8,98,119,5.6,-7.2
8,2018-01-31,26-324,CLE,HOME,MIA,W (+2),1,22:54,.000,.000,7.9,19.1,13.0,7.5,0.0,7.6,28.6,13.0,25,83,-2.8,-12.3
9,2018-02-03,26-327,CLE,HOME,HOU,L (-32),1,25:26,.654,.667,3.6,15.7,9.4,0.0,1.9,0.0,0.0,12.4,128,119,8.9,0.4
10,2018-02-06,26-330,CLE,AWAY,ORL,L (-18),1,26:34,.667,.667,19.2,18.5,18.9,0.0,0.0,0.0,10.0,16.9,131,122,10.6,-2.4
11,2018-02-07,26-331,CLE,HOME,MIN,W (+2),1,28:56,.759,.778,9.6,14.5,12.1,9.4,1.7,0.0,0.0,18.1,164,131,17.0,4.2
12,2018-02-09,26-333,CLE,AWAY,ATL,W (+16),1,30:45,.635,.714,3.7,36.3,20.2,0.0,0.0,8.0,0.0,11.7,123,107,11.4,-1.4
13,2018-02-11,26-335,CLE,AWAY,BOS,W (+22),1,27:01,.750,.750,10.2,7.3,8.5,0.0,0.0,3.5,0.0,6.8,164,108,5.9,-2.2
14,2018-02-13,26-337,CLE,AWAY,OKC,W (+8),1,23:08,.500,.500,4.8,12.7,9.0,4.8,0.0,0.0,33.3,5.9,98,125,1.1,-7.3
15,2018-02-22,26-346,CLE,HOME,WAS,L (-7),1,27:37,.857,.857,13.0,26.7,19.8,11.0,0.0,2.8,22.2,14.8,140,114,12.7,5.2
16,2018-02-23,26-347,CLE,AWAY,MEM,W (+23),1,16:20,.333,.333,0.0,33.4,17.7,7.9,0.0,4.9,40.0,12.8,48,86,-0.4,-10.0
17,2018-02-25,26-349,CLE,HOME,SAS,L (-16),1,22:53,.429,.429,31.2,28.6,30.0,0.0,2.2,0.0,0.0,13.1,123,111,8.8,-1.6
18,2018-02-27,26-351,CLE,HOME,BRK,W (+6),1,21:42,.347,.400,14.1,50.3,31.6,4.9,2.1,0.0,29.4,18.8,71,116,3.7,-9.4
19,2018-03-01,26-353,CLE,HOME,PHI,L (-11),1,21:43,.387,.333,26.5,22.6,24.6,0.0,2.3,0.0,0.0,16.2,113,109,7.7,-3.4
20,2018-03-03,26-355,CLE,HOME,DEN,L (-9),1,27:58,.575,.600,12.6,19.6,15.8,0.0,1.8,0.0,8.7,18.5,116,134,9.9,-5.2
21,2018-03-28,27-015,CLE,AWAY,CHO,W (+13),1,15:44,.500,.500,6.8,18.5,11.7,7.3,0.0,0.0,0.0,5.7,139,118,1.4,-6.7
