,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-10-18,23-034,DEN,AWAY,UTA,L (-10),1,35:46,.941,.929,3.6,14.5,9.1,13.7,1.4,0.0,11.8,11.1,166,112,14.3,7.4
1,2017-10-21,23-037,DEN,HOME,SAC,W (+17),1,29:59,.743,.773,0.0,0.0,0.0,6.2,1.8,0.0,20.8,21.1,109,95,9.2,2.3
2,2017-10-23,23-039,DEN,HOME,WAS,L (-5),1,33:36,.167,.167,0.0,15.9,8.7,22.8,1.4,0.0,40.0,12.6,52,109,-0.3,-9.5
3,2017-10-25,23-041,DEN,AWAY,CHO,L (-17),1,30:31,.529,.529,2.7,3.7,3.1,5.8,1.6,0.0,15.0,26.3,96,117,7.8,0.4
4,2017-10-27,23-043,DEN,AWAY,ATL,W (+5),1,34:16,.628,.615,3.3,6.1,4.7,13.1,2.9,0.0,0.0,17.9,136,108,15.9,5.6
5,2017-10-29,23-045,DEN,AWAY,BRK,W (+13),1,33:54,.538,.538,0.0,2.4,1.4,11.0,4.0,0.0,0.0,16.8,112,106,11.9,0.4
6,2017-10-30,23-046,DEN,AWAY,NYK,L (-6),1,35:11,.567,.533,0.0,8.0,3.2,15.3,4.2,2.7,11.2,21.9,110,116,13.1,1.0
7,2017-11-01,23-048,DEN,HOME,TOR,W (+18),1,24:13,.938,.938,0.0,4.6,2.4,11.3,0.0,3.7,11.1,15.8,152,116,12.0,5.2
8,2017-11-03,23-050,DEN,HOME,MIA,W (+1),1,36:07,.714,.714,0.0,3.7,1.6,8.7,1.4,6.6,30.0,12.3,101,102,7.4,0.8
9,2017-11-04,23-051,DEN,HOME,GSW,L (-19),1,19:42,.500,.500,11.3,5.5,8.4,13.9,4.7,4.8,20.0,10.5,106,115,6.4,2.3
10,2017-11-07,23-054,DEN,HOME,BRK,W (+8),1,30:00,.375,.375,0.0,13.9,6.8,21.3,8.6,0.0,7.7,17.2,87,83,11.1,2.4
11,2017-11-09,23-056,DEN,HOME,OKC,W (+8),1,36:11,.500,.500,13.3,2.7,7.5,12.2,0.0,0.0,16.7,14.5,108,112,6.6,-4.2
12,2017-11-17,23-064,DEN,HOME,NOP,W (+32),1,30:33,1.000,1.000,4.6,7.3,6.1,18.8,0.0,0.0,8.3,16.8,186,120,20.9,9.4
13,2017-11-19,23-066,DEN,AWAY,LAL,L (-18),1,32:37,.720,.692,5.9,3.4,4.7,0.0,0.0,2.2,12.6,19.6,132,129,14.1,1.7
14,2017-11-20,23-067,DEN,AWAY,SAC,W (+16),1,38:43,.720,.731,0.0,9.3,4.5,7.7,4.0,0.0,12.6,18.3,132,101,15.8,4.6
15,2017-11-22,23-069,DEN,AWAY,HOU,L (-30),1,29:56,.658,.667,0.0,4.5,1.8,0.0,6.4,0.0,0.0,13.6,134,119,12.2,5.2
16,2017-11-24,23-071,DEN,HOME,MEM,W (+12),1,37:56,.444,.406,0.0,13.3,6.9,11.7,5.4,0.0,10.6,21.4,103,93,10.7,-1.2
17,2017-11-28,23-075,DEN,AWAY,UTA,L (-29),1,33:19,.533,.500,0.0,11.1,5.1,7.4,0.0,2.6,10.6,26.7,101,122,8.7,0.9
18,2017-11-30,23-077,DEN,HOME,CHI,W (+1),1,40:06,.567,.500,0.0,9.2,4.3,11.7,3.8,4.1,13.9,23.7,106,109,16.1,1.8
19,2017-12-02,23-079,DEN,HOME,LAL,W (+15),1,34:11,.409,.367,3.2,3.0,3.1,25.5,5.7,0.0,11.2,22.6,93,98,11.3,-0.3
20,2017-12-04,23-081,DEN,AWAY,DAL,L (-17),1,42:58,.560,.500,0.0,8.6,3.7,14.8,3.6,0.0,5.1,20.4,120,128,16.4,-1.3
21,2017-12-06,23-083,DEN,AWAY,NOP,L (-9),1,37:15,.533,.500,8.1,0.0,4.3,16.8,2.6,0.0,4.3,26.9,118,127,18.2,1.7
22,2017-12-08,23-085,DEN,AWAY,ORL,W (+14),1,23:57,.505,.455,0.0,20.5,11.7,6.3,0.0,0.0,20.2,28.7,82,97,3.9,-12.2
23,2017-12-10,23-087,DEN,AWAY,IND,L (-10),1,44:18,.556,.528,7.5,6.1,6.9,7.2,0.0,0.0,17.5,22.2,108,133,10.1,-7.4
24,2017-12-12,23-089,DEN,AWAY,DET,W (+19),1,30:57,.368,.300,0.0,19.0,11.1,39.5,6.5,0.0,8.4,18.0,103,77,12.5,5.9
25,2017-12-13,23-090,DEN,AWAY,BOS,L (-6),1,37:34,.708,.700,5.6,4.0,4.9,31.2,2.7,0.0,10.5,30.9,143,129,29.4,11.0
26,2017-12-15,23-092,DEN,HOME,NOP,W (+6),1,42:34,.622,.625,0.0,5.7,2.8,17.9,2.3,0.0,10.6,19.4,118,107,17.1,2.0
27,2017-12-18,23-095,DEN,AWAY,OKC,L (-1),1,40:31,.475,.471,0.0,8.3,4.2,24.8,1.3,0.0,18.3,25.3,88,108,9.6,-3.5
28,2017-12-22,23-099,DEN,AWAY,POR,W (+17),1,38:07,.618,.583,3.1,2.9,3.0,7.6,4.4,2.1,12.7,18.8,122,97,15.1,5.5
29,2017-12-23,23-100,DEN,AWAY,GSW,W (+15),1,35:55,.571,.500,0.0,0.0,0.0,13.4,2.9,2.3,19.4,25.9,99,90,11.2,1.7
30,2017-12-26,23-103,DEN,HOME,UTA,W (+24),1,36:01,.625,.625,0.0,4.8,2.8,21.5,0.0,0.0,7.7,17.4,128,103,10.9,2.8
31,2017-12-27,23-104,DEN,AWAY,MIN,L (-3),1,41:29,.460,.400,2.8,5.8,4.3,20.1,0.0,0.0,8.4,13.4,114,131,7.5,-4.9
