,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-10-18,30-161,DEN,AWAY,UTA,L (-10),1,34:21,.409,.409,3.8,3.8,3.8,4.6,3.0,2.5,8.3,16.4,84,108,5.5,-2.0
1,2017-10-21,30-164,DEN,HOME,SAC,W (+17),1,29:39,.313,.313,25.2,15.6,20.0,19.2,1.8,0.0,11.1,13.3,111,89,9.0,3.5
2,2017-10-23,30-166,DEN,HOME,WAS,L (-5),1,31:55,.608,.500,4.1,3.3,3.7,16.7,0.0,0.0,34.2,11.6,100,115,4.2,-2.6
3,2017-10-25,30-168,DEN,AWAY,CHO,L (-17),1,30:53,.350,.350,2.7,14.5,7.7,23.3,0.0,3.1,9.1,14.3,91,116,4.7,-1.8
4,2017-10-27,30-170,DEN,AWAY,ATL,W (+5),1,22:42,.333,.333,0.0,4.6,2.4,0.0,0.0,0.0,25.0,7.5,51,115,-0.8,-12.0
5,2017-10-29,30-172,DEN,AWAY,BRK,W (+13),1,33:35,.758,.727,3.3,9.7,7.0,3.9,2.7,2.2,7.8,16.8,138,105,17.0,5.7
6,2017-10-30,30-173,DEN,AWAY,NYK,L (-6),1,27:23,.630,.333,3.4,10.3,6.2,21.1,1.8,3.5,29.6,10.6,121,121,6.5,-2.5
7,2017-11-01,30-175,DEN,HOME,TOR,W (+18),1,30:14,.533,.500,0.0,3.7,2.0,19.5,0.0,0.0,10.6,13.3,119,120,7.8,-2.6
8,2017-11-03,30-177,DEN,HOME,MIA,W (+1),1,36:00,.557,.556,0.0,14.8,6.5,4.3,0.0,0.0,9.2,13.4,108,106,5.6,-3.1
9,2017-11-04,30-178,DEN,HOME,GSW,L (-19),1,20:05,.583,.583,0.0,0.0,0.0,7.3,0.0,0.0,0.0,12.4,119,131,4.7,-2.9
10,2017-11-07,30-181,DEN,HOME,BRK,W (+8),1,34:51,.414,.350,5.7,24.0,14.7,0.0,0.0,2.6,15.5,14.7,79,99,4.9,-8.8
11,2017-11-09,30-183,DEN,HOME,OKC,W (+8),1,26:31,.205,.250,4.5,7.4,6.1,20.0,0.0,0.0,17.0,9.7,77,110,1.1,-6.2
12,2017-11-11,30-185,DEN,HOME,ORL,W (+18),1,41:16,.574,.500,2.8,2.6,2.7,5.8,0.0,0.0,30.6,17.1,88,118,4.2,-12.0
13,2017-11-13,30-187,DEN,AWAY,POR,L (-17),1,33:25,.678,.611,9.2,18.5,12.9,37.8,1.5,0.0,8.8,14.7,147,107,16.0,11.7
14,2017-11-17,30-191,DEN,HOME,NOP,W (+32),1,35:40,.735,.750,4.0,31.3,19.2,10.9,0.0,0.0,8.9,13.4,153,116,15.7,2.4
15,2017-11-19,30-193,DEN,AWAY,LAL,L (-18),1,26:32,.723,.650,0.0,16.8,7.8,6.7,1.8,2.7,20.3,22.4,120,121,11.8,2.0
16,2017-11-22,30-196,DEN,AWAY,HOU,L (-30),1,27:03,.167,.167,6.7,14.8,10.0,5.3,0.0,4.3,14.3,10.7,54,129,0.1,-11.7
17,2017-11-24,30-198,DEN,HOME,MEM,W (+12),1,23:21,.625,.625,0.0,10.8,5.6,17.2,2.2,0.0,33.3,11.1,103,100,4.3,0.9
18,2017-12-04,30-208,DEN,AWAY,DAL,L (-17),1,27:22,.168,.091,10.1,18.0,13.5,14.5,0.0,0.0,7.8,20.9,66,135,1.1,-16.7
19,2017-12-06,30-210,DEN,AWAY,NOP,L (-9),1,24:09,.364,.364,0.0,19.4,8.9,11.3,0.0,0.0,8.3,21.2,77,128,2.3,-11.2
20,2017-12-08,30-212,DEN,AWAY,ORL,W (+14),1,25:41,.935,.900,10.1,7.6,8.7,0.0,0.0,0.0,0.0,10.6,191,101,10.3,4.4
21,2017-12-10,30-214,DEN,AWAY,IND,L (-10),1,37:22,.547,.531,5.9,21.8,13.0,4.3,1.4,2.1,10.8,21.3,114,124,12.4,-1.3
22,2017-12-12,30-216,DEN,AWAY,DET,W (+19),1,27:04,.705,.636,10.1,7.2,8.4,6.0,0.0,0.0,7.3,23.9,135,96,13.2,3.8
23,2017-12-13,30-217,DEN,AWAY,BOS,L (-6),1,36:37,.535,.400,5.7,12.3,8.4,6.6,2.7,0.0,7.1,15.7,129,128,11.7,-3.2
24,2017-12-15,30-219,DEN,HOME,NOP,W (+6),1,25:34,.500,.500,9.0,14.1,11.5,5.2,0.0,0.0,18.2,18.8,92,111,4.1,-5.9
25,2017-12-18,30-222,DEN,AWAY,OKC,L (-1),1,35:44,.431,.450,0.0,28.1,14.2,4.2,4.4,0.0,8.7,15.0,81,98,7.4,-1.6
26,2017-12-20,30-224,DEN,HOME,MIN,L (-8),1,37:23,.357,.357,3.5,27.5,16.3,23.0,0.0,2.0,12.5,9.9,105,120,7.8,-0.8
27,2017-12-22,30-226,DEN,AWAY,POR,W (+17),1,41:54,.626,.600,11.5,18.6,15.2,0.0,0.0,0.0,10.7,20.4,128,102,15.4,0.5
28,2017-12-23,30-227,DEN,AWAY,GSW,W (+15),1,33:09,.558,.538,3.9,25.2,15.7,4.9,0.0,0.0,0.0,18.3,121,89,10.9,1.8
29,2017-12-26,30-230,DEN,HOME,UTA,W (+24),1,33:30,.568,.455,3.6,15.6,10.6,4.5,0.0,2.9,13.2,21.8,109,95,9.6,-1.9
30,2017-12-27,30-231,DEN,AWAY,MIN,L (-3),1,29:39,.500,.500,7.8,12.2,9.9,4.9,1.8,0.0,20.0,15.7,94,126,4.0,-5.8
31,2017-12-30,30-234,DEN,HOME,PHI,L (-5),1,33:25,.333,.333,3.3,12.8,8.1,0.0,0.0,4.2,40.0,6.2,50,109,0.4,-8.8
32,2018-01-03,30-238,DEN,HOME,PHO,W (+23),1,34:31,.944,.944,4.8,15.5,11.7,13.5,0.0,4.9,10.0,12.5,170,112,18.8,8.4
33,2018-01-05,30-240,DEN,HOME,UTA,W (+8),1,32:51,.276,.200,0.0,7.1,3.2,8.0,0.0,0.0,26.9,10.6,54,103,-0.1,-9.1
34,2018-01-06,30-241,DEN,AWAY,SAC,L (-8),1,27:11,.451,.250,4.8,18.4,12.5,0.0,0.0,0.0,39.2,20.4,61,109,-0.4,-12.9
35,2018-01-08,30-243,DEN,AWAY,GSW,L (-10),1,38:16,.405,.333,13.6,17.4,15.3,8.7,0.0,0.0,0.0,11.0,122,130,8.8,-5.6
36,2018-01-10,30-245,DEN,HOME,ATL,L (-13),1,26:54,.421,.409,6.9,11.2,8.5,11.6,1.8,0.0,0.0,18.3,102,119,7.9,-3.0
37,2018-01-12,30-247,DEN,HOME,MEM,W (+9),1,29:10,.444,.444,0.0,19.1,9.9,7.5,0.0,3.1,0.0,15.1,103,93,5.8,1.4
38,2018-01-13,30-248,DEN,AWAY,SAS,L (-32),1,20:08,.625,.625,9.9,19.9,14.2,9.8,0.0,0.0,33.3,13.6,91,125,2.8,-6.9
39,2018-01-16,30-251,DEN,HOME,DAL,W (+3),1,37:52,.375,.375,5.6,20.6,12.4,7.0,2.6,0.0,20.0,11.0,82,104,5.4,-4.1
40,2018-01-17,30-252,DEN,AWAY,LAC,L (-5),1,32:55,.375,.375,8.6,17.2,12.9,11.6,1.4,2.6,33.3,14.1,72,108,4.1,-6.5
