,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-12-04,32-186,DET,AWAY,SAS,L (-3),1,24:05,.512,.375,0.0,13.3,6.4,6.0,0.0,0.0,17.0,11.1,93,108,2.0,-5.6
1,2017-12-20,32-202,DET,AWAY,DAL,L (-17),1,30:08,1.027,1.000,4.1,4.4,4.2,12.7,0.0,0.0,10.2,15.8,178,125,15.3,10.4
2,2017-12-22,32-204,DET,HOME,NYK,W (+3),1,35:15,.470,.409,2.7,6.1,4.3,0.0,1.5,1.9,13.6,18.3,91,112,4.9,-6.2
3,2017-12-30,32-212,DET,HOME,SAS,W (+14),1,26:42,.102,.000,0.0,25.7,13.8,5.0,3.9,0.0,0.0,8.9,34,80,1.8,-5.5
4,2018-01-28,32-241,DET,AWAY,CLE,L (-17),1,39:55,.727,.708,2.5,6.0,4.1,18.3,0.0,0.0,0.0,15.5,147,129,16.8,3.1
5,2018-01-30,32-243,DET,HOME,CLE,W (+11),1,37:17,.893,.833,0.0,11.2,5.9,12.5,2.5,2.6,0.0,12.5,183,109,21.6,9.3
6,2018-03-29,32-301,DET,HOME,WAS,W (+11),1,31:53,.854,.750,3.7,3.3,3.5,8.6,1.6,2.6,10.9,12.7,160,100,13.7,6.3
7,2018-03-31,32-303,DET,AWAY,NYK,W (+6),1,31:19,.790,.778,0.0,7.3,3.7,8.4,1.6,2.5,8.5,17.4,146,115,14.2,5.8
8,2018-04-01,32-304,DET,AWAY,BRK,W (+12),1,32:59,.672,.714,6.6,29.7,18.8,4.5,3.0,0.0,0.0,10.1,145,95,12.6,4.7
9,2018-04-04,32-307,DET,HOME,PHI,L (-7),1,36:05,1.093,1.136,5.8,10.0,7.7,4.9,0.0,0.0,0.0,13.2,194,117,22.7,13.6
10,2018-04-06,32-309,DET,HOME,DAL,W (+7),1,34:49,.889,.889,3.6,5.7,4.8,8.3,1.5,0.0,18.2,15.2,138,107,12.2,3.6
11,2018-04-08,32-311,DET,AWAY,MEM,L (-13),1,29:57,.726,.700,3.3,15.0,7.9,5.3,3.3,0.0,13.3,21.0,126,132,13.9,0.4
12,2018-04-09,32-312,DET,HOME,TOR,L (-10),1,41:34,.697,.688,2.6,9.4,5.7,11.4,0.0,2.4,0.0,11.7,143,127,12.6,0.7
13,2018-04-11,32-314,DET,AWAY,CHI,W (+32),1,26:53,.827,.800,5.1,6.9,6.2,0.0,0.0,0.0,8.4,20.3,146,100,12.1,2.2
