,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-11-24,22-321,GSW,HOME,CHI,W (+49),1,26:24,.788,.750,11.0,13.0,12.3,15.3,3.5,17.3,18.4,8.9,159,80,14.4,11.0
1,2017-12-06,22-333,GSW,AWAY,CHO,W (+14),1,20:23,.000,.000,5.5,17.8,12.3,23.5,0.0,9.1,0.0,4.5,105,88,4.2,2.6
2,2017-12-11,22-338,GSW,HOME,POR,W (+7),1,25:44,.799,.833,5.7,19.4,13.8,10.8,2.0,3.1,22.5,16.3,126,108,10.5,1.9
3,2017-12-14,22-341,GSW,HOME,DAL,W (+15),1,24:25,.800,.800,7.3,21.8,16.4,40.2,4.3,0.0,28.6,14.0,144,99,13.1,13.4
4,2017-12-18,22-345,GSW,AWAY,LAL,W (+2),1,23:33,.510,.400,0.0,4.2,2.1,11.7,0.0,13.4,14.5,11.9,103,97,4.4,-1.9
5,2017-12-20,22-347,GSW,HOME,MEM,W (+13),1,26:25,1.064,1.000,4.5,4.0,4.3,28.2,4.2,3.4,68.0,10.6,92,99,5.7,1.4
6,2017-12-22,22-349,GSW,HOME,LAL,W (+7),1,24:53,.720,.692,28.2,16.4,21.9,23.5,1.9,3.0,6.7,25.7,150,106,21.1,10.9
7,2017-12-23,22-350,GSW,HOME,DEN,L (-15),1,22:09,.595,.600,18.8,35.1,26.1,17.0,4.6,8.0,40.5,19.9,82,91,8.9,1.8
8,2017-12-25,22-352,GSW,HOME,CLE,W (+7),1,26:27,.571,.571,13.3,13.0,13.1,17.7,2.0,0.0,12.5,13.9,123,102,9.3,2.0
9,2018-01-15,23-008,GSW,AWAY,CLE,W (+10),1,13:43,.773,.667,8.0,14.9,11.5,0.0,0.0,0.0,20.5,15.0,127,111,4.6,-3.5
10,2018-01-17,23-010,GSW,AWAY,CHI,W (+7),1,0:24,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,115,0.0,-6.3
11,2018-03-23,23-075,GSW,HOME,ATL,W (+12),1,27:30,.644,.625,7.1,21.3,13.6,21.0,1.8,3.4,9.7,17.2,133,97,13.6,4.9
12,2018-03-27,23-079,GSW,HOME,IND,L (-11),1,22:43,.286,.286,18.0,15.1,16.6,20.6,0.0,14.1,0.0,14.0,103,98,8.5,7.0
