,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-10-20,21-170,IND,HOME,POR,L (-18),1,28:57,.222,.200,7.2,22.6,14.7,5.0,0.0,2.2,30.7,15.5,49,115,-1.3,-12.6
1,2017-10-21,21-171,IND,AWAY,MIA,L (-4),1,30:22,.666,.600,9.1,37.4,21.1,9.4,1.6,3.0,12.9,21.3,129,109,16.9,4.6
2,2017-10-24,21-174,IND,AWAY,MIN,W (+23),1,25:22,.952,1.000,21.8,35.2,30.2,22.1,0.0,0.0,27.6,19.5,148,109,16.3,9.2
3,2017-10-25,21-175,IND,AWAY,OKC,L (-18),1,18:44,.202,.111,43.6,17.9,31.3,20.1,0.0,0.0,9.2,23.7,83,117,3.0,-12.0
4,2017-10-29,21-179,IND,HOME,SAS,W (+3),1,32:43,1.022,1.056,7.7,29.3,20.0,12.9,1.5,2.4,8.5,16.5,186,91,24.2,17.1
5,2017-10-31,21-181,IND,HOME,SAC,W (+18),1,25:07,.820,.833,7.6,55.7,31.2,36.1,0.0,0.0,35.3,19.9,115,82,13.7,7.8
6,2017-11-01,21-182,IND,AWAY,CLE,W (+17),1,35:15,.447,.400,3.3,34.8,19.5,20.0,0.0,2.5,15.2,25.2,96,106,11.2,-5.1
7,2017-11-03,21-184,IND,AWAY,PHI,L (-11),1,23:35,.651,.667,4.4,23.1,13.6,18.6,0.0,0.0,15.7,22.3,115,118,9.2,-0.2
8,2018-01-10,21-252,IND,HOME,MIA,L (-8),1,30:54,.551,.533,10.8,19.9,15.2,0.0,0.0,0.0,19.7,27.7,97,119,7.9,-6.9
9,2018-01-12,21-254,IND,HOME,CLE,W (+2),1,28:20,.470,.364,7.9,46.9,28.2,15.8,0.0,3.3,13.6,24.0,98,93,10.4,1.6
10,2018-01-14,21-256,IND,AWAY,PHO,W (+23),1,23:47,.400,.400,20.7,42.0,32.5,4.6,0.0,0.0,16.7,12.1,113,99,6.0,-6.1
11,2018-01-15,21-257,IND,AWAY,UTA,W (+15),1,29:54,.524,.462,26.0,7.3,15.9,20.5,0.0,0.0,21.8,30.1,110,111,11.1,-5.2
12,2018-01-18,21-260,IND,AWAY,POR,L (-14),1,33:29,.477,.444,5.4,22.9,13.9,14.2,1.5,2.3,24.1,17.0,86,101,6.9,-3.0
13,2018-01-19,21-261,IND,AWAY,LAL,L (-13),1,34:33,.615,.600,7.9,40.2,21.4,4.8,0.0,5.3,0.0,15.2,134,103,16.3,5.4
14,2018-01-21,21-263,IND,AWAY,SAS,W (+8),1,27:41,.423,.250,4.0,7.9,6.0,5.2,1.8,0.0,0.0,18.2,99,96,4.8,-4.5
15,2018-01-24,21-266,IND,HOME,PHO,W (+15),1,24:13,.690,.708,5.7,30.2,19.6,20.4,2.0,4.0,22.5,34.2,104,96,14.4,2.3
16,2018-01-26,21-268,IND,AWAY,CLE,L (-7),1,35:38,.781,.750,6.1,32.8,18.3,8.0,1.3,0.0,26.9,17.9,114,115,14.9,0.0
17,2018-01-27,21-269,IND,HOME,ORL,W (+2),1,27:58,.594,.615,19.1,20.4,19.8,10.3,1.9,0.0,0.0,23.6,135,118,15.0,1.9
18,2018-01-29,21-271,IND,HOME,CHO,W (+9),1,27:48,.446,.455,14.8,28.1,22.1,14.2,3.7,0.0,7.5,23.0,102,94,10.2,-0.3
