,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-10-24,25-084,LAC,HOME,UTA,W (+18),1,34:39,.595,.615,0.0,0.0,0.0,9.5,1.5,0.0,6.9,19.0,114,99,9.5,-0.2
1,2017-10-26,25-086,LAC,AWAY,POR,W (+1),1,34:32,.627,.591,0.0,2.9,1.5,0.0,3.2,0.0,19.0,21.1,108,120,6.8,-2.6
2,2017-10-28,25-088,LAC,HOME,DET,L (-8),1,33:28,.776,.750,5.4,6.0,5.7,7.4,6.1,0.0,13.4,19.1,131,96,18.3,15.8
3,2017-10-30,25-090,LAC,HOME,GSW,L (-28),1,27:16,.250,.250,4.3,4.4,4.3,14.9,3.6,0.0,0.0,15.8,77,139,3.1,-7.2
4,2017-11-01,25-092,LAC,HOME,DAL,W (+21),1,25:01,.713,.667,0.0,0.0,0.0,20.9,1.9,0.0,13.1,27.5,126,104,13.7,3.0
5,2017-11-04,25-095,LAC,HOME,MEM,L (-9),1,38:17,.325,.278,2.8,6.8,4.6,10.6,2.7,0.0,15.7,14.6,76,123,2.5,-9.2
6,2017-11-05,25-096,LAC,HOME,MIA,L (-3),1,31:49,.436,.417,3.4,3.6,3.5,16.2,6.5,3.1,6.8,19.3,107,104,10.4,5.4
7,2017-11-07,25-098,LAC,AWAY,SAS,L (-13),1,36:04,.706,.706,3.5,3.3,3.4,13.9,2.8,0.0,15.0,25.0,124,128,17.4,5.1
8,2017-11-10,25-101,LAC,AWAY,OKC,L (-9),1,31:49,.604,.591,0.0,0.0,0.0,9.6,0.0,0.0,6.6,19.7,130,132,8.5,-0.8
9,2017-11-11,25-102,LAC,AWAY,NOP,L (-8),1,34:21,.528,.528,2.7,7.6,4.8,11.1,2.7,0.0,10.0,25.7,98,109,10.3,0.5
10,2017-11-13,25-104,LAC,HOME,PHI,L (-4),1,36:57,.373,.308,0.0,11.1,4.6,8.1,2.6,0.0,6.3,18.4,80,109,5.6,-4.2
11,2017-11-17,25-108,LAC,AWAY,CLE,L (-5),1,34:53,.424,.389,0.0,3.0,1.4,24.7,0.0,0.0,17.5,28.0,82,116,4.3,-10.2
12,2017-11-18,25-109,LAC,AWAY,CHO,L (-15),1,34:08,.302,.250,0.0,12.5,6.0,14.7,1.5,0.0,16.8,23.9,59,108,1.3,-10.1
13,2017-11-20,25-111,LAC,AWAY,NYK,L (-22),1,31:59,.111,.111,0.0,3.8,1.7,26.3,1.5,0.0,0.0,12.3,54,118,0.1,-10.1
14,2017-11-22,25-113,LAC,AWAY,ATL,W (+13),1,36:31,.654,.708,0.0,7.3,3.8,18.9,2.8,2.4,0.0,18.2,139,110,17.6,5.6
15,2017-11-25,25-116,LAC,AWAY,SAC,W (+2),1,37:24,.485,.464,0.0,3.3,1.7,29.7,1.4,0.0,21.7,23.3,90,108,7.6,-6.4
16,2017-11-27,25-118,LAC,HOME,LAL,W (+5),1,37:32,.522,.469,9.4,13.9,11.8,23.9,1.2,0.0,14.2,23.5,112,113,15.2,0.0
17,2017-11-30,25-121,LAC,HOME,UTA,L (-19),1,35:31,.704,.656,0.0,0.0,0.0,31.4,1.5,0.0,10.1,26.1,141,142,19.4,2.4
18,2017-12-02,25-123,LAC,AWAY,DAL,L (-26),1,29:28,.300,.300,3.3,7.8,5.3,13.9,0.0,7.4,6.3,24.6,67,125,2.4,-7.4
19,2017-12-03,25-124,LAC,AWAY,MIN,L (-6),1,35:52,.878,.893,3.7,12.4,8.5,26.8,1.5,0.0,14.9,27.2,151,126,25.2,14.6
20,2017-12-06,25-127,LAC,HOME,MIN,L (-6),1,37:01,.569,.556,0.0,7.6,2.9,16.0,2.7,0.0,9.0,25.1,114,117,16.2,3.5
21,2017-12-09,25-130,LAC,HOME,WAS,W (+1),1,35:58,.533,.533,0.0,0.0,0.0,30.1,0.0,2.7,11.8,22.6,106,125,10.3,-2.5
22,2017-12-11,25-132,LAC,HOME,TOR,W (+5),1,32:42,.504,.536,0.0,3.2,1.5,17.5,1.5,0.0,11.8,21.6,94,96,7.8,0.9
23,2017-12-13,25-134,LAC,AWAY,ORL,W (+11),1,17:48,.450,.450,0.0,10.4,5.6,0.0,2.7,4.4,9.1,28.3,76,93,4.5,-5.6
24,2017-12-18,25-139,LAC,AWAY,SAS,L (-18),1,32:54,.378,.367,3.2,6.9,5.0,14.0,1.5,0.0,20.1,26.8,69,115,1.5,-11.2
25,2017-12-20,25-141,LAC,HOME,PHO,W (+13),1,29:21,.577,.594,0.0,5.9,3.3,35.1,0.0,2.6,5.2,29.5,119,103,15.9,8.1
26,2017-12-22,25-143,LAC,AWAY,HOU,W (+10),1,39:16,.603,.560,0.0,6.4,3.0,29.0,1.2,3.2,11.8,36.7,117,122,24.1,4.0
27,2017-12-23,25-144,LAC,AWAY,MEM,L (-3),1,33:07,.839,.825,3.9,6.3,5.2,15.5,1.6,0.0,4.2,33.8,161,127,30.7,16.8
28,2017-12-26,25-147,LAC,HOME,SAC,W (+27),1,25:55,.405,.389,0.0,7.4,4.3,24.1,0.0,0.0,9.2,19.0,100,106,4.8,-9.9
29,2017-12-29,25-150,LAC,AWAY,LAL,W (+15),1,26:31,.542,.542,0.0,8.0,4.3,16.5,0.0,0.0,7.7,20.6,121,114,7.1,-3.4
30,2018-02-09,25-192,LAC,AWAY,DET,W (+13),1,31:58,.615,.615,0.0,6.0,3.1,23.8,0.0,0.0,7.1,19.7,128,108,12.0,1.9
31,2018-02-10,25-193,LAC,AWAY,PHI,L (-14),1,33:46,.346,.321,0.0,17.8,8.7,22.0,1.4,2.5,6.5,19.2,83,109,7.0,-3.0
32,2018-02-12,25-195,LAC,AWAY,BRK,W (+13),1,35:13,.654,.654,3.9,3.0,3.4,14.7,1.4,0.0,13.3,19.3,124,113,13.5,1.2
33,2018-02-14,25-197,LAC,AWAY,BOS,W (+10),1,35:43,.500,.500,0.0,8.6,4.5,13.9,0.0,0.0,9.1,13.5,103,126,5.7,-6.0
34,2018-02-22,25-205,LAC,AWAY,GSW,L (-7),1,37:39,.554,.600,0.0,12.3,5.6,16.9,1.2,0.0,0.0,13.8,123,132,11.6,-1.5
35,2018-02-23,25-206,LAC,AWAY,PHO,W (+11),1,36:21,.715,.682,0.0,4.5,2.7,21.4,0.0,0.0,25.2,17.9,117,115,10.5,-2.9
36,2018-02-27,25-210,LAC,AWAY,DEN,W (+2),1,29:08,.581,.583,0.0,16.1,7.8,4.6,1.6,2.9,17.0,24.1,98,114,9.6,-3.0
37,2018-02-28,25-211,LAC,HOME,HOU,L (-13),1,33:27,.250,.250,0.0,9.6,5.4,18.1,0.0,0.0,7.7,18.0,62,117,-0.1,-10.0
38,2018-03-02,25-213,LAC,HOME,NYK,W (+23),1,28:05,.731,.731,4.6,14.5,10.2,9.0,1.8,0.0,7.1,21.6,143,111,15.6,4.2
39,2018-03-04,25-215,LAC,HOME,BRK,W (+3),1,36:35,.805,.800,0.0,14.3,7.8,12.7,0.0,0.0,15.2,24.2,137,129,20.3,2.4
40,2018-03-06,25-217,LAC,HOME,NOP,L (-5),1,39:33,.393,.393,0.0,6.5,3.4,9.1,1.1,0.0,17.6,16.7,71,113,3.4,-8.2
41,2018-03-09,25-220,LAC,HOME,CLE,W (+14),1,37:48,.504,.464,2.8,5.4,4.1,21.5,3.9,0.0,11.8,18.6,111,101,13.3,3.1
42,2018-03-10,25-221,LAC,HOME,ORL,W (+8),1,33:56,.500,.500,4.4,6.7,5.7,25.0,1.5,0.0,8.3,16.1,119,112,9.2,-1.5
43,2018-03-13,25-224,LAC,AWAY,CHI,W (+6),1,35:35,.470,.409,3.4,5.7,4.7,25.6,2.7,0.0,7.3,17.2,107,106,11.6,-0.4
44,2018-03-15,25-226,LAC,AWAY,HOU,L (-5),1,38:55,.542,.556,0.0,7.4,3.9,11.7,0.0,0.0,5.1,21.9,111,115,11.8,1.2
45,2018-03-16,25-227,LAC,AWAY,OKC,L (-8),1,39:00,.686,.667,5.5,12.6,9.2,7.7,3.7,4.0,15.2,20.8,127,116,19.8,7.9
46,2018-03-18,25-229,LAC,HOME,POR,L (-13),1,37:01,.588,.545,0.0,6.8,3.1,11.6,1.3,2.1,7.3,16.4,116,122,11.1,-1.7
47,2018-03-20,25-231,LAC,AWAY,MIN,L (-14),1,34:34,.370,.357,0.0,3.9,1.7,4.0,1.4,2.3,0.0,18.1,84,124,5.1,-5.8
48,2018-03-21,25-232,LAC,AWAY,MIL,W (+7),1,38:22,.615,.618,3.1,6.4,4.7,14.3,2.5,1.9,0.0,19.0,149,119,18.5,4.3
49,2018-03-23,25-234,LAC,AWAY,IND,L (-5),1,37:35,.363,.292,0.0,0.0,0.0,26.8,1.4,0.0,0.0,18.3,104,127,8.2,-3.4
50,2018-03-25,25-236,LAC,AWAY,TOR,W (+11),1,34:29,.393,.393,3.0,0.0,1.5,15.0,5.7,0.0,6.7,18.2,94,106,8.9,1.2
51,2018-03-27,25-238,LAC,HOME,MIL,W (+7),1,34:54,.568,.591,0.0,10.1,4.9,8.3,1.4,0.0,14.9,17.3,97,103,7.0,-2.8
52,2018-03-28,25-239,LAC,AWAY,PHO,W (+12),1,32:52,.654,.625,0.0,6.0,3.2,35.6,4.4,0.0,17.9,21.9,123,96,17.8,6.8
53,2018-03-30,25-241,LAC,AWAY,POR,L (-9),1,29:34,.161,.125,3.4,6.8,5.1,9.4,1.7,0.0,17.7,16.1,42,111,-2.5,-12.9
54,2018-04-01,25-243,LAC,HOME,IND,L (-7),1,36:35,.567,.567,7.1,3.4,5.2,28.0,3.0,2.3,15.9,24.5,117,129,15.0,3.6
55,2018-04-03,25-245,LAC,HOME,SAS,W (+3),1,38:35,.510,.433,0.0,0.0,0.0,20.2,1.3,0.0,10.2,21.3,108,116,9.6,-2.3
56,2018-04-05,25-247,LAC,AWAY,UTA,L (-22),1,32:24,.649,.583,0.0,3.9,1.9,17.0,0.0,0.0,21.5,25.7,108,133,10.2,-1.6
57,2018-04-07,25-249,LAC,HOME,DEN,L (-19),1,39:27,.421,.455,0.0,4.1,1.7,28.7,1.3,0.0,20.2,16.2,95,145,6.5,-6.2
58,2018-04-11,25-253,LAC,HOME,LAL,L (-15),1,20:03,.051,.000,0.0,5.6,2.7,35.0,2.4,0.0,0.0,21.1,46,114,-0.6,-13.5
