,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-10-19,20-047,LAL,HOME,LAC,L (-16),1,30:31,.332,.200,0.0,13.8,7.1,19.5,0.0,0.0,5.2,25.0,78,108,5.2,-6.2
1,2017-10-20,20-048,LAL,AWAY,PHO,W (+2),1,36:43,.751,.750,0.0,5.6,2.8,3.6,1.1,2.1,10.7,19.4,130,113,16.6,1.7
2,2017-10-22,20-050,LAL,HOME,NOP,L (-7),1,24:18,.354,.333,0.0,11.3,4.9,20.8,0.0,0.0,9.2,18.6,83,120,1.9,-10.0
3,2017-10-25,20-053,LAL,HOME,WAS,W (+3),1,39:00,.548,.500,6.2,20.1,13.9,13.5,1.2,2.0,18.8,24.1,94,90,13.0,0.7
4,2017-10-27,20-055,LAL,HOME,TOR,L (-9),1,23:27,.418,.333,5.1,4.2,4.6,6.9,0.0,0.0,21.8,25.5,74,107,1.8,-9.7
5,2017-10-28,20-056,LAL,AWAY,UTA,L (-15),1,33:51,.508,.536,0.0,3.6,1.6,13.5,6.3,3.0,20.2,26.5,82,102,9.4,3.3
6,2017-10-31,20-059,LAL,HOME,DET,W (+20),1,34:15,.542,.542,0.0,13.5,7.2,23.0,5.8,2.3,29.4,21.4,87,87,12.0,2.2
7,2017-11-02,20-061,LAL,AWAY,POR,L (-3),1,32:17,.513,.455,0.0,11.2,6.1,12.5,3.1,0.0,6.8,21.4,103,116,10.7,-1.5
8,2017-11-03,20-062,LAL,HOME,BRK,W (+12),1,35:37,.575,.615,3.2,20.9,13.5,7.0,1.2,5.1,11.3,19.5,105,97,14.1,0.8
9,2017-11-05,20-064,LAL,HOME,MEM,W (+5),1,38:17,.601,.500,3.1,17.1,10.3,4.0,0.0,0.0,5.7,19.9,120,107,14.0,-2.1
10,2017-11-08,20-067,LAL,AWAY,BOS,L (-11),1,36:33,.639,.636,3.0,15.2,9.6,4.7,2.6,0.0,6.6,17.2,127,104,14.9,3.4
11,2017-11-09,20-068,LAL,AWAY,WAS,L (-16),1,35:01,.470,.375,2.5,11.4,6.0,5.1,0.0,0.0,8.6,13.0,100,114,5.3,-5.6
