,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-12-29,23-030,LAL,HOME,LAC,L (-15),1,28:31,.507,.500,18.7,8.6,14.0,10.3,1.7,3.1,5.3,27.9,112,125,13.8,0.5
1,2017-12-31,23-032,LAL,AWAY,HOU,L (-6),1,33:03,.670,.684,16.3,35.7,27.1,34.9,0.0,3.2,15.6,33.3,125,123,24.3,8.7
2,2018-01-01,23-033,LAL,AWAY,MIN,L (-18),1,28:26,.638,.600,19.6,33.8,26.0,0.0,1.7,2.8,25.4,23.6,103,110,12.5,-1.7
3,2018-01-03,23-035,LAL,HOME,OKC,L (-37),1,21:03,.580,.500,4.3,25.3,12.8,14.6,2.3,0.0,27.9,21.2,94,133,6.1,-6.6
4,2018-01-05,23-037,LAL,HOME,CHO,L (-14),1,27:31,.670,.556,13.4,20.9,17.1,11.9,0.0,0.0,21.1,21.5,117,109,12.9,0.8
5,2018-01-07,23-039,LAL,HOME,ATL,W (+19),1,22:55,.517,.364,19.0,23.7,21.9,21.1,2.0,0.0,12.1,30.1,117,106,12.6,-4.2
6,2018-01-09,23-041,LAL,HOME,SAC,W (+13),1,30:20,.703,.654,11.3,31.1,22.6,39.0,1.6,0.0,27.7,30.8,110,82,19.9,8.5
7,2018-01-11,23-043,LAL,HOME,SAS,W (+12),1,17:34,.000,.000,5.5,32.5,17.8,7.6,0.0,0.0,25.0,20.2,16,91,-4.5,-23.6
8,2018-01-13,23-045,LAL,AWAY,DAL,W (+6),1,33:33,.652,.600,10.3,36.5,24.2,11.0,0.0,0.0,28.4,33.3,97,97,13.8,-0.1
9,2018-01-15,23-047,LAL,AWAY,MEM,L (-9),1,21:39,.489,.286,16.4,23.3,19.3,6.6,2.1,3.7,9.8,18.4,115,113,9.5,-3.5
10,2018-01-17,23-049,LAL,AWAY,OKC,L (-24),1,23:26,.727,.727,0.0,4.6,2.4,28.4,0.0,3.4,21.4,29.0,108,131,10.4,1.2
11,2018-01-19,23-051,LAL,HOME,IND,W (+13),1,20:21,.543,.583,6.2,13.4,10.4,17.2,2.5,3.3,0.0,30.3,113,88,11.1,6.0
12,2018-01-21,23-053,LAL,HOME,NYK,W (+20),1,36:33,.687,.647,13.8,30.9,21.9,18.0,1.4,0.0,9.2,26.7,142,115,25.2,4.5
13,2018-01-23,23-055,LAL,HOME,BOS,W (+1),1,26:12,.526,.500,18.7,37.5,27.6,6.3,1.9,0.0,13.1,24.0,109,105,12.3,1.3
14,2018-01-26,23-058,LAL,AWAY,CHI,W (+5),1,27:31,.625,.556,7.4,12.9,10.4,16.2,1.8,0.0,8.2,18.9,129,105,12.8,4.1
15,2018-01-28,23-060,LAL,AWAY,TOR,L (-12),1,24:42,.585,.455,14.4,27.1,20.0,32.1,0.0,0.0,6.4,25.2,133,121,16.8,7.9
16,2018-01-31,23-063,LAL,AWAY,ORL,L (-22),1,26:43,.828,.778,12.8,29.9,20.7,6.8,0.0,0.0,19.9,24.1,137,128,16.5,2.7
17,2018-02-02,23-065,LAL,AWAY,BRK,W (+3),1,32:06,.563,.563,11.7,27.8,19.1,11.7,0.0,0.0,22.9,28.3,96,106,12.2,-2.9
18,2018-02-04,23-067,LAL,AWAY,OKC,W (+4),1,33:16,.513,.500,3.5,16.0,10.1,18.1,1.4,2.3,17.8,28.8,94,101,11.2,-1.4
19,2018-02-06,23-069,LAL,HOME,PHO,W (+19),1,27:24,.691,.692,4.0,20.4,13.5,37.7,0.0,2.7,16.5,29.4,126,96,18.3,9.1
20,2018-02-08,23-071,LAL,HOME,OKC,W (+25),1,28:26,.517,.500,11.0,9.2,10.0,11.8,0.0,3.0,10.8,28.4,104,94,11.7,-0.4
