,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-11-04,21-286,MEM,AWAY,LAC,W (+9),1,29:22,.125,.125,4.4,14.5,10.0,8.5,1.8,0.0,20.0,15.5,44,113,-3.3,-16.9
1,2017-11-05,21-287,MEM,AWAY,LAL,L (-5),1,26:03,.838,.750,0.0,13.5,6.5,5.6,0.0,0.0,27.9,18.9,116,112,7.0,-5.1
2,2017-11-07,21-289,MEM,AWAY,POR,W (+1),1,37:44,.415,.375,3.4,22.8,13.4,4.1,4.1,4.1,0.0,11.0,96,98,9.3,1.0
3,2017-11-11,21-293,MEM,AWAY,HOU,L (-15),1,27:44,.563,.563,4.3,18.4,11.9,0.0,1.8,4.6,0.0,13.1,111,111,7.3,-0.6
4,2017-11-13,21-295,MEM,AWAY,MIL,L (-7),1,27:48,.848,.778,10.2,8.9,9.5,0.0,1.9,0.0,0.0,19.5,178,123,16.1,8.8
5,2017-11-15,21-297,MEM,HOME,IND,L (-3),1,24:25,.506,.500,9.4,15.9,12.4,11.5,2.0,3.2,15.5,23.1,98,116,7.8,-4.6
6,2017-11-18,21-300,MEM,HOME,HOU,L (-22),1,33:04,.354,.333,2.8,6.9,4.7,10.9,3.2,0.0,16.8,16.2,72,116,3.4,-6.7
7,2017-11-20,21-302,MEM,HOME,POR,L (-8),1,29:34,.667,.667,0.0,7.2,3.4,10.9,0.0,2.4,0.0,4.7,139,112,4.2,-4.0
8,2017-11-22,21-304,MEM,HOME,DAL,L (-1),1,32:27,.813,.813,3.5,3.0,3.2,5.0,0.0,2.3,11.1,12.8,132,100,8.8,1.5
9,2017-11-24,21-306,MEM,AWAY,DEN,L (-12),1,35:03,.438,.438,0.0,3.9,1.9,8.6,0.0,5.8,11.1,12.6,80,117,3.1,-7.3
10,2017-11-26,21-308,MEM,HOME,BRK,L (-10),1,23:29,.200,.200,4.9,0.0,2.6,0.0,4.7,0.0,28.6,14.0,39,113,-0.8,-11.5
11,2017-11-29,21-311,MEM,AWAY,SAS,L (-9),1,33:11,.667,.667,3.8,4.7,4.2,9.4,0.0,0.0,33.3,12.9,95,124,3.6,-5.1
12,2017-12-01,21-313,MEM,HOME,SAS,L (-16),1,22:36,.000,.000,0.0,5.7,2.6,14.2,2.4,0.0,50.0,8.7,23,110,-1.9,-11.7
13,2017-12-02,21-314,MEM,AWAY,CLE,L (-5),1,27:47,.922,.875,0.0,27.9,12.9,9.1,0.0,0.0,38.1,13.3,108,129,6.1,-6.3
14,2017-12-04,21-316,MEM,HOME,MIN,W (+3),1,27:41,.750,.750,0.0,16.5,9.2,0.0,0.0,0.0,14.3,12.3,115,109,5.4,-3.3
15,2017-12-06,21-318,MEM,AWAY,NYK,L (-11),1,18:18,.000,.000,0.0,23.8,11.4,18.1,3.0,0.0,0.0,5.5,53,112,1.1,-5.2
16,2017-12-08,21-320,MEM,HOME,TOR,L (-9),1,17:12,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,107,137,-0.6,-12.2
17,2017-12-09,21-321,MEM,HOME,OKC,L (-1),1,37:37,.770,.750,3.3,8.3,6.0,13.2,0.0,0.0,0.0,11.0,169,115,11.1,1.9
18,2017-12-11,21-323,MEM,HOME,MIA,L (-25),1,18:33,.000,.000,0.0,9.6,3.9,0.0,0.0,0.0,33.3,7.9,0,126,-4.1,-20.3
19,2017-12-13,21-325,MEM,AWAY,WAS,L (-6),1,22:24,.436,.333,0.0,5.0,2.4,8.0,2.3,0.0,0.0,14.2,100,99,3.4,-3.6
20,2017-12-15,21-327,MEM,HOME,ATL,W (+2),1,22:02,.581,.500,5.7,10.9,8.4,7.4,2.3,0.0,12.7,16.1,115,105,6.6,-1.6
21,2017-12-16,21-328,MEM,HOME,BOS,L (-9),1,34:50,.583,.583,0.0,3.3,1.7,5.5,0.0,0.0,0.0,16.6,124,127,8.6,-0.5
22,2017-12-20,21-332,MEM,AWAY,GSW,L (-13),1,21:20,.750,.750,0.0,11.3,5.3,0.0,0.0,0.0,14.3,14.5,117,120,4.8,-1.2
23,2017-12-21,21-333,MEM,AWAY,PHO,L (-2),1,28:37,.550,.550,0.0,7.1,3.6,0.0,1.9,6.1,0.0,15.8,120,109,7.8,1.0
24,2017-12-23,21-335,MEM,HOME,LAC,W (+3),1,23:40,.698,.643,0.0,0.0,0.0,6.0,0.0,0.0,0.0,14.5,152,126,6.0,-3.0
25,2017-12-26,21-338,MEM,AWAY,PHO,L (-2),1,33:00,.300,.300,0.0,4.3,1.8,4.7,1.5,0.0,0.0,13.3,70,109,0.6,-10.5
26,2017-12-27,21-339,MEM,AWAY,LAL,W (+10),1,30:06,.425,.500,0.0,3.0,1.9,5.0,1.7,0.0,0.0,9.6,89,113,2.3,-6.0
27,2017-12-30,21-342,MEM,AWAY,GSW,L (-13),1,24:28,.322,.167,0.0,6.1,2.6,4.2,0.0,0.0,0.0,13.8,85,151,1.4,-15.0
28,2017-12-31,21-343,MEM,AWAY,SAC,W (+18),1,18:39,.644,.667,0.0,15.4,9.0,7.2,0.0,0.0,0.0,9.7,138,105,4.9,-3.2
29,2018-01-02,21-345,MEM,AWAY,LAC,L (-8),1,17:33,.917,.917,0.0,8.5,3.8,10.1,0.0,0.0,0.0,15.3,182,122,8.6,9.5
30,2018-01-05,21-348,MEM,HOME,WAS,L (-2),1,17:16,.788,.875,0.0,11.8,5.9,0.0,0.0,0.0,31.1,15.8,88,110,2.4,-6.4
31,2018-01-10,21-353,MEM,HOME,NOP,W (+3),1,23:09,.000,.000,0.0,9.2,4.6,11.2,0.0,0.0,0.0,7.5,30,115,-2.8,-15.4
32,2018-01-12,21-355,MEM,AWAY,DEN,L (-9),1,35:38,.364,.364,0.0,3.4,1.6,5.5,1.6,0.0,0.0,15.3,78,109,2.7,-6.6
33,2018-01-15,21-358,MEM,HOME,LAL,W (+9),1,26:44,.973,1.000,4.7,10.0,7.8,11.5,0.0,0.0,17.0,18.4,153,114,14.4,6.5
34,2018-01-17,21-360,MEM,HOME,NYK,W (+6),1,31:49,.690,.682,6.3,11.0,8.5,4.7,3.3,0.0,19.6,21.1,114,108,12.1,2.1
35,2018-01-19,21-362,MEM,HOME,SAC,W (+18),1,27:54,.745,.731,3.7,7.5,5.5,0.0,5.4,0.0,11.9,25.9,127,90,17.6,10.1
36,2018-01-20,21-363,MEM,AWAY,NOP,L (-7),1,30:07,.625,.625,3.5,15.9,9.4,15.6,1.7,0.0,20.0,15.5,111,116,6.6,-1.1
37,2018-01-22,22-000,MEM,HOME,PHI,W (+4),1,29:00,.444,.357,3.8,13.4,8.3,0.0,3.7,0.0,20.2,15.5,81,110,2.9,-7.0
38,2018-01-24,22-002,MEM,HOME,SAS,L (-23),1,30:04,.479,.500,7.4,18.6,13.0,11.4,0.0,0.0,8.7,17.2,98,118,6.7,-3.8
39,2018-01-26,22-004,MEM,HOME,LAC,L (-9),1,34:45,.689,.650,0.0,10.9,5.2,9.0,0.0,0.0,15.5,16.5,112,116,9.9,-2.8
40,2018-01-29,22-007,MEM,HOME,PHO,W (+11),1,25:42,.676,.688,0.0,13.7,7.5,9.9,0.0,0.0,31.1,21.7,94,116,5.5,-8.8
41,2018-01-31,22-009,MEM,AWAY,IND,L (-4),1,39:55,.316,.316,3.1,13.7,8.1,7.6,5.4,0.0,0.0,21.4,87,112,7.6,-6.3
42,2018-02-01,22-010,MEM,AWAY,DET,L (-2),1,31:38,.568,.545,0.0,14.1,6.7,14.0,0.0,0.0,0.0,15.6,123,112,9.4,0.5
43,2018-02-04,22-013,MEM,AWAY,TOR,L (-15),1,26:45,.551,.500,0.0,21.4,10.1,0.0,0.0,0.0,15.5,21.0,95,111,4.1,-5.6
44,2018-02-06,22-015,MEM,AWAY,ATL,L (-26),1,32:36,.370,.357,0.0,4.1,2.0,22.1,0.0,2.5,15.6,25.8,73,118,3.0,-9.2
45,2018-02-07,22-016,MEM,HOME,UTA,L (-4),1,31:19,.396,.346,7.1,17.0,11.6,5.5,5.0,0.0,0.0,20.6,94,97,8.6,-0.1
46,2018-02-11,22-020,MEM,AWAY,OKC,L (-18),1,23:36,.500,.500,5.0,13.9,9.6,31.4,0.0,0.0,45.5,20.4,67,122,0.0,-12.8
47,2018-02-14,22-023,MEM,HOME,OKC,L (-7),1,38:43,.467,.467,0.0,14.4,7.8,10.2,1.3,0.0,0.0,17.8,101,127,10.1,-5.2
48,2018-02-23,22-032,MEM,HOME,CLE,L (-23),1,31:18,.455,.364,0.0,11.8,5.5,5.7,1.5,0.0,13.2,20.6,81,110,5.3,-6.5
49,2018-02-24,22-033,MEM,AWAY,MIA,L (-26),1,26:25,.405,.333,0.0,8.1,4.0,18.4,3.8,0.0,16.8,20.3,80,119,4.0,-6.5
50,2018-02-26,22-035,MEM,AWAY,BOS,L (-11),1,29:50,.276,.200,0.0,7.3,3.8,10.5,3.4,0.0,8.4,18.7,59,112,1.2,-11.4
51,2018-02-28,22-037,MEM,HOME,PHO,L (-8),1,30:06,.389,.389,0.0,7.1,3.4,17.0,1.5,0.0,18.2,14.7,75,108,2.0,-9.0
52,2018-03-02,22-039,MEM,HOME,DEN,L (-6),1,33:11,.509,.500,6.0,10.0,7.5,8.8,1.5,0.0,13.6,18.2,102,115,8.5,-4.5
53,2018-03-03,22-040,MEM,AWAY,ORL,L (-7),1,37:02,.302,.286,0.0,10.2,4.3,15.8,0.0,0.0,11.8,19.3,67,118,1.3,-13.6
54,2018-03-05,22-042,MEM,AWAY,SAS,L (-2),1,34:42,.602,.588,7.3,6.9,7.1,4.7,0.0,0.0,22.3,29.9,92,111,9.2,-7.4
55,2018-03-07,22-044,MEM,AWAY,CHI,L (-9),1,28:04,.734,.694,0.0,5.2,2.3,14.9,3.5,0.0,0.0,31.6,147,121,23.3,12.0
56,2018-03-09,22-046,MEM,HOME,UTA,L (-17),1,32:24,.533,.500,3.0,8.0,5.1,7.2,0.0,0.0,19.2,29.7,87,110,6.4,-3.9
57,2018-03-10,22-047,MEM,AWAY,DAL,L (-34),1,30:12,.482,.433,6.1,15.5,10.3,7.8,1.7,0.0,14.5,31.1,86,122,9.0,-4.1
58,2018-03-12,22-049,MEM,HOME,MIL,L (-18),1,30:02,.615,.615,0.0,0.0,0.0,5.2,1.7,0.0,0.0,19.5,121,130,10.6,-2.3
59,2018-03-15,22-052,MEM,HOME,CHI,L (-1),1,29:58,.528,.417,3.6,3.6,3.6,15.2,3.3,0.0,6.6,21.7,115,114,11.9,-0.2
60,2018-03-17,22-054,MEM,HOME,DEN,W (+7),1,39:07,.640,.588,2.7,9.6,6.4,5.3,0.0,2.3,5.1,23.2,130,115,16.0,2.0
61,2018-03-19,22-056,MEM,AWAY,BRK,L (-3),1,30:09,.447,.367,0.0,4.0,1.9,8.4,0.0,0.0,5.6,25.1,98,125,5.6,-11.5
62,2018-03-21,22-058,MEM,AWAY,PHI,L (-14),1,21:31,.709,.722,0.0,0.0,0.0,8.4,2.2,0.0,28.8,25.6,91,118,7.0,-2.3
63,2018-03-22,22-059,MEM,AWAY,CHO,L (-61),1,16:16,.500,.500,5.8,0.0,3.2,0.0,0.0,0.0,16.7,16.7,87,151,1.6,-10.3
64,2018-03-24,22-061,MEM,HOME,LAL,L (-7),1,35:15,.336,.321,3.1,3.2,3.1,18.4,1.5,0.0,11.8,22.2,76,116,3.0,-9.5
65,2018-03-26,22-063,MEM,AWAY,MIN,W (+8),1,18:51,.170,.200,6.9,0.0,3.5,6.8,2.8,0.0,25.4,19.9,43,104,-2.3,-17.5
66,2018-03-28,22-065,MEM,HOME,POR,W (+5),1,29:55,.580,.542,7.8,14.9,11.5,10.2,3.4,0.0,11.4,25.8,115,105,13.6,1.0
67,2018-03-30,22-067,MEM,AWAY,UTA,L (-10),1,26:03,.417,.417,4.8,22.3,13.0,0.0,0.0,0.0,7.7,23.8,80,121,4.1,-12.3
68,2018-04-01,22-069,MEM,AWAY,POR,L (-15),1,37:41,.512,.500,2.9,15.5,9.0,19.6,2.6,2.8,12.8,36.2,96,112,16.7,1.5
69,2018-04-04,22-072,MEM,AWAY,NOP,L (-28),1,15:34,.571,.571,0.0,0.0,0.0,25.0,3.0,6.2,0.0,17.9,125,120,7.8,9.6
70,2018-04-06,22-074,MEM,HOME,SAC,L (-1),1,34:46,.515,.458,3.1,7.7,5.2,26.3,1.5,0.0,16.2,23.9,104,107,11.1,1.0
71,2018-04-08,22-076,MEM,HOME,DET,W (+13),1,31:47,.606,.458,0.0,24.7,14.9,29.9,3.1,0.0,14.2,30.3,127,116,21.0,0.0
