,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-10-21,23-150,MEM,HOME,GSW,W (+10),1,28:30,.450,.375,4.2,14.6,9.8,0.0,3.4,0.0,0.0,13.9,99,100,6.3,-1.8
1,2017-10-23,23-152,MEM,AWAY,HOU,W (+8),1,20:49,.611,.611,7.0,21.0,15.0,13.2,0.0,0.0,0.0,21.6,122,99,8.1,4.9
2,2017-10-25,23-154,MEM,AWAY,DAL,L (-9),1,22:51,.583,.583,0.0,6.2,3.0,15.7,0.0,8.8,25.0,16.9,95,110,3.9,-0.5
3,2017-10-26,23-155,MEM,HOME,DAL,W (+5),1,31:51,.580,.500,10.3,16.4,13.7,5.6,0.0,12.6,11.4,12.7,121,94,10.3,5.3
4,2017-10-28,23-157,MEM,HOME,HOU,W (+14),1,21:40,.765,.800,5.4,10.1,7.8,7.1,4.8,0.0,33.8,19.8,98,94,5.3,-4.4
5,2017-10-30,23-159,MEM,HOME,CHO,L (-5),1,22:24,.296,.200,7.5,9.1,8.2,0.0,2.1,3.0,0.0,12.6,80,104,2.6,-7.1
6,2017-11-01,23-161,MEM,HOME,ORL,L (-2),1,19:26,.000,.000,13.4,15.4,14.3,6.3,5.1,0.0,0.0,4.8,82,100,3.3,-2.0
7,2017-11-04,23-164,MEM,AWAY,LAC,W (+9),1,11:50,.000,.000,0.0,18.0,9.9,0.0,4.4,0.0,50.0,7.7,0,105,-1.7,-14.5
8,2017-11-05,23-165,MEM,AWAY,LAL,L (-5),1,23:28,.000,.000,4.6,20.0,12.0,10.2,0.0,7.1,0.0,3.9,76,106,2.5,-3.3
9,2017-11-07,23-167,MEM,AWAY,POR,W (+1),1,20:26,.583,.583,12.7,36.1,24.7,0.0,0.0,3.8,14.3,16.8,107,103,5.7,-2.3
10,2017-11-11,23-171,MEM,AWAY,HOU,L (-15),1,14:55,.600,.600,0.0,13.7,7.4,0.0,0.0,0.0,16.7,18.2,89,118,2.5,-7.4
11,2017-11-13,23-173,MEM,AWAY,MIL,L (-7),1,12:12,.200,.200,23.1,0.0,10.8,0.0,4.4,0.0,16.7,23.8,59,120,-0.1,-16.4
12,2017-12-27,23-217,MEM,AWAY,LAL,W (+10),1,31:53,.850,.800,9.4,16.7,14.0,0.0,0.0,4.6,7.8,19.6,158,106,19.4,7.8
13,2018-01-22,23-243,MEM,HOME,PHI,W (+4),1,31:30,.622,.500,21.3,8.2,15.2,5.4,3.4,0.0,17.2,16.8,129,114,12.2,2.1
14,2018-01-26,23-247,MEM,HOME,LAC,L (-9),1,23:29,.743,.727,5.0,26.9,15.5,9.0,0.0,0.0,20.8,27.3,107,114,10.4,-2.3
15,2018-01-29,23-250,MEM,HOME,PHO,W (+11),1,34:22,.455,.444,8.2,6.8,7.4,10.1,2.9,7.1,23.3,16.2,93,109,7.5,-3.9
16,2018-01-31,23-252,MEM,AWAY,IND,L (-4),1,32:47,.500,.500,15.0,0.0,7.9,8.5,0.0,0.0,22.2,12.4,108,126,3.5,-7.9
17,2018-02-01,23-253,MEM,AWAY,DET,L (-2),1,27:59,.455,.455,10.9,12.0,11.4,10.9,0.0,0.0,15.4,20.1,92,112,5.1,-6.8
18,2018-02-07,23-259,MEM,HOME,UTA,L (-4),1,30:44,.429,.429,3.6,17.4,9.9,0.0,1.7,0.0,0.0,10.6,94,104,3.2,-7.0
19,2018-02-24,23-276,MEM,AWAY,MIA,L (-26),1,32:06,.225,.125,0.0,10.0,5.0,8.9,0.0,5.3,31.1,18.1,41,124,-1.9,-13.5
20,2018-02-26,23-278,MEM,AWAY,BOS,L (-11),1,34:21,.654,.583,3.5,6.4,5.0,23.4,0.0,0.0,22.5,12.2,114,120,7.6,-1.1
21,2018-03-02,23-282,MEM,HOME,DEN,L (-6),1,28:07,.667,.667,14.2,17.7,15.5,6.5,1.7,0.0,20.0,21.8,110,113,11.2,-3.0
22,2018-03-03,23-283,MEM,AWAY,ORL,L (-7),1,34:48,.630,.625,5.3,32.7,16.9,9.7,0.0,0.0,6.2,19.6,125,115,15.9,1.4
23,2018-03-10,23-290,MEM,AWAY,DAL,L (-34),1,29:19,.458,.375,0.0,12.0,5.3,20.9,0.0,3.4,12.3,25.1,87,124,5.9,-5.2
24,2018-03-12,23-292,MEM,HOME,MIL,L (-18),1,29:04,.627,.591,3.6,15.5,8.5,25.7,0.0,2.9,7.3,21.4,129,129,13.9,3.0
25,2018-03-15,23-295,MEM,HOME,CHI,L (-1),1,30:49,.581,.542,3.5,10.6,7.0,5.4,1.6,0.0,6.8,20.5,114,116,11.1,-3.5
26,2018-03-17,23-297,MEM,HOME,DEN,W (+7),1,35:57,.508,.500,8.9,26.2,18.1,13.8,0.0,4.9,11.3,11.4,119,103,10.7,1.1
27,2018-03-19,23-299,MEM,AWAY,BRK,L (-3),1,12:19,.625,.625,0.0,0.0,0.0,0.0,3.9,0.0,0.0,13.8,129,115,1.6,-7.3
28,2018-03-21,23-301,MEM,AWAY,PHI,L (-14),1,24:35,.380,.143,4.0,21.7,11.5,5.1,0.0,0.0,0.0,17.0,100,121,4.9,-7.3
29,2018-03-22,23-302,MEM,AWAY,CHO,L (-61),1,32:08,.378,.333,8.8,18.7,13.1,0.0,0.0,0.0,20.1,28.0,67,147,1.5,-17.1
30,2018-03-24,23-304,MEM,HOME,LAL,L (-7),1,37:50,.385,.385,11.5,17.7,14.6,8.9,1.4,10.6,7.1,17.1,93,105,10.9,-0.8
31,2018-03-26,23-306,MEM,AWAY,MIN,W (+8),1,29:39,.423,.423,4.4,13.9,9.0,0.0,0.0,0.0,0.0,20.8,89,107,3.9,-10.7
32,2018-03-28,23-308,MEM,HOME,POR,W (+5),1,29:50,.509,.500,11.8,41.2,26.8,8.9,0.0,0.0,0.0,10.1,134,107,9.6,-0.6
33,2018-03-30,23-310,MEM,AWAY,UTA,L (-10),1,29:34,.375,.375,0.0,4.9,2.3,19.0,0.0,0.0,27.3,17.8,70,124,0.9,-11.1
34,2018-04-01,23-312,MEM,AWAY,POR,L (-15),1,30:53,.563,.563,3.5,11.4,7.3,4.6,1.6,3.4,25.3,16.7,88,115,5.4,-5.6
35,2018-04-04,23-315,MEM,AWAY,NOP,L (-28),1,22:27,.759,.778,4.5,23.1,12.6,8.8,0.0,0.0,9.2,19.3,136,125,10.3,4.6
