,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-11-01,31-166,MEM,HOME,ORL,L (-2),1,26:09,.292,.292,0.0,17.2,8.0,27.4,7.6,4.0,14.3,25.2,68,91,5.7,-2.1
1,2017-11-15,31-180,MEM,HOME,IND,L (-3),1,30:03,.444,.444,3.8,13.0,8.1,25.5,0.0,0.0,10.0,14.6,110,125,7.3,-6.4
2,2017-11-18,31-183,MEM,HOME,HOU,L (-22),1,28:37,.361,.214,0.0,16.0,7.2,45.8,7.4,0.0,26.5,17.9,83,103,8.1,2.9
3,2017-11-20,31-185,MEM,HOME,POR,L (-8),1,32:31,.696,.625,0.0,19.7,9.3,39.1,1.5,0.0,0.0,21.4,146,104,20.0,9.3
4,2017-11-22,31-187,MEM,HOME,DAL,L (-1),1,34:26,.253,.182,0.0,19.5,10.6,32.6,2.8,0.0,25.2,21.3,62,95,4.0,-8.0
5,2017-11-24,31-189,MEM,AWAY,DEN,L (-12),1,29:39,.505,.455,0.0,13.9,6.7,16.4,3.5,0.0,25.2,26.2,77,108,5.3,-8.2
6,2017-11-26,31-191,MEM,HOME,BRK,L (-10),1,19:18,.750,.750,5.9,0.0,3.2,16.9,5.7,0.0,0.0,4.9,177,110,6.1,7.2
7,2018-03-02,31-287,MEM,HOME,DEN,L (-6),1,33:42,.558,.444,0.0,4.9,1.8,23.9,1.5,5.6,21.8,16.7,110,112,10.4,0.2
8,2018-03-03,31-288,MEM,AWAY,ORL,L (-7),1,28:07,.631,.591,0.0,4.5,1.9,17.4,3.6,0.0,0.0,17.9,135,111,12.5,5.1
9,2018-03-28,31-313,MEM,HOME,POR,W (+5),1,19:32,.800,.800,6.0,17.1,11.7,14.6,0.0,0.0,37.5,18.0,103,111,4.5,-4.6
