,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-10-25,20-099,MIA,HOME,SAS,L (-17),1,19:35,.333,.333,6.1,47.7,25.8,0.0,0.0,4.2,0.0,15.2,77,121,2.9,-8.8
1,2017-10-28,20-102,MIA,HOME,BOS,L (-6),1,24:19,.615,.500,5.5,8.8,7.3,0.0,2.1,3.4,17.0,11.0,109,103,4.8,-1.3
2,2017-10-30,20-104,MIA,HOME,MIN,L (-3),1,31:11,.558,.556,37.8,11.3,24.6,0.0,0.0,0.0,7.9,16.8,133,120,13.2,-1.0
3,2017-11-29,20-134,MIA,AWAY,NYK,L (-29),1,30:33,.765,.800,3.0,20.9,9.5,0.0,3.3,0.0,14.5,10.0,123,119,8.4,-4.3
4,2017-12-01,20-136,MIA,HOME,CHO,W (+5),1,18:09,.129,.000,20.3,13.2,16.7,0.0,10.7,9.0,43.6,16.5,43,77,2.4,-4.6
5,2017-12-03,20-138,MIA,HOME,GSW,L (-28),1,19:56,.666,.600,6.2,8.0,7.0,0.0,2.6,0.0,0.0,16.4,141,131,7.5,-0.7
6,2017-12-18,20-153,MIA,AWAY,ATL,L (-6),1,30:28,.606,.500,17.0,21.5,19.5,5.0,1.6,5.2,24.8,17.1,108,109,10.3,-1.9
7,2017-12-20,20-155,MIA,AWAY,BOS,W (+1),1,20:28,.466,.500,0.0,26.1,13.0,0.0,0.0,0.0,13.4,17.8,72,100,2.7,-7.6
8,2017-12-22,20-157,MIA,HOME,DAL,W (+12),1,37:29,.709,.667,6.1,24.9,18.0,16.7,1.5,0.0,9.2,16.3,148,120,15.2,2.6
9,2017-12-23,20-158,MIA,HOME,NOP,L (-15),1,30:20,.571,.571,10.8,20.4,14.8,21.3,0.0,3.3,11.3,13.4,128,124,10.3,2.7
10,2018-02-03,20-200,MIA,AWAY,DET,L (-4),1,23:37,.340,.400,4.7,20.8,12.4,0.0,0.0,3.5,0.0,11.4,77,120,2.3,-12.2
11,2018-03-10,20-235,MIA,HOME,WAS,W (+27),1,17:42,.510,.600,14.7,36.2,26.5,6.2,0.0,0.0,25.4,19.9,93,104,3.2,-10.1
12,2018-03-12,20-237,MIA,AWAY,POR,L (-16),1,24:40,.184,.100,15.3,21.6,18.2,15.8,2.0,4.1,21.6,24.8,59,113,0.9,-13.5
13,2018-03-14,20-239,MIA,AWAY,SAC,L (-4),1,27:20,.304,.222,15.5,50.6,32.3,15.7,0.0,0.0,0.0,15.7,106,114,7.8,-5.1
14,2018-03-16,20-241,MIA,AWAY,LAL,W (+1),1,34:44,.486,.500,12.8,10.9,12.0,9.5,0.0,0.0,0.0,14.1,118,104,9.8,-3.8
15,2018-03-19,20-244,MIA,HOME,DEN,W (+8),1,27:00,.301,.333,20.5,17.2,18.7,13.0,0.0,0.0,14.7,23.5,85,127,3.2,-14.8
16,2018-03-21,20-246,MIA,HOME,NYK,W (+21),1,13:17,.750,.750,11.3,9.0,10.0,0.0,0.0,0.0,20.0,18.8,117,116,3.6,-9.1
17,2018-03-23,20-248,MIA,AWAY,OKC,L (-6),1,20:46,.000,.000,9.8,25.7,17.6,6.8,0.0,0.0,16.7,13.1,34,109,-1.3,-13.4
18,2018-03-25,20-250,MIA,AWAY,IND,L (-6),1,20:55,.799,.714,10.6,18.1,14.1,0.0,0.0,3.8,25.5,27.3,116,111,9.1,-4.2
