,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-10-18,24-311,MIL,AWAY,BOS,W (+8),1,41:26,.808,.750,0.0,2.3,1.3,14.9,0.0,0.0,14.5,15.3,141,110,14.7,3.6
1,2017-10-20,24-313,MIL,HOME,CLE,L (-19),1,33:37,.667,.667,0.0,9.2,3.9,4.9,3.1,0.0,14.3,19.7,107,124,10.5,-0.5
2,2017-10-21,24-314,MIL,HOME,POR,W (+3),1,30:59,.412,.357,4.3,0.0,2.0,27.1,6.4,0.0,11.3,25.7,95,111,10.9,-0.5
3,2017-10-26,24-319,MIL,HOME,BOS,L (-7),1,35:43,.563,.583,0.0,19.7,9.8,24.9,0.0,2.8,13.1,20.8,102,102,11.0,1.3
4,2017-10-29,24-322,MIL,AWAY,ATL,W (+11),1,30:30,.627,.545,0.0,3.8,2.1,17.4,3.2,0.0,13.6,22.3,117,106,11.8,-1.0
5,2017-10-31,24-324,MIL,HOME,OKC,L (-19),1,20:30,.410,.250,0.0,6.5,3.0,31.6,2.5,0.0,0.0,11.3,111,118,4.5,-3.0
6,2017-11-01,24-325,MIL,AWAY,CHO,L (-5),1,37:28,.608,.625,0.0,3.4,1.6,15.3,0.0,0.0,5.7,20.0,121,131,12.1,-5.0
7,2017-11-03,24-327,MIL,AWAY,DET,L (-9),1,34:30,.756,.731,0.0,7.7,3.7,49.9,0.0,0.0,17.8,23.5,134,121,18.5,7.4
8,2017-11-07,24-331,MIL,AWAY,CLE,L (-5),1,37:22,.647,.647,3.7,12.8,8.6,21.7,0.0,2.0,10.5,23.0,127,132,17.3,1.0
9,2017-11-22,24-346,MIL,AWAY,PHO,W (+6),1,41:15,.485,.464,0.0,7.6,3.8,11.2,2.4,0.0,6.5,15.9,103,102,9.0,-4.5
10,2018-01-06,25-026,MIL,AWAY,WAS,W (+7),1,31:44,.357,.357,7.6,27.1,17.2,0.0,3.1,0.0,12.5,22.4,73,105,4.9,-9.0
11,2018-01-08,25-028,MIL,AWAY,IND,L (-13),1,37:35,.524,.545,3.5,13.8,8.6,19.4,0.0,0.0,0.0,14.2,118,120,8.6,-4.2
12,2018-01-10,25-030,MIL,HOME,ORL,W (+7),1,36:32,.643,.650,3.6,23.9,14.6,24.8,0.0,4.3,0.0,13.4,153,108,17.2,7.9
13,2018-01-12,25-032,MIL,HOME,GSW,L (-14),1,39:56,.589,.571,0.0,6.9,3.2,17.4,1.4,0.0,6.5,18.1,118,126,11.8,-1.4
14,2018-01-14,25-034,MIL,AWAY,MIA,L (-18),1,34:06,.625,.625,2.6,16.1,7.9,9.3,1.5,0.0,7.7,17.3,116,104,10.0,3.1
15,2018-01-15,25-035,MIL,AWAY,WAS,W (+9),1,37:17,.627,.545,6.0,3.2,4.7,16.3,0.0,0.0,7.3,16.0,140,110,12.2,0.5
16,2018-01-17,25-037,MIL,HOME,MIA,L (-5),1,28:55,.457,.286,0.0,11.6,5.9,5.6,1.8,0.0,10.2,16.4,89,113,4.3,-8.6
17,2018-01-22,25-042,MIL,HOME,PHO,W (+4),1,34:42,.913,.893,0.0,16.8,8.4,12.1,4.4,2.6,22.2,29.9,136,106,25.9,11.4
18,2018-01-29,25-049,MIL,HOME,PHI,W (+12),1,21:46,.410,.250,5.4,15.0,10.4,24.6,0.0,3.9,29.1,15.4,93,105,4.3,-5.6
19,2018-02-01,25-052,MIL,AWAY,MIN,L (-19),1,9:33,.667,.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,132,120,2.3,-2.8
