,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-10-18,20-235,MIL,AWAY,BOS,W (+8),1,13:45,.250,.250,18.4,7.0,11.9,0.0,3.6,0.0,20.0,16.8,68,101,0.9,-8.5
1,2017-10-20,20-237,MIL,HOME,CLE,L (-19),1,16:59,.700,.700,6.6,18.2,11.5,0.0,0.0,5.1,0.0,14.0,140,126,5.5,-1.0
2,2017-10-21,20-238,MIL,HOME,POR,W (+3),1,18:11,.315,.000,0.0,19.3,10.3,12.6,2.7,5.0,29.6,16.6,63,109,0.5,-9.5
3,2017-10-23,20-240,MIL,HOME,CHO,W (+9),1,15:30,.429,.429,0.0,6.6,3.4,0.0,9.5,0.0,0.0,20.6,81,81,3.2,-0.5
4,2017-10-26,20-243,MIL,HOME,BOS,L (-7),1,14:05,.375,.375,8.3,16.6,12.5,21.6,3.6,0.0,0.0,13.7,101,97,4.3,6.5
5,2017-10-29,20-246,MIL,AWAY,ATL,W (+11),1,20:12,1.500,1.500,14.4,17.4,16.1,11.4,4.8,0.0,0.0,2.3,245,101,6.8,7.4
6,2017-10-31,20-248,MIL,HOME,OKC,L (-19),1,19:06,.424,.389,0.0,7.0,3.3,0.0,0.0,0.0,0.0,23.6,80,124,2.4,-10.4
7,2017-11-22,20-270,MIL,AWAY,PHO,W (+6),1,32:52,.627,.545,6.3,19.0,12.6,5.0,0.0,6.8,7.3,17.8,128,99,13.3,0.6
8,2018-02-06,20-346,MIL,AWAY,NYK,W (+14),1,22:06,.700,.700,9.9,4.7,7.2,0.0,2.2,6.6,0.0,10.1,146,91,8.0,4.8
9,2018-02-10,20-350,MIL,AWAY,ORL,W (+7),1,26:10,.732,.688,0.0,12.8,6.7,5.4,0.0,3.5,0.0,15.8,148,114,10.9,1.7
10,2018-02-13,20-353,MIL,HOME,ATL,W (+5),1,24:46,.761,.786,3.9,8.1,5.9,6.8,0.0,0.0,0.0,14.5,156,111,10.3,4.0
11,2018-02-15,20-355,MIL,HOME,DEN,L (-11),1,17:15,.333,.333,15.0,7.5,11.3,19.2,0.0,0.0,0.0,14.2,113,138,3.2,-7.2
