,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-10-18,30-179,NOP,AWAY,MEM,L (-12),1,25:51,.658,.625,12.1,22.3,17.4,0.0,2.0,2.9,0.0,9.1,155,105,9.8,6.7
1,2017-10-20,30-181,NOP,HOME,GSW,L (-8),1,27:37,.338,.313,3.2,19.3,10.4,0.0,0.0,3.4,0.0,12.4,83,121,2.9,-7.2
2,2017-10-22,30-183,NOP,AWAY,LAL,W (+7),1,26:26,.500,.500,0.0,16.1,9.1,4.4,1.7,0.0,0.0,9.9,107,111,5.1,-3.6
3,2017-10-24,30-185,NOP,AWAY,POR,L (-10),1,27:54,.000,.000,3.5,12.3,8.2,0.0,1.7,0.0,0.0,8.0,16,102,-1.8,-9.2
4,2017-10-26,30-187,NOP,AWAY,SAC,W (+8),1,34:28,.338,.375,3.6,9.9,6.9,3.6,1.4,0.0,0.0,11.1,86,110,2.5,-5.3
5,2017-10-28,30-189,NOP,HOME,CLE,W (+22),1,31:27,.347,.500,7.3,7.3,7.3,6.4,3.0,3.3,0.0,3.9,123,99,5.5,0.3
6,2017-10-30,30-191,NOP,HOME,ORL,L (-16),1,24:58,.444,.444,12.5,9.6,11.2,5.8,0.0,3.8,10.0,17.2,94,117,4.4,-5.4
7,2017-11-01,30-193,NOP,HOME,MIN,L (-6),1,27:05,.250,.250,0.0,0.0,0.0,0.0,0.0,0.0,14.3,11.1,44,113,-2.6,-12.0
8,2017-11-03,30-195,NOP,AWAY,DAL,W (+5),1,16:25,.410,.375,6.2,0.0,2.9,0.0,2.9,0.0,0.0,12.7,95,96,1.3,-5.3
9,2017-11-04,30-196,NOP,AWAY,CHI,W (+6),1,22:08,.333,.333,5.1,19.0,13.1,15.9,2.3,0.0,14.3,15.3,74,85,4.2,-2.1
10,2017-11-07,30-199,NOP,AWAY,IND,W (+5),1,16:40,.333,.333,0.0,20.1,10.3,0.0,0.0,0.0,0.0,7.9,74,119,1.2,-8.0
11,2017-11-09,30-201,NOP,AWAY,TOR,L (-4),1,29:56,1.375,1.375,3.8,3.6,3.7,8.5,1.5,0.0,0.0,6.1,257,121,10.8,6.6
12,2017-11-11,30-203,NOP,HOME,LAC,W (+8),1,21:27,1.250,1.250,6.0,8.8,7.6,11.6,0.0,0.0,33.3,5.9,158,108,5.3,5.2
13,2017-11-13,30-205,NOP,HOME,ATL,W (+1),1,18:47,.357,.357,7.7,6.2,6.9,0.0,2.7,0.0,0.0,17.6,83,115,2.5,-10.0
14,2017-11-15,30-207,NOP,HOME,TOR,L (-9),1,27:34,.592,.563,0.0,12.4,5.0,8.9,1.8,0.0,0.0,13.2,129,131,8.6,0.0
15,2017-11-17,30-209,NOP,AWAY,DEN,L (-32),1,26:19,.500,.500,4.2,0.0,2.4,0.0,0.0,0.0,0.0,11.8,105,152,3.2,-9.2
16,2017-12-02,30-224,NOP,AWAY,POR,W (+7),1,14:01,1.000,1.000,17.6,64.6,44.7,0.0,0.0,4.9,0.0,12.8,195,99,11.1,17.8
17,2017-12-04,30-226,NOP,HOME,GSW,L (-10),1,32:00,.463,.455,16.3,14.6,15.5,8.0,1.4,0.0,7.8,16.3,110,119,9.8,-3.5
18,2017-12-06,30-228,NOP,HOME,DEN,W (+9),1,28:43,.717,.625,4.1,17.4,11.3,3.9,1.7,2.8,17.0,9.0,132,113,8.6,1.9
19,2018-01-10,30-263,NOP,AWAY,MEM,L (-3),1,18:09,.643,.643,5.9,23.5,14.7,0.0,2.8,0.0,0.0,17.8,128,107,7.4,2.8
20,2018-01-28,30-281,NOP,HOME,LAC,L (-9),1,28:05,.457,.500,3.7,20.1,12.3,0.0,1.7,0.0,18.6,16.6,75,109,4.2,-6.8
21,2018-01-30,30-283,NOP,HOME,SAC,L (-11),1,9:52,.667,.667,13.1,0.0,5.7,16.6,0.0,0.0,25.0,19.1,110,124,3.1,-3.3
22,2018-02-02,30-286,NOP,AWAY,OKC,W (+14),1,35:22,.700,.700,6.5,10.6,8.8,0.0,1.3,0.0,16.7,7.3,119,101,6.5,-0.3
23,2018-02-03,30-287,NOP,AWAY,MIN,L (-11),1,19:51,.417,.417,0.0,5.4,2.4,0.0,0.0,0.0,0.0,11.9,94,126,1.5,-8.6
24,2018-03-13,30-325,BRK,HOME,TOR,L (-14),1,23:45,.530,.500,12.4,4.8,8.9,7.5,2.1,0.0,0.0,18.1,124,126,8.6,-1.3
