,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-10-18,27-128,NOP,AWAY,MEM,L (-12),1,38:30,.182,.182,5.4,10.0,7.8,18.1,1.3,0.0,15.4,14.9,60,113,-0.5,-11.7
1,2017-10-20,27-130,NOP,HOME,GSW,L (-8),1,34:37,.364,.353,2.5,18.5,9.7,10.9,1.3,0.0,10.1,22.1,82,120,4.7,-9.7
2,2017-10-22,27-132,NOP,AWAY,LAL,W (+7),1,38:10,.589,.545,3.6,11.2,7.9,19.1,4.8,0.0,25.2,18.1,105,105,13.2,-1.5
3,2017-10-24,27-134,NOP,AWAY,POR,L (-10),1,35:00,.457,.393,0.0,12.2,6.5,41.5,1.4,2.3,16.4,23.5,89,102,10.1,0.2
4,2017-10-26,27-136,NOP,AWAY,SAC,W (+8),1,40:36,.658,.615,0.0,11.3,5.8,24.5,0.0,1.9,16.5,19.4,125,111,15.5,1.2
5,2017-10-28,27-138,NOP,HOME,CLE,W (+22),1,36:52,.831,.824,0.0,12.4,6.2,27.3,1.3,0.0,5.4,21.2,160,105,27.6,12.7
6,2017-10-30,27-140,NOP,HOME,ORL,L (-16),1,34:51,.557,.556,0.0,13.8,6.4,34.3,4.1,0.0,37.8,19.5,82,110,9.3,-3.1
7,2017-11-01,27-142,NOP,HOME,MIN,L (-6),1,38:25,.500,.500,2.8,12.5,7.3,27.5,0.0,0.0,12.5,17.8,100,110,9.5,-4.4
8,2017-11-03,27-144,NOP,AWAY,DAL,W (+5),1,38:02,.231,.231,5.4,14.3,10.1,31.3,2.5,2.3,7.1,15.7,76,91,8.6,-0.8
9,2017-11-04,27-145,NOP,AWAY,CHI,W (+6),1,41:29,.333,.333,2.7,8.1,5.8,26.8,0.0,0.0,16.7,21.0,71,95,3.8,-9.6
10,2017-11-07,27-148,NOP,AWAY,IND,W (+5),1,29:53,.465,.444,3.9,7.5,5.7,21.4,1.7,0.0,27.1,21.8,89,119,4.7,-10.2
11,2017-11-09,27-150,NOP,AWAY,TOR,L (-4),1,42:03,.781,.750,0.0,13.0,6.6,44.8,0.0,0.0,18.7,28.8,133,122,29.0,5.7
12,2017-11-11,27-152,NOP,HOME,LAC,W (+8),1,35:05,.387,.167,0.0,13.4,7.8,26.3,2.7,0.0,47.4,17.8,68,101,3.1,-7.2
13,2017-11-13,27-154,NOP,HOME,ATL,W (+1),1,43:07,.542,.542,0.0,13.6,7.5,16.2,1.2,2.2,14.3,15.4,106,115,11.7,-4.2
14,2017-11-15,27-156,NOP,HOME,TOR,L (-9),1,36:00,.567,.533,6.5,9.5,7.7,18.9,2.7,0.0,0.0,19.0,133,129,17.4,1.7
15,2017-11-17,27-158,NOP,AWAY,DEN,L (-32),1,27:28,.542,.542,4.1,15.4,9.1,28.0,0.0,0.0,0.0,19.3,129,148,12.0,-1.2
16,2017-11-20,27-161,NOP,HOME,OKC,W (+7),1,33:37,.520,.500,3.8,8.4,6.4,9.2,1.4,0.0,0.0,21.9,111,106,12.0,-0.1
