,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-12-13,22-358,ORL,HOME,LAC,L (-11),1,32:59,.375,.375,0.0,9.9,4.5,8.9,0.0,0.0,0.0,10.7,83,114,3.5,-7.6
1,2017-12-20,23-000,ORL,AWAY,CHI,L (-18),1,19:36,.200,.200,10.2,6.4,8.5,7.5,0.0,0.0,0.0,11.3,70,122,0.9,-10.2
2,2017-12-23,23-003,ORL,AWAY,WAS,L (-27),1,24:35,.676,.688,0.0,10.8,5.1,0.0,0.0,3.5,10.1,18.1,116,134,6.7,-3.8
3,2018-03-22,23-092,ORL,HOME,PHI,L (-20),1,29:17,.680,.600,0.0,11.2,5.1,15.3,1.6,3.2,14.5,10.2,124,116,8.6,-0.8
4,2018-03-24,23-094,ORL,HOME,PHO,W (+6),1,15:51,.000,.000,0.0,12.1,6.4,8.2,0.0,0.0,0.0,7.9,25,106,-1.2,-14.1
5,2018-04-01,23-102,ORL,AWAY,ATL,L (-6),1,28:18,.417,.417,2.9,0.0,1.8,11.5,1.8,3.5,14.3,11.1,86,103,4.0,-4.4
6,2018-04-03,23-104,ORL,AWAY,NYK,W (+24),1,22:37,.225,.250,13.8,0.0,6.7,0.0,2.3,0.0,10.1,19.6,59,83,-0.3,-13.3
7,2018-04-04,23-105,ORL,HOME,DAL,W (+5),1,31:40,.232,.111,6.9,16.5,11.8,4.0,0.0,2.6,15.7,17.4,59,108,-0.2,-16.5
8,2018-04-06,23-107,ORL,HOME,CHO,L (-37),1,37:25,.556,.556,7.3,0.0,4.5,3.6,0.0,0.0,18.2,13.1,100,150,6.1,-10.6
9,2018-04-08,23-109,ORL,AWAY,TOR,L (-11),1,26:29,.538,.571,0.0,8.6,4.1,10.4,1.8,0.0,0.0,12.7,111,117,6.1,-4.2
10,2018-04-09,23-110,ORL,AWAY,MIL,L (-16),1,29:14,.680,.700,0.0,9.9,5.0,5.6,1.6,0.0,0.0,8.8,130,103,7.9,1.5
11,2018-04-11,23-112,ORL,HOME,WAS,W (+9),1,25:10,.868,.750,0.0,0.0,0.0,12.3,0.0,3.1,0.0,5.2,188,106,3.7,-0.1
