,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-10-29,19-313,SAC,HOME,WAS,L (-27),1,26:22,.125,.125,0.0,16.2,7.9,30.2,0.0,0.0,33.3,20.6,37,122,-2.5,-16.9
1,2017-11-04,19-319,SAC,AWAY,DET,L (-9),1,26:51,.554,.500,0.0,0.0,0.0,23.0,0.0,0.0,19.2,28.3,99,122,6.4,-9.4
2,2017-11-17,19-332,SAC,HOME,POR,W (+4),1,26:33,.507,.500,4.0,4.3,4.2,25.1,4.0,3.2,31.1,22.3,81,92,6.3,0.3
3,2017-11-18,19-333,SAC,AWAY,POR,L (-12),1,27:36,.611,.611,0.0,10.9,4.3,13.7,3.7,0.0,10.0,16.1,114,108,8.5,2.1
4,2017-11-20,19-335,SAC,HOME,DEN,L (-16),1,32:23,.581,.500,0.0,10.3,5.4,21.1,1.6,0.0,22.5,19.4,102,126,7.7,-6.6
5,2017-11-22,19-337,SAC,HOME,LAL,W (+11),1,23:02,.547,.545,5.5,16.5,11.0,17.1,2.2,0.0,29.6,32.5,86,106,5.8,-7.5
6,2017-11-25,19-340,SAC,HOME,LAC,L (-2),1,28:57,.222,.222,0.0,18.9,9.0,14.3,3.5,0.0,10.0,15.8,60,102,2.4,-8.6
7,2017-11-27,19-342,SAC,AWAY,GSW,W (+4),1,23:06,.429,.429,0.0,24.4,11.5,23.2,4.7,0.0,22.2,18.5,88,112,5.1,-7.3
8,2017-11-28,19-343,SAC,HOME,MIL,L (-25),1,23:58,.200,.200,0.0,6.3,2.6,14.8,0.0,0.0,16.7,22.7,43,121,-3.7,-19.1
9,2017-12-01,19-346,SAC,AWAY,CHI,W (+1),1,27:47,.571,.571,4.5,16.1,10.7,9.1,0.0,12.8,22.2,15.1,97,108,7.6,-3.3
10,2017-12-02,19-347,SAC,AWAY,MIL,L (-5),1,20:37,.595,.550,14.1,25.9,20.2,27.5,2.5,0.0,14.5,31.6,116,114,11.1,3.5
11,2017-12-06,19-351,SAC,AWAY,CLE,L (-6),1,28:50,.466,.500,0.0,3.9,1.9,9.8,0.0,4.3,38.3,16.8,60,116,0.6,-15.0
12,2017-12-08,19-353,SAC,AWAY,NOP,W (+7),1,36:27,.444,.393,0.0,3.5,1.8,14.6,2.8,0.0,6.0,20.3,104,107,9.5,-3.1
13,2017-12-10,19-355,SAC,HOME,TOR,L (-15),1,23:22,.338,.375,0.0,4.4,2.4,14.2,4.4,0.0,44.1,32.6,43,107,-4.1,-20.7
14,2017-12-12,19-357,SAC,HOME,PHO,W (+7),1,21:13,.700,.700,0.0,9.6,5.0,0.0,2.4,0.0,0.0,10.5,139,102,5.9,-1.1
15,2017-12-14,19-359,SAC,AWAY,MIN,L (-23),1,7:28,.532,.000,0.0,0.0,0.0,35.7,0.0,0.0,51.5,23.5,76,138,0.7,-13.8
16,2017-12-19,19-364,SAC,AWAY,PHI,W (+6),1,11:22,.205,.250,0.0,9.8,4.6,11.5,0.0,0.0,17.0,22.0,43,105,-2.0,-20.6
17,2018-01-02,20-013,SAC,HOME,CHO,L (-20),1,32:49,.548,.458,3.6,8.1,5.7,15.5,1.6,0.0,16.2,24.6,112,140,11.1,-4.5
18,2018-01-06,20-017,SAC,HOME,DEN,W (+8),1,35:08,.620,.545,2.8,7.4,4.8,28.3,1.4,0.0,21.6,22.9,112,106,13.1,-1.7
19,2018-01-08,20-019,SAC,HOME,SAS,L (-7),1,30:09,.611,.611,4.3,10.6,7.8,49.7,0.0,0.0,30.8,19.3,111,115,11.3,3.0
20,2018-01-09,20-020,SAC,AWAY,LAL,L (-13),1,32:10,.456,.469,0.0,3.6,1.5,21.3,5.8,3.6,15.4,25.3,80,92,9.5,4.0
21,2018-01-11,20-022,SAC,HOME,LAC,L (-6),1,29:22,.368,.300,0.0,0.0,0.0,26.4,4.8,0.0,15.5,18.7,88,115,6.2,-4.9
22,2018-01-13,20-024,SAC,AWAY,LAC,L (-21),1,35:21,.443,.382,0.0,4.2,1.8,39.0,2.7,0.0,17.2,28.5,94,127,11.2,-5.6
23,2018-01-15,20-026,SAC,AWAY,OKC,L (-7),1,27:07,.558,.500,0.0,10.8,5.5,34.1,0.0,0.0,15.7,20.9,103,104,7.7,-1.6
24,2018-01-17,20-028,SAC,HOME,UTA,L (-15),1,35:58,.387,.167,0.0,3.9,2.1,14.6,1.5,2.6,27.9,14.4,83,133,1.6,-12.5
25,2018-01-19,20-030,SAC,AWAY,MEM,L (-18),1,32:20,.563,.458,0.0,6.3,3.2,36.2,0.0,2.7,22.0,24.8,103,118,9.5,-3.6
26,2018-01-22,20-033,SAC,AWAY,CHO,L (-5),1,31:11,.526,.500,0.0,10.7,5.1,31.9,1.6,0.0,6.2,22.5,115,117,13.1,0.7
27,2018-01-23,20-034,SAC,AWAY,ORL,W (+6),1,10:31,.583,.583,11.4,0.0,5.4,0.0,0.0,0.0,0.0,25.7,124,117,4.3,-2.5
28,2018-01-25,20-036,SAC,AWAY,MIA,W (+1),1,29:31,.429,.400,3.7,8.1,5.8,23.0,1.7,0.0,10.9,29.7,87,97,7.0,-3.2
29,2018-01-28,20-039,SAC,AWAY,SAS,L (-15),1,33:26,.776,.733,0.0,0.0,0.0,18.3,0.0,2.2,0.0,25.1,153,134,20.7,11.0
30,2018-01-30,20-041,SAC,AWAY,NOP,W (+11),1,27:12,.504,.464,11.0,14.3,12.5,19.9,1.8,0.0,16.8,26.9,104,103,10.6,-0.5
31,2018-02-02,20-044,SAC,HOME,GSW,L (-15),1,31:05,.417,.353,0.0,9.1,3.7,28.3,1.5,3.3,9.4,29.3,88,118,9.8,-5.3
32,2018-02-03,20-045,SAC,HOME,DAL,L (-7),1,35:07,.540,.538,0.0,4.0,2.0,16.4,4.5,0.0,12.6,21.6,104,116,11.2,-2.5
33,2018-02-05,20-047,SAC,HOME,CHI,W (+6),1,16:45,.317,.286,6.2,6.4,6.3,18.3,0.0,0.0,20.2,26.7,68,113,0.5,-16.3
34,2018-02-09,20-051,SAC,HOME,POR,L (-18),1,33:44,.502,.333,5.9,17.8,11.3,38.0,0.0,0.0,23.6,21.7,103,126,11.5,-3.9
35,2018-02-11,20-053,SAC,AWAY,MIN,L (-5),1,34:48,.589,.531,0.0,7.7,3.4,8.9,4.4,0.0,20.4,29.8,102,115,13.8,-0.4
36,2018-02-13,20-055,SAC,AWAY,DAL,W (+5),1,31:12,.458,.458,0.0,16.6,8.2,27.4,1.6,0.0,20.0,22.8,92,115,8.7,-6.2
37,2018-02-14,20-056,SAC,AWAY,HOU,L (-9),1,25:47,.414,.350,0.0,8.1,3.9,17.2,1.9,0.0,21.6,24.0,74,106,2.7,-9.4
38,2018-02-24,20-066,SAC,HOME,LAL,L (-5),1,30:03,.454,.423,0.0,3.7,1.7,28.2,1.7,0.0,0.0,20.3,121,125,10.6,-2.0
39,2018-02-26,20-068,SAC,HOME,MIN,L (-18),1,27:11,.722,.722,0.0,11.4,4.8,28.3,0.0,0.0,18.2,18.7,123,131,10.0,1.3
40,2018-02-27,20-069,SAC,AWAY,POR,L (-17),1,33:25,.409,.367,0.0,10.8,5.2,36.1,4.4,0.0,15.9,25.4,86,117,11.0,-2.4
41,2018-03-01,20-071,SAC,HOME,BRK,W (+5),1,36:17,.618,.618,0.0,6.0,3.1,4.1,2.8,8.8,22.7,27.4,92,108,12.7,-2.1
42,2018-03-03,20-073,SAC,HOME,UTA,L (-7),1,27:30,.555,.500,0.0,14.5,7.0,24.0,3.7,0.0,16.4,29.2,99,99,10.7,1.2
43,2018-03-04,20-074,SAC,HOME,NYK,W (+3),1,28:39,.417,.417,4.2,7.3,5.8,10.4,1.8,0.0,20.0,24.7,76,110,3.1,-10.1
44,2018-03-07,20-077,SAC,HOME,NOP,L (-13),1,5:04,.333,.333,0.0,0.0,0.0,32.1,0.0,0.0,0.0,26.0,89,126,1.0,-8.1
45,2018-03-11,20-081,SAC,AWAY,DEN,L (-26),1,30:22,.515,.444,0.0,12.2,5.3,43.5,0.0,0.0,0.0,17.4,125,138,12.9,-0.2
46,2018-03-12,20-082,SAC,AWAY,OKC,L (-5),1,33:33,.413,.375,0.0,3.5,1.6,44.3,1.5,3.0,13.1,19.7,102,114,9.6,-0.7
47,2018-03-14,20-084,SAC,HOME,MIA,W (+4),1,35:25,.617,.643,3.3,3.0,3.1,13.0,0.0,0.0,5.8,22.2,122,124,13.9,-2.1
48,2018-03-16,20-086,SAC,AWAY,GSW,W (+5),1,25:24,.375,.375,0.0,4.2,2.2,12.5,0.0,0.0,27.3,20.1,63,113,-0.1,-16.4
49,2018-03-17,20-087,SAC,AWAY,UTA,L (-6),1,27:13,.373,.308,4.1,13.9,8.7,11.8,7.2,0.0,21.3,31.5,66,97,5.3,-6.6
50,2018-03-19,20-089,SAC,HOME,DET,L (-16),1,31:24,.649,.727,0.0,12.4,5.5,22.0,0.0,0.0,19.6,22.3,103,121,9.8,-3.6
51,2018-03-22,20-092,SAC,HOME,ATL,W (+15),1,19:43,.168,.091,0.0,27.0,13.4,24.0,2.5,0.0,14.4,30.7,51,93,-1.2,-21.0
52,2018-03-25,20-095,SAC,HOME,BOS,L (-11),1,26:29,.550,.550,0.0,0.0,0.0,6.3,0.0,0.0,23.1,23.5,83,119,2.9,-10.4
53,2018-03-27,20-097,SAC,HOME,DAL,L (-6),1,25:06,.239,.200,0.0,14.7,6.5,33.6,0.0,4.8,8.7,19.6,68,109,2.0,-10.6
