,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-10-20,36-096,SAC,AWAY,DAL,W (+5),1,30:19,.388,.367,10.6,9.9,10.2,5.4,3.6,0.0,5.6,26.3,94,99,8.0,-2.5
1,2017-10-21,36-097,SAC,AWAY,DEN,L (-17),1,20:01,.423,.423,18.4,26.6,22.2,0.0,5.4,0.0,13.3,34.7,83,91,7.0,0.8
2,2017-10-23,36-099,SAC,AWAY,PHO,L (-2),1,15:27,.000,.000,6.0,31.1,15.2,7.2,0.0,0.0,20.0,12.9,27,119,-3.1,-22.0
3,2017-10-26,36-102,SAC,HOME,NOP,L (-8),1,29:01,.488,.458,3.9,33.9,18.4,16.7,0.0,3.1,13.1,24.4,92,115,10.1,-2.7
4,2017-10-31,36-107,SAC,AWAY,IND,L (-18),1,23:01,.600,.600,8.7,12.5,10.6,0.0,0.0,0.0,23.1,25.1,92,112,5.5,-6.1
5,2017-11-01,36-108,SAC,AWAY,BOS,L (-27),1,22:47,.554,.536,9.8,18.1,13.5,20.8,0.0,5.1,6.5,32.1,106,130,12.0,4.3
6,2017-11-04,36-111,SAC,AWAY,DET,L (-9),1,29:52,.658,.643,0.0,17.4,9.6,23.7,0.0,0.0,21.7,30.0,103,119,11.2,-0.8
7,2017-11-07,36-114,SAC,HOME,OKC,W (+8),1,26:32,.567,.533,4.5,24.8,15.9,24.1,3.6,0.0,27.4,36.9,85,80,10.8,1.7
8,2017-11-09,36-116,SAC,HOME,PHI,W (+1),1,29:12,.601,.571,6.4,16.4,11.4,11.5,3.2,0.0,10.7,26.8,110,101,16.1,5.3
9,2017-11-11,36-118,SAC,AWAY,NYK,L (-27),1,19:50,.510,.400,0.0,18.6,8.9,19.2,0.0,0.0,33.8,20.2,76,128,2.6,-10.2
10,2017-11-13,36-120,SAC,AWAY,WAS,L (-18),1,22:42,.423,.333,16.9,30.2,22.4,8.3,2.4,0.0,6.6,31.5,98,119,9.8,-2.8
11,2017-11-15,36-122,SAC,AWAY,ATL,L (-46),1,24:30,.649,.636,10.7,7.3,9.6,22.7,0.0,0.0,7.5,24.0,125,142,13.5,4.1
12,2017-11-17,36-124,SAC,HOME,POR,W (+4),1,14:21,.000,.000,0.0,31.9,15.4,9.3,0.0,0.0,20.0,16.0,11,92,-2.7,-18.5
13,2017-11-18,36-125,SAC,AWAY,POR,L (-12),1,21:47,.644,.591,13.8,13.8,13.8,0.0,0.0,0.0,7.0,29.0,127,117,12.6,7.2
14,2017-11-20,36-127,SAC,HOME,DEN,L (-16),1,25:43,.500,.500,4.7,21.7,13.5,18.8,6.0,0.0,14.3,25.6,95,112,10.5,0.8
15,2017-11-22,36-129,SAC,HOME,LAL,W (+11),1,30:12,.688,.688,0.0,29.3,14.6,35.8,4.9,0.0,11.1,26.5,134,99,21.6,14.8
16,2017-11-25,36-132,SAC,HOME,LAC,L (-2),1,30:40,.571,.536,8.0,22.4,14.8,17.4,1.7,0.0,0.0,22.2,130,106,15.2,5.4
17,2017-11-27,36-134,SAC,AWAY,GSW,W (+4),1,21:49,.431,.364,11.6,25.9,18.3,13.3,2.5,0.0,7.3,29.9,102,117,8.1,-7.5
18,2017-11-28,36-135,SAC,HOME,MIL,L (-25),1,19:16,.556,.556,0.0,38.9,16.0,13.4,0.0,5.1,18.2,25.9,89,116,6.2,-0.5
19,2017-12-01,36-138,SAC,AWAY,CHI,W (+1),1,31:41,.643,.632,8.0,38.8,24.3,16.9,0.0,2.8,4.9,30.0,127,112,22.6,4.5
20,2017-12-06,36-143,SAC,AWAY,CLE,L (-6),1,31:55,.450,.450,6.7,28.0,17.1,33.5,4.8,0.0,0.0,29.0,107,103,16.6,6.3
21,2017-12-08,36-145,SAC,AWAY,NOP,W (+7),1,33:54,.765,.750,12.0,37.2,25.1,12.5,1.5,0.0,11.6,33.7,140,104,28.1,15.0
