,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-10-18,24-028,SAS,HOME,MIN,W (+8),1,29:41,.607,.611,0.0,29.7,15.8,4.9,0.0,2.5,0.0,14.7,129,105,11.0,1.3
1,2017-10-21,24-031,SAS,AWAY,CHI,W (+10),1,31:58,.286,.286,5.6,19.6,12.0,4.3,0.0,0.0,22.2,12.2,59,85,1.8,-9.3
2,2017-10-23,24-033,SAS,HOME,TOR,W (+4),1,28:13,.465,.444,7.2,8.1,7.6,5.1,0.0,7.9,15.7,18.1,94,101,5.0,-2.2
3,2017-10-25,24-035,SAS,AWAY,MIA,W (+17),1,27:16,.564,.500,4.9,39.6,23.2,10.1,1.9,0.0,0.0,18.3,131,106,12.6,3.7
4,2017-10-27,24-037,SAS,AWAY,ORL,L (-27),1,21:52,.410,.250,11.8,17.3,14.0,23.7,2.2,0.0,17.0,10.9,103,116,6.3,-1.5
5,2017-10-29,24-039,SAS,AWAY,IND,L (-3),1,23:31,.571,.571,20.4,16.1,18.6,22.0,2.1,3.7,22.2,16.3,114,100,10.9,6.1
6,2017-10-30,24-040,SAS,AWAY,BOS,L (-14),1,23:50,.313,.313,11.8,9.4,10.7,12.6,0.0,0.0,0.0,15.1,95,124,3.5,-7.7
7,2017-11-02,24-043,SAS,HOME,GSW,L (-20),1,26:13,.752,.625,11.0,19.8,14.7,29.5,1.9,10.0,8.6,18.8,155,107,20.2,18.8
8,2017-11-03,24-044,SAS,HOME,CHO,W (+7),1,22:08,.667,.667,0.0,26.6,14.3,6.3,2.2,11.6,25.0,7.9,95,90,6.1,3.1
9,2017-11-05,24-046,SAS,HOME,PHO,W (+17),1,21:09,.333,.333,0.0,19.7,10.3,10.9,4.7,3.9,0.0,6.5,98,89,4.4,0.8
10,2017-11-07,24-048,SAS,HOME,LAC,W (+13),1,31:40,.621,.667,7.6,8.0,7.8,15.6,3.2,0.0,13.4,10.7,133,115,9.6,-0.8
