,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-10-18,37-104,SAS,HOME,MIN,W (+8),1,28:48,.438,.438,7.8,17.0,12.7,18.5,0.0,7.6,11.1,13.8,108,104,9.0,2.3
1,2017-10-21,37-107,SAS,AWAY,CHI,W (+10),1,19:44,.490,.375,9.0,26.4,17.0,31.7,0.0,0.0,22.7,28.9,92,83,7.9,4.2
2,2017-10-23,37-109,SAS,HOME,TOR,W (+4),1,22:00,.073,.000,9.3,26.0,17.2,21.8,0.0,15.2,36.8,19.8,39,93,-0.6,-7.7
3,2017-10-25,37-111,SAS,AWAY,MIA,W (+17),1,19:00,.666,.625,7.0,50.5,29.9,0.0,2.7,4.7,23.5,31.5,103,98,10.0,0.1
4,2017-10-27,37-113,SAS,AWAY,ORL,L (-27),1,25:32,.761,.714,13.4,34.6,22.0,9.1,0.0,0.0,11.3,14.2,143,119,13.7,3.1
5,2017-10-29,37-115,SAS,AWAY,IND,L (-3),1,30:14,.751,.750,0.0,29.2,12.6,31.9,0.0,14.4,0.0,15.9,161,93,20.7,17.6
6,2017-10-30,37-116,SAS,AWAY,BOS,L (-14),1,24:49,.468,.450,11.4,22.5,16.5,27.4,2.1,0.0,0.0,21.3,119,115,12.2,6.6
7,2017-11-02,37-119,SAS,HOME,GSW,L (-20),1,25:55,.688,.688,3.7,30.0,14.9,15.0,0.0,0.0,11.1,14.7,128,120,9.9,3.1
8,2017-11-03,37-120,SAS,HOME,CHO,W (+7),1,27:12,.425,.400,8.4,28.8,19.4,34.8,0.0,6.3,25.4,12.7,105,98,8.4,3.4
9,2017-11-05,37-122,SAS,HOME,PHO,W (+17),1,25:55,.295,.227,4.4,32.2,18.9,13.8,0.0,9.6,7.8,22.7,76,92,5.2,-5.4
10,2017-11-07,37-124,SAS,HOME,LAC,W (+13),1,28:05,1.056,1.056,12.8,22.5,17.5,32.7,0.0,0.0,25.0,19.5,156,119,19.5,13.2
11,2017-11-10,37-127,SAS,HOME,MIL,L (-7),1,20:25,.515,.417,5.2,20.9,13.1,40.1,0.0,3.3,11.4,20.0,117,101,8.9,9.1
12,2017-11-11,37-128,SAS,HOME,CHI,W (+39),1,27:18,.884,.864,5.7,38.6,24.4,19.0,3.6,2.8,7.8,21.6,169,88,24.0,18.4
13,2017-11-14,37-131,SAS,AWAY,DAL,W (+6),1,23:25,.200,.200,4.8,41.9,23.6,24.9,0.0,0.0,37.5,15.9,55,98,1.7,-7.5
14,2017-11-15,37-132,SAS,AWAY,MIN,L (-12),1,28:18,.630,.556,3.9,27.6,15.8,27.7,0.0,0.0,22.5,22.2,110,113,10.9,4.3
15,2017-11-17,37-134,SAS,HOME,OKC,W (+3),1,29:45,.726,.571,12.1,17.9,15.2,22.1,0.0,4.9,9.4,16.8,159,113,15.9,9.6
16,2017-11-20,37-137,SAS,HOME,ATL,W (+11),1,18:16,.436,.333,0.0,39.1,20.4,0.0,0.0,0.0,12.7,18.9,85,90,3.3,-7.8
17,2017-11-22,37-139,SAS,AWAY,NOP,L (-17),1,25:26,.773,.773,4.1,39.7,20.2,8.7,1.9,9.9,8.3,20.7,130,99,16.8,15.0
