,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2017-11-27,35-194,SAS,HOME,DAL,W (+7),1,14:08,.429,.429,0.0,0.0,0.0,41.4,0.0,0.0,0.0,23.5,106,118,4.7,-6.0
1,2017-11-29,35-196,SAS,HOME,MEM,W (+9),1,17:54,.635,.571,0.0,14.1,7.8,49.2,0.0,0.0,11.3,25.5,130,116,9.0,1.1
2,2017-12-01,35-198,SAS,AWAY,MEM,W (+16),1,16:22,.463,.333,7.9,0.0,3.6,46.7,0.0,0.0,25.8,35.2,90,99,4.3,-6.3
3,2017-12-04,35-201,SAS,HOME,DET,W (+3),1,19:36,.643,.600,0.0,20.4,10.5,26.6,0.0,0.0,26.9,17.6,102,101,5.6,-4.7
4,2017-12-06,35-203,SAS,HOME,MIA,W (+12),1,19:51,.714,.714,7.3,16.1,11.5,64.2,0.0,6.4,12.5,18.6,159,120,14.4,13.7
5,2017-12-08,35-205,SAS,HOME,BOS,W (+3),1,19:24,.506,.500,0.0,28.8,14.6,38.6,2.8,0.0,15.5,30.5,103,107,8.9,2.0
6,2017-12-12,35-209,SAS,AWAY,DAL,L (-6),1,23:41,.318,.333,0.0,21.6,10.3,21.0,2.2,0.0,9.6,20.1,70,101,3.7,-6.4
7,2017-12-15,35-212,SAS,AWAY,HOU,L (-15),1,16:55,.250,.250,0.0,7.3,3.4,6.6,2.8,0.0,20.0,12.2,54,126,0.2,-11.8
8,2017-12-18,35-215,SAS,HOME,LAC,W (+18),1,22:48,.743,.833,0.0,0.0,0.0,58.3,4.3,0.0,21.8,26.6,124,91,15.2,13.7
9,2017-12-21,35-218,SAS,AWAY,UTA,L (-11),1,25:57,.652,.625,0.0,0.0,0.0,44.8,0.0,0.0,10.6,17.6,134,117,10.6,5.0
10,2017-12-23,35-220,SAS,AWAY,SAC,W (+9),1,23:04,.455,.455,0.0,0.0,0.0,37.2,0.0,0.0,8.3,24.8,103,114,7.5,-4.7
11,2017-12-26,35-223,SAS,HOME,BRK,W (+12),1,24:30,.643,.650,0.0,15.7,8.9,6.7,0.0,0.0,21.6,26.5,97,106,7.9,-4.4
12,2017-12-28,35-225,SAS,HOME,NYK,W (+12),1,29:06,.709,.667,0.0,7.3,3.8,15.9,1.8,0.0,9.2,16.9,134,114,11.6,-0.5
13,2017-12-30,35-227,SAS,AWAY,DET,L (-14),1,20:29,.333,.333,0.0,22.3,10.3,17.8,0.0,0.0,33.3,20.3,51,106,-0.2,-14.2
14,2018-01-02,35-230,SAS,AWAY,NYK,W (+9),1,24:25,.510,.400,0.0,16.4,7.9,21.8,0.0,0.0,25.4,14.8,92,105,3.8,-9.3
15,2018-01-05,35-233,SAS,HOME,PHO,W (+14),1,27:21,.500,.500,4.0,3.8,3.9,32.8,0.0,0.0,42.9,11.2,97,98,4.9,-6.1
16,2018-01-08,35-236,SAS,AWAY,SAC,W (+7),1,23:01,.354,.333,0.0,0.0,0.0,5.5,2.2,0.0,16.8,23.4,64,108,1.2,-14.3
17,2018-01-13,35-241,SAS,HOME,DEN,W (+32),1,19:19,.833,.833,0.0,5.2,3.0,34.5,0.0,0.0,0.0,7.3,190,96,7.5,8.3
18,2018-01-15,35-243,SAS,AWAY,ATL,L (-3),1,25:12,.375,.375,0.0,9.5,4.4,24.4,8.1,0.0,0.0,14.5,94,99,8.6,1.8
19,2018-01-17,35-245,SAS,AWAY,BRK,W (+5),1,25:16,.311,.250,0.0,13.9,6.4,13.4,0.0,0.0,0.0,23.4,71,105,2.3,-12.8
20,2018-01-19,35-247,SAS,AWAY,TOR,L (-3),1,16:57,.152,.111,0.0,11.8,5.3,40.2,9.2,0.0,9.2,27.6,48,80,1.7,-1.6
