,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-17,25-123,ATL,AWAY,NYK,L (-19),1,21:26,.509,.500,10.4,9.3,9.8,13.1,0.0,3.4,30.4,18.1,86,113,3.1,-7.9
1,2018-10-19,25-125,ATL,AWAY,MEM,L (-14),1,26:16,.563,.563,4.1,15.2,9.0,10.8,0.0,0.0,20.0,15.5,99,129,5.2,-7.2
2,2018-10-21,25-127,ATL,AWAY,CLE,W (+22),1,32:21,.621,.583,6.9,26.7,17.5,15.8,0.0,8.2,7.2,17.4,134,100,17.9,2.6
3,2018-10-24,25-130,ATL,HOME,DAL,W (+7),1,27:52,.350,.350,9.7,13.0,11.4,16.2,0.0,10.1,9.1,15.8,89,94,6.1,-3.1
4,2018-10-27,25-133,ATL,HOME,CHI,L (-12),1,16:45,.333,.333,0.0,25.5,11.5,0.0,0.0,0.0,14.3,17.3,56,100,0.4,-12.4
5,2018-10-29,25-135,ATL,AWAY,PHI,L (-21),1,14:30,.680,.700,11.4,0.0,6.0,0.0,3.1,0.0,14.5,19.6,116,111,5.1,-1.8
6,2018-10-30,25-136,ATL,AWAY,CLE,L (-22),1,26:38,.945,1.056,4.4,31.3,18.6,6.5,3.4,5.5,7.9,20.4,168,117,23.9,13.4
7,2018-11-01,25-138,ATL,HOME,SAC,L (-31),1,22:14,.585,.400,14.1,15.1,14.6,5.7,0.0,0.0,24.2,21.6,104,133,6.6,-9.2
8,2018-11-03,25-140,ATL,HOME,MIA,W (+5),1,23:57,.814,.800,5.6,14.3,10.3,0.0,2.0,13.4,12.9,13.6,138,113,11.2,3.1
9,2018-11-06,25-143,ATL,AWAY,CHO,L (-11),1,19:05,.545,.545,0.0,19.9,9.4,9.7,2.3,0.0,26.7,32.8,76,107,4.9,-8.5
10,2018-11-07,25-144,ATL,HOME,NYK,L (-5),1,16:03,.461,.438,11.5,21.9,16.1,0.0,0.0,6.4,17.0,28.9,84,109,2.8,-11.9
11,2018-11-09,25-146,ATL,HOME,DET,L (-15),1,7:57,.200,.200,28.1,0.0,12.4,20.2,0.0,0.0,28.6,37.5,55,127,-1.4,-26.3
12,2018-11-11,25-148,ATL,AWAY,LAL,L (-1),1,26:50,.531,.531,13.1,28.1,21.4,6.7,1.7,0.0,20.0,30.4,89,97,9.2,-5.5
13,2018-11-13,25-150,ATL,AWAY,GSW,L (-7),1,32:00,.686,.750,6.7,16.7,11.7,4.8,0.0,0.0,8.9,15.3,128,118,10.2,-3.6
14,2018-11-15,25-152,ATL,AWAY,DEN,L (-45),1,12:42,.410,.333,18.9,19.4,19.1,0.0,0.0,12.0,21.5,28.7,78,124,3.1,-10.7
15,2018-11-17,25-154,ATL,AWAY,IND,L (-8),1,20:26,.285,.143,9.8,10.2,10.0,16.4,2.2,0.0,0.0,17.6,79,96,3.7,-4.0
16,2018-11-19,25-156,ATL,HOME,LAC,L (-8),1,23:36,.636,.611,23.0,24.4,23.7,0.0,0.0,6.8,17.5,18.9,121,114,11.9,-0.7
17,2018-12-23,25-190,ATL,AWAY,DET,W (+3),1,34:43,.397,.389,21.7,28.3,24.7,5.3,1.4,7.7,17.5,26.8,83,89,10.9,-5.6
18,2018-12-29,25-196,ATL,HOME,CLE,W (+3),1,23:36,.466,.417,8.0,8.8,8.4,6.2,0.0,3.3,7.2,23.1,103,111,6.8,-6.3
19,2018-12-31,25-198,ATL,AWAY,IND,L (-8),1,24:55,.498,.500,18.5,9.6,14.7,15.1,2.0,3.2,9.5,33.7,109,119,13.4,-0.4
20,2019-03-03,25-260,ATL,AWAY,CHI,W (+5),1,26:36,.651,.639,16.4,20.5,18.5,14.0,0.0,5.6,0.0,34.0,140,114,22.9,6.6
21,2019-03-04,25-261,ATL,AWAY,MIA,L (-1),1,20:49,.145,.000,4.7,21.0,11.2,12.1,0.0,0.0,12.7,15.7,57,120,-1.4,-16.9
22,2019-03-06,25-263,ATL,HOME,SAS,L (-7),1,28:35,.619,.625,6.2,20.0,12.2,11.5,1.6,0.0,10.1,14.2,121,106,10.1,1.5
23,2019-03-09,25-266,ATL,HOME,BRK,L (-2),1,29:24,.536,.536,5.7,6.0,5.9,0.0,0.0,3.9,6.7,19.0,108,113,7.7,-3.3
24,2019-03-10,25-267,ATL,HOME,NOP,W (+12),1,28:42,.594,.594,10.7,19.7,15.4,0.0,0.0,2.8,5.9,24.7,116,111,14.2,-1.9
25,2019-03-31,25-288,ATL,HOME,MIL,W (+1),1,26:56,.767,.767,6.1,12.1,9.2,0.0,0.0,0.0,16.7,26.3,115,122,15.7,-1.4
26,2019-04-02,25-290,ATL,AWAY,SAS,L (-6),1,27:57,.770,.818,3.3,19.1,9.8,16.6,1.7,3.4,0.0,20.6,155,116,19.4,12.3
27,2019-04-03,25-291,ATL,HOME,PHI,W (+8),1,14:26,.799,.833,0.0,16.9,9.9,0.0,0.0,5.0,12.7,22.7,126,116,7.0,0.6
28,2019-04-05,25-293,ATL,AWAY,ORL,L (-36),1,22:05,.455,.444,7.9,11.7,9.5,12.6,2.0,0.0,0.0,17.7,109,138,7.1,-4.8
29,2019-04-07,25-295,ATL,AWAY,MIL,L (-8),1,34:09,.633,.696,4.8,16.9,10.3,25.9,0.0,5.6,3.7,31.9,119,105,24.5,14.4
30,2019-04-10,25-298,ATL,HOME,IND,L (-1),1,30:52,.487,.412,17.9,12.0,15.0,13.9,0.0,6.9,0.0,23.3,135,125,18.1,0.8
