,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-11-21,29-101,ATL,HOME,TOR,L (-16),1,31:11,.225,.125,3.1,23.7,12.1,7.6,4.6,5.0,0.0,12.4,68,114,5.5,-6.6
1,2018-11-23,29-103,ATL,HOME,BOS,L (-18),1,24:21,.438,.438,0.0,32.9,16.6,0.0,0.0,3.9,0.0,13.9,84,108,5.4,-2.8
2,2018-11-25,29-105,ATL,HOME,CHO,W (+1),1,22:17,.250,.250,5.3,10.3,7.8,9.0,2.1,0.0,20.0,9.5,77,123,1.1,-10.7
3,2018-11-27,29-107,ATL,AWAY,MIA,W (+2),1,22:10,1.163,1.167,10.3,18.4,14.6,27.5,2.0,4.4,36.8,10.0,156,105,10.6,9.3
4,2018-11-28,29-108,ATL,AWAY,CHO,L (-14),1,20:06,.500,.500,8.7,27.8,17.1,0.0,6.9,0.0,10.0,19.6,97,95,7.6,0.2
5,2018-11-30,29-110,ATL,AWAY,OKC,L (-15),1,17:25,.200,.200,0.0,31.5,12.5,0.0,10.3,0.0,44.4,19.7,22,97,-0.7,-14.3
6,2018-12-03,29-113,ATL,HOME,GSW,L (-17),1,31:04,.375,.375,7.4,38.6,20.9,3.9,5.9,2.7,0.0,10.4,96,109,10.0,0.6
7,2018-12-05,29-115,ATL,HOME,WAS,L (-14),1,22:24,.465,.389,9.5,27.4,18.6,6.2,3.9,0.0,15.7,22.3,90,113,6.8,-7.1
8,2018-12-08,29-118,ATL,HOME,DEN,W (+8),1,29:36,.510,.400,3.5,30.6,18.0,17.6,3.0,5.3,25.4,10.8,101,83,9.6,1.3
9,2018-12-12,29-122,ATL,AWAY,DAL,L (-7),1,31:53,.571,.500,9.4,14.1,11.3,0.0,0.0,0.0,11.3,11.1,121,117,5.7,-4.6
10,2018-12-14,29-124,ATL,AWAY,BOS,L (-21),1,27:47,.409,.409,10.4,25.3,17.1,11.9,6.5,0.0,8.3,16.7,98,108,10.0,-1.1
11,2018-12-16,29-126,ATL,AWAY,BRK,L (-17),1,31:33,.872,.875,12.3,39.1,25.4,13.1,1.5,3.2,0.0,19.0,174,137,25.8,10.3
12,2018-12-18,29-128,ATL,HOME,WAS,W (+8),1,27:27,.888,.917,8.5,31.1,20.3,12.4,0.0,4.1,35.3,16.6,113,105,11.9,4.8
