,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-11-21,21-059,ATL,HOME,TOR,L (-16),1,26:45,.333,.333,3.6,23.0,12.1,19.6,0.0,0.0,18.2,18.0,76,127,2.7,-11.2
1,2018-11-23,21-061,ATL,HOME,BOS,L (-18),1,30:03,.820,.875,3.9,22.8,13.5,6.7,0.0,0.0,33.9,20.7,97,112,9.0,-4.3
2,2018-11-25,21-063,ATL,HOME,CHO,W (+1),1,30:08,.681,.688,15.5,26.5,21.1,19.6,0.0,3.4,10.6,26.4,133,122,20.6,2.4
3,2018-11-27,21-065,ATL,AWAY,MIA,W (+2),1,29:12,.680,.600,0.0,14.0,7.4,11.7,0.0,3.4,14.5,19.2,122,111,11.9,-0.5
4,2018-11-28,21-066,ATL,AWAY,CHO,L (-14),1,31:14,.398,.300,5.6,28.6,15.7,22.4,1.5,0.0,20.9,18.1,84,106,7.0,-4.9
5,2018-11-30,21-068,ATL,AWAY,OKC,L (-15),1,32:47,.615,.600,11.1,29.3,18.3,4.9,0.0,3.1,6.1,19.1,125,120,17.4,0.5
6,2018-12-03,21-071,ATL,HOME,GSW,L (-17),1,29:45,.783,.786,11.5,40.3,24.0,12.3,0.0,2.8,11.5,23.6,140,123,22.0,8.3
7,2018-12-05,21-073,ATL,HOME,WAS,L (-14),1,31:50,.745,.765,10.1,35.3,22.9,0.0,0.0,0.0,10.3,23.9,125,120,19.9,0.7
8,2018-12-08,21-076,ATL,HOME,DEN,W (+8),1,33:14,.689,.675,9.4,24.5,17.5,31.9,0.0,2.4,4.4,27.8,136,94,27.6,14.2
9,2018-12-12,21-080,ATL,AWAY,DAL,L (-7),1,35:56,.446,.455,25.0,33.4,28.4,4.5,0.0,3.3,18.2,30.5,91,113,11.3,-7.7
10,2018-12-14,21-082,ATL,AWAY,BOS,L (-21),1,29:13,.414,.250,23.0,28.0,25.3,5.0,0.0,2.9,27.4,24.2,82,121,6.4,-13.8
11,2018-12-16,21-084,ATL,AWAY,BRK,L (-17),1,33:55,.670,.684,11.5,20.2,15.7,9.9,0.0,2.9,12.2,31.7,118,145,21.2,-6.2
12,2018-12-18,21-086,ATL,HOME,WAS,W (+8),1,25:12,.601,.536,27.9,29.6,28.8,24.1,0.0,0.0,15.3,31.4,123,107,16.4,3.2
13,2018-12-21,21-089,ATL,AWAY,NYK,W (+7),1,32:56,.507,.467,15.8,37.3,26.2,17.8,0.0,0.0,5.6,22.0,122,107,16.7,1.5
14,2018-12-26,21-094,ATL,HOME,IND,L (-8),1,27:04,.756,.769,22.2,26.6,24.4,0.0,0.0,3.2,12.6,24.3,133,126,17.5,0.8
15,2018-12-28,21-096,ATL,AWAY,MIN,W (+3),1,39:10,.610,.600,14.1,11.9,12.9,15.5,0.0,0.0,10.4,19.7,129,114,17.1,0.3
16,2018-12-29,21-097,ATL,HOME,CLE,W (+3),1,27:26,.489,.462,20.6,26.6,23.4,10.8,0.0,0.0,12.3,23.4,108,110,10.6,-5.1
17,2018-12-31,21-099,ATL,AWAY,IND,L (-8),1,37:09,.656,.600,17.4,29.1,22.5,16.9,0.0,0.0,0.0,18.0,163,122,23.9,8.1
18,2019-01-02,21-101,ATL,AWAY,WAS,L (-16),1,26:54,.706,.714,3.5,26.6,14.6,20.8,0.0,0.0,11.8,26.3,123,115,15.3,9.2
19,2019-01-04,21-103,ATL,AWAY,MIL,L (-32),1,25:34,.515,.444,8.0,24.7,15.5,12.7,3.3,0.0,7.9,19.5,108,124,10.2,-3.0
20,2019-01-06,21-105,ATL,HOME,MIA,W (+24),1,27:09,.888,.833,12.3,31.0,23.0,0.0,0.0,3.3,21.5,14.5,141,79,13.0,3.8
21,2019-01-08,21-107,ATL,AWAY,TOR,L (-3),1,34:52,.852,.864,15.0,28.8,21.7,9.5,1.3,0.0,24.5,18.7,129,101,19.1,7.4
22,2019-01-09,21-108,ATL,AWAY,BRK,L (-16),1,34:58,.635,.595,22.9,13.2,18.1,7.0,1.3,0.0,11.3,28.3,126,112,25.4,8.9
23,2019-01-11,21-110,ATL,AWAY,PHI,W (+2),1,33:49,.636,.618,25.0,10.6,17.3,9.2,1.4,0.0,4.8,25.7,146,125,21.6,1.6
24,2019-01-13,21-112,ATL,HOME,MIL,L (-19),1,33:34,.373,.353,8.8,26.0,16.9,18.8,0.0,0.0,5.4,19.8,100,122,7.8,-3.8
25,2019-01-15,21-114,ATL,HOME,OKC,W (+16),1,28:23,.849,.857,9.7,10.4,10.1,9.5,0.0,0.0,0.0,22.5,177,125,22.7,4.8
26,2019-01-19,21-118,ATL,HOME,BOS,L (-8),1,28:35,.856,.786,11.2,28.6,20.1,15.9,0.0,0.0,25.5,16.7,135,113,14.1,2.8
27,2019-01-21,21-120,ATL,HOME,ORL,L (-19),1,31:49,.478,.458,10.1,24.0,17.0,14.4,0.0,0.0,17.0,24.4,94,124,8.1,-6.9
28,2019-01-23,21-122,ATL,AWAY,CHI,W (+20),1,29:10,1.010,1.000,10.7,19.6,15.0,15.0,3.4,0.0,10.4,27.4,174,101,32.8,23.3
29,2019-01-26,21-125,ATL,AWAY,POR,L (-9),1,28:46,.763,.750,7.4,17.6,12.1,5.8,0.0,0.0,0.0,20.7,156,126,17.9,5.9
30,2019-01-28,21-127,ATL,AWAY,LAC,W (+5),1,30:08,.902,.850,11.9,11.4,11.7,0.0,3.3,0.0,14.1,19.4,157,118,19.2,6.6
31,2019-01-30,21-129,ATL,AWAY,SAC,L (-22),1,25:26,.418,.333,16.1,13.5,14.8,6.6,0.0,2.9,15.2,31.9,86,130,7.2,-12.4
32,2019-02-01,21-131,ATL,AWAY,UTA,L (-16),1,27:02,.535,.500,0.0,16.5,7.8,7.2,1.7,3.4,14.5,30.8,90,121,9.2,-5.5
33,2019-02-02,21-132,ATL,AWAY,PHO,W (+6),1,38:49,.705,.700,28.8,15.8,22.0,9.2,0.0,1.9,7.5,27.8,149,113,32.7,8.6
34,2019-02-04,21-134,ATL,AWAY,WAS,W (+8),1,16:35,.599,.444,35.3,35.4,35.4,16.8,0.0,0.0,7.4,33.8,145,125,15.2,2.0
35,2019-02-07,21-137,ATL,HOME,TOR,L (-18),1,31:54,.505,.500,3.3,36.0,19.6,5.3,0.0,3.2,14.4,19.3,89,118,7.3,-6.7
36,2019-02-09,21-139,ATL,HOME,CHO,L (-9),1,35:10,.696,.667,14.8,3.8,9.3,0.0,1.4,3.0,21.0,23.2,116,135,13.8,-7.6
37,2019-02-10,21-140,ATL,HOME,ORL,L (-16),1,24:49,.528,.417,9.0,9.9,9.4,14.2,0.0,3.6,6.6,28.8,111,133,10.9,-5.2
38,2019-02-12,21-142,ATL,HOME,LAL,W (+4),1,33:55,.640,.600,0.0,22.2,12.4,14.8,0.0,0.0,10.4,22.0,115,105,14.8,1.2
39,2019-02-14,21-144,ATL,HOME,NYK,L (-15),1,25:11,.364,.364,3.7,0.0,2.0,0.0,2.0,0.0,0.0,18.8,79,114,2.4,-9.6
40,2019-02-22,21-152,ATL,HOME,DET,L (-3),1,34:14,.522,.469,12.7,6.0,9.2,0.0,0.0,2.5,0.0,22.3,122,126,13.1,-4.2
41,2019-02-23,21-153,ATL,HOME,PHO,W (+8),1,30:13,.660,.450,13.5,36.1,24.4,10.0,0.0,0.0,12.2,21.4,136,110,17.6,1.8
42,2019-02-25,21-155,ATL,AWAY,HOU,L (-8),1,32:20,.765,.750,12.7,31.1,22.8,5.2,1.5,0.0,13.3,20.9,141,119,19.1,4.5
43,2019-02-27,21-157,ATL,HOME,MIN,W (+8),1,33:20,.719,.667,2.8,19.9,11.4,0.0,0.0,0.0,11.3,31.6,127,112,22.7,5.1
44,2019-03-06,21-164,ATL,HOME,SAS,L (-7),1,25:00,.639,.545,10.7,32.0,20.0,15.7,0.0,0.0,6.6,24.8,133,108,16.5,5.9
45,2019-03-09,21-167,ATL,HOME,BRK,L (-2),1,29:55,.689,.650,16.9,38.6,27.5,17.7,1.5,3.8,7.7,32.3,137,95,30.6,17.9
46,2019-03-10,21-168,ATL,HOME,NOP,W (+12),1,30:15,.686,.667,10.1,21.8,16.2,0.0,0.0,10.6,5.6,24.5,133,103,20.5,3.8
47,2019-03-13,21-171,ATL,HOME,MEM,W (+21),1,25:22,.703,.676,23.1,29.4,26.4,6.1,1.9,7.7,5.0,31.8,147,104,26.4,11.9
48,2019-03-16,21-174,ATL,AWAY,BOS,L (-9),1,33:56,.436,.368,23.6,6.7,16.2,25.6,1.3,2.5,11.6,28.8,110,124,16.5,-2.7
49,2019-03-17,21-175,ATL,AWAY,ORL,L (-10),1,20:02,.556,.556,13.6,18.4,16.0,9.2,0.0,5.0,10.0,21.1,109,98,7.0,-0.7
50,2019-03-19,21-177,ATL,HOME,HOU,L (-16),1,31:10,.635,.643,7.9,28.7,18.8,6.1,1.6,0.0,6.0,23.6,120,120,16.7,1.8
51,2019-03-21,21-179,ATL,HOME,UTA,W (+3),1,27:27,.450,.450,7.9,21.9,15.2,5.1,1.7,2.8,9.1,17.0,96,107,5.8,-6.8
52,2019-03-23,21-181,ATL,HOME,PHI,W (+2),1,29:50,.553,.450,9.1,20.1,14.3,7.6,1.5,4.7,0.0,14.9,137,116,15.3,2.9
53,2019-03-26,21-184,ATL,AWAY,NOP,W (+10),1,19:51,.466,.417,15.8,24.2,19.7,0.0,0.0,4.9,18.9,30.9,85,107,4.2,-17.2
54,2019-03-29,21-187,ATL,HOME,POR,L (-20),1,34:51,.577,.531,2.6,3.2,2.9,15.3,0.0,4.3,10.4,24.2,108,121,13.3,0.2
55,2019-03-31,21-189,ATL,HOME,MIL,W (+1),1,38:10,.710,.750,6.5,19.2,12.9,14.1,0.0,6.8,0.0,16.7,151,115,24.9,5.6
56,2019-04-03,21-192,ATL,HOME,PHI,W (+8),1,34:32,.619,.583,6.6,14.1,11.0,4.1,1.4,4.1,9.0,26.8,119,117,19.1,-0.9
57,2019-04-05,21-194,ATL,AWAY,ORL,L (-36),1,34:07,.495,.444,10.2,7.6,9.2,4.7,1.3,0.0,16.5,28.0,92,140,9.3,-13.3
58,2019-04-10,21-199,ATL,HOME,IND,L (-1),1,35:49,.597,.567,23.2,41.2,32.2,24.9,0.0,2.0,15.2,19.4,133,120,24.5,4.3
