,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-16,32-135,BOS,HOME,PHI,W (+18),1,29:57,.605,.571,0.0,13.1,6.3,9.0,0.0,10.5,28.7,14.3,90,80,7.7,2.5
1,2018-10-19,32-138,BOS,AWAY,TOR,L (-12),1,33:26,.563,.542,13.5,16.0,14.6,39.4,1.5,2.5,19.4,18.9,120,114,16.4,10.5
2,2018-10-20,32-139,BOS,AWAY,NYK,W (+2),1,23:55,.508,.571,8.7,34.2,21.6,22.3,2.0,3.9,20.2,17.8,96,93,7.5,2.6
3,2018-10-22,32-141,BOS,HOME,ORL,L (-3),1,32:14,.508,.423,3.0,14.9,8.9,20.2,0.0,2.6,0.0,20.5,117,99,13.6,6.3
4,2018-10-25,32-144,BOS,AWAY,OKC,W (+6),1,31:27,.563,.531,9.0,18.0,13.5,13.7,1.5,2.3,5.6,24.5,116,92,15.0,9.3
5,2018-10-27,32-146,BOS,AWAY,DET,W (+20),1,20:42,.250,.250,4.7,13.4,9.2,6.7,2.3,4.5,11.1,19.0,59,85,1.0,-8.3
6,2018-10-30,32-149,BOS,HOME,DET,W (+3),1,32:50,.557,.556,6.2,9.0,7.6,19.7,1.4,2.5,23.3,16.8,98,103,8.5,-1.9
7,2018-11-01,32-151,BOS,HOME,MIL,W (+4),1,31:57,.567,.533,3.3,14.3,8.6,37.6,0.0,2.7,15.9,25.9,115,115,15.1,5.4
8,2018-11-03,32-153,BOS,AWAY,IND,L (-1),1,28:37,.504,.500,10.7,7.8,9.3,6.0,1.7,3.1,0.0,22.0,115,107,11.6,1.6
9,2018-11-05,32-155,BOS,AWAY,DEN,L (-8),1,32:40,.636,.667,0.0,12.2,6.8,25.1,1.5,0.0,0.0,13.3,143,122,13.7,4.1
10,2018-11-08,32-158,BOS,AWAY,PHO,W (+7),1,32:43,.470,.500,5.9,15.1,9.9,14.2,0.0,11.2,21.2,12.1,96,95,8.4,1.6
11,2018-11-09,32-159,BOS,AWAY,UTA,L (-8),1,28:32,.650,.650,0.0,21.7,9.2,17.5,1.7,7.8,16.7,19.1,105,124,11.3,0.1
12,2018-11-11,32-161,BOS,AWAY,POR,L (-6),1,34:26,.317,.286,10.9,12.1,11.5,13.7,2.9,5.6,6.0,21.4,83,102,9.5,-0.6
13,2018-11-14,32-164,BOS,HOME,CHI,W (+29),1,20:03,.833,.833,0.0,38.3,19.5,22.2,2.4,7.8,0.0,13.2,168,71,14.3,18.4
14,2018-11-16,32-166,BOS,HOME,TOR,W (+7),1,35:14,.611,.611,3.7,25.1,15.2,7.6,0.0,4.4,10.0,12.8,119,107,10.8,2.0
15,2018-11-17,32-167,BOS,HOME,UTA,L (-12),1,21:15,.643,.643,8.1,22.0,14.0,17.4,2.4,11.3,30.0,19.8,97,97,8.3,6.6
16,2018-11-19,32-169,BOS,AWAY,CHO,L (-5),1,30:59,.667,.667,0.0,11.3,5.5,16.0,0.0,9.7,14.3,10.0,124,117,9.0,-0.1
17,2018-11-21,32-171,BOS,HOME,NYK,L (-8),1,35:17,.745,.727,7.4,12.4,9.6,23.9,1.3,6.9,0.0,14.6,161,114,23.6,10.5
18,2018-11-24,32-174,BOS,AWAY,DAL,L (-9),1,31:22,.364,.364,3.9,23.3,14.4,4.2,1.6,0.0,15.4,18.3,73,114,3.2,-8.4
19,2018-11-26,32-176,BOS,AWAY,NOP,W (+17),1,32:09,.648,.633,3.3,12.1,7.3,12.4,4.5,3.3,6.1,21.5,135,105,17.9,8.0
20,2018-12-01,32-181,BOS,AWAY,MIN,W (+9),1,32:16,.682,.682,0.0,10.6,5.6,10.1,0.0,2.8,15.4,17.9,110,114,9.9,-1.9
21,2018-12-06,32-186,BOS,HOME,NYK,W (+28),1,27:53,.713,.667,8.6,32.5,22.2,14.7,0.0,12.3,13.1,24.0,132,90,19.9,9.2
22,2018-12-23,32-203,BOS,HOME,CHO,W (+16),1,19:08,.940,1.000,12.9,22.3,17.9,38.1,0.0,4.5,15.8,14.3,173,106,13.4,15.1
23,2018-12-25,32-205,BOS,HOME,PHI,W (+7),1,30:28,.200,.200,5.8,23.9,14.1,25.1,1.6,0.0,9.1,15.2,75,101,4.3,-4.1
24,2018-12-27,32-207,BOS,AWAY,HOU,L (-14),1,24:15,.625,.625,8.8,12.6,10.8,32.8,2.0,0.0,20.0,28.1,106,131,11.7,1.4
25,2018-12-29,32-209,BOS,AWAY,MEM,W (+9),1,23:17,.723,.708,11.8,22.3,17.2,22.4,0.0,4.1,19.4,30.3,118,110,14.0,9.3
26,2018-12-31,32-211,BOS,AWAY,SAS,L (-9),1,25:11,.643,.643,4.3,9.8,6.9,16.2,1.9,0.0,12.5,14.0,123,123,8.3,-0.5
27,2019-01-02,32-213,BOS,HOME,MIN,W (+13),1,23:29,.833,.833,0.0,26.9,15.3,26.6,0.0,6.7,10.0,20.7,147,106,15.8,9.8
28,2019-01-04,32-215,BOS,HOME,DAL,W (+21),1,24:54,.500,.500,11.1,19.3,15.1,45.0,4.0,0.0,9.1,18.8,132,93,14.4,10.8
29,2019-01-07,32-218,BOS,HOME,BRK,W (+21),1,24:22,.857,.857,4.5,34.3,19.7,28.0,1.9,5.3,12.5,14.2,156,87,16.8,13.5
30,2019-01-09,32-220,BOS,HOME,IND,W (+27),1,18:14,.500,.500,0.0,15.5,9.1,50.0,2.6,0.0,14.3,16.5,131,105,7.9,7.5
31,2019-01-10,32-221,BOS,AWAY,MIA,L (-16),1,23:10,.125,.125,4.1,16.4,9.4,18.3,0.0,3.6,20.0,19.5,44,125,-1.6,-16.0
32,2019-01-12,32-223,BOS,AWAY,ORL,L (-2),1,30:13,.500,.500,6.2,31.8,18.2,21.1,6.5,3.5,16.7,17.3,100,90,13.8,8.0
33,2019-01-14,32-225,BOS,AWAY,BRK,L (-7),1,19:45,.680,.600,4.7,5.5,5.1,32.7,0.0,0.0,14.5,15.0,136,121,7.3,0.5
34,2019-01-16,32-227,BOS,HOME,TOR,W (+9),1,33:51,.901,.875,3.4,17.4,10.9,4.3,0.0,4.5,13.1,19.4,151,114,21.0,9.9
35,2019-01-18,32-229,BOS,HOME,MEM,W (+6),1,30:56,.900,.900,0.0,9.1,5.1,4.9,0.0,0.0,0.0,13.8,176,123,15.4,4.3
36,2019-01-19,32-230,BOS,AWAY,ATL,W (+8),1,27:33,.509,.409,14.8,19.4,17.0,0.0,0.0,6.8,19.0,24.1,98,105,8.8,-5.0
37,2019-01-21,32-232,BOS,HOME,MIA,W (+8),1,32:25,.727,.727,24.7,23.4,24.0,19.0,1.5,8.7,26.7,20.1,122,98,18.6,7.9
38,2019-01-26,32-237,BOS,HOME,GSW,L (-4),1,34:38,.733,.733,12.2,24.6,17.7,15.3,1.4,5.5,25.0,23.2,115,109,18.9,7.5
39,2019-01-28,32-239,BOS,HOME,BRK,W (+8),1,29:18,.589,.545,13.7,22.1,18.0,23.3,1.6,14.2,14.4,18.7,126,93,20.3,11.6
40,2019-01-30,32-241,BOS,HOME,CHO,W (+32),1,24:11,.778,.778,22.1,12.4,16.5,27.5,4.2,8.1,10.0,18.5,161,92,19.7,16.5
41,2019-02-01,32-243,BOS,AWAY,NYK,W (+14),1,26:59,.583,.583,14.0,22.2,17.6,21.2,0.0,3.2,7.7,20.8,129,105,14.8,4.4
42,2019-02-03,32-245,BOS,HOME,OKC,W (+5),1,30:40,.654,.654,0.0,7.1,3.9,34.0,3.0,2.7,7.1,19.5,138,121,18.5,9.3
43,2019-02-05,32-247,BOS,AWAY,CLE,W (+7),1,29:54,.500,.500,8.0,13.1,10.8,38.2,0.0,7.6,18.2,17.5,113,107,11.8,3.6
44,2019-02-07,32-249,BOS,HOME,LAL,L (-1),1,25:15,.636,.611,13.0,16.2,14.6,10.4,3.8,3.4,17.5,19.6,119,121,11.9,-0.5
45,2019-02-09,32-251,BOS,HOME,LAC,L (-11),1,32:00,.273,.273,0.0,24.4,11.2,21.7,1.4,2.8,8.3,15.3,69,111,5.4,-3.2
46,2019-02-12,32-254,BOS,AWAY,PHI,W (+3),1,35:11,.681,.656,12.1,12.7,12.4,23.8,5.8,0.0,5.6,23.9,142,108,23.9,12.9
47,2019-02-13,32-255,BOS,HOME,DET,W (+8),1,31:03,.660,.625,11.3,36.2,24.6,34.6,1.6,0.0,0.0,18.0,160,107,22.6,15.1
