,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-17,33-099,BRK,AWAY,DET,L (-3),1,35:51,.085,.000,7.2,2.8,4.7,10.0,4.0,0.0,0.0,7.2,64,104,1.9,-4.8
1,2018-10-19,33-101,BRK,HOME,NYK,W (+2),1,27:04,.700,.700,4.9,12.9,9.7,16.8,1.9,0.0,0.0,8.2,168,111,8.9,5.6
2,2018-10-20,33-102,BRK,AWAY,IND,L (-20),1,22:35,.500,.500,0.0,10.4,5.3,21.9,0.0,0.0,0.0,5.5,148,135,3.5,-2.2
3,2018-10-24,33-106,BRK,AWAY,CLE,W (+16),1,24:11,1.200,1.200,0.0,3.8,2.0,6.6,2.1,0.0,0.0,9.2,221,96,10.9,13.3
4,2018-10-26,33-108,BRK,AWAY,NOP,L (-2),1,22:58,.643,.643,0.0,3.9,2.1,5.7,0.0,2.8,22.2,15.3,103,120,3.4,-3.7
5,2018-10-28,33-110,BRK,HOME,GSW,L (-6),1,21:56,.600,.600,10.9,19.9,15.6,12.4,6.6,0.0,16.7,12.1,123,107,9.3,6.6
6,2018-10-29,33-111,BRK,AWAY,NYK,L (-19),1,18:12,.000,.000,0.0,14.3,6.2,23.3,0.0,3.9,20.0,12.7,34,129,-1.2,-14.0
7,2018-10-31,33-113,BRK,HOME,DET,W (+1),1,37:32,.473,.278,4.8,11.1,7.7,10.5,0.0,0.0,0.0,12.6,127,113,9.0,-1.1
8,2018-11-02,33-115,BRK,HOME,HOU,L (-8),1,23:03,.750,.750,5.3,10.4,7.9,15.7,0.0,0.0,50.0,8.0,107,134,3.0,-3.6
9,2018-11-04,33-117,BRK,HOME,PHI,W (+25),1,14:51,.500,.500,6.2,10.1,7.7,7.4,3.2,0.0,20.0,13.3,97,95,2.1,-4.4
10,2018-11-06,33-119,BRK,AWAY,PHO,W (+22),1,24:29,.357,.357,0.0,8.2,3.9,5.3,0.0,0.0,22.2,16.0,61,93,-1.4,-12.4
11,2018-11-09,33-122,BRK,AWAY,DEN,W (+2),1,24:13,.340,.300,3.9,13.2,8.3,5.8,0.0,2.9,25.4,13.6,66,116,0.3,-9.6
12,2018-11-10,33-123,BRK,AWAY,GSW,L (-16),1,16:53,,,0.0,24.4,11.1,7.9,0.0,0.0,100.0,2.7,42,128,0.2,-8.1
13,2018-11-12,33-125,BRK,AWAY,MIN,L (-7),1,28:25,.444,.444,2.7,15.8,7.2,19.3,1.6,3.0,0.0,12.3,119,115,7.0,-0.3
14,2018-11-14,33-127,BRK,HOME,MIA,L (-13),1,24:34,.556,.556,6.9,16.3,10.5,0.0,1.8,3.5,25.0,18.5,89,110,5.1,-2.1
15,2018-11-16,33-129,BRK,AWAY,WAS,W (+11),1,22:25,.625,.625,4.5,9.3,6.8,0.0,2.1,0.0,33.3,10.9,85,105,1.7,-5.4
16,2018-11-17,33-130,BRK,HOME,LAC,L (-8),1,25:40,1.250,1.250,0.0,9.1,4.4,5.2,0.0,0.0,0.0,3.3,247,133,5.3,-0.6
17,2018-11-20,33-133,BRK,AWAY,MIA,W (+12),1,21:42,.000,.000,0.0,3.8,2.1,0.0,0.0,0.0,0.0,10.0,0,103,-4.0,-14.9
18,2018-11-21,33-134,BRK,AWAY,DAL,L (-6),1,18:18,.291,.333,4.9,23.1,12.1,6.7,0.0,0.0,22.5,9.9,69,124,0.4,-9.9
19,2018-11-23,33-136,BRK,HOME,MIN,L (-10),1,15:08,.581,.667,0.0,6.9,3.8,11.9,0.0,0.0,22.5,13.0,88,121,1.9,-5.5
20,2019-01-02,33-176,BRK,HOME,NOP,W (+5),1,23:44,.800,.800,0.0,9.9,4.8,0.0,2.1,0.0,16.7,10.8,122,124,5.5,-1.2
21,2019-01-04,33-178,BRK,AWAY,MEM,W (+9),1,25:48,.000,.000,0.0,4.1,2.2,0.0,1.8,0.0,20.0,8.4,0,101,-2.9,-9.6
22,2019-01-06,33-180,BRK,AWAY,CHI,W (+17),1,19:48,1.000,1.000,0.0,0.0,0.0,30.0,2.6,0.0,0.0,11.9,201,109,11.1,13.9
23,2019-01-07,33-181,BRK,AWAY,BOS,L (-21),1,17:20,.000,.000,0.0,37.8,18.5,0.0,0.0,0.0,50.0,14.9,0,114,-4.1,-19.1
24,2019-01-09,33-183,BRK,HOME,ATL,W (+16),1,15:41,.000,.000,0.0,11.3,5.8,7.1,0.0,9.6,33.3,7.4,21,98,-0.1,-5.0
