,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-17,26-140,CHO,HOME,MIL,L (-1),1,20:48,.455,.455,8.4,0.0,4.7,7.3,2.3,0.0,0.0,22.5,104,114,6.2,-2.2
1,2018-10-19,26-142,CHO,AWAY,ORL,W (+32),1,25:05,.457,.286,4.3,20.9,13.5,4.9,1.9,3.0,0.0,14.5,116,83,8.8,0.5
2,2018-10-20,26-143,CHO,AWAY,MIA,W (+1),1,28:06,.466,.417,3.5,17.1,9.6,20.0,5.2,6.2,7.2,20.8,108,102,10.9,3.8
3,2018-10-22,26-145,CHO,AWAY,TOR,L (-21),1,23:18,.481,.393,3.7,19.3,9.5,0.0,0.0,4.3,5.7,31.1,100,127,8.7,-3.6
4,2018-10-24,26-147,CHO,AWAY,CHI,L (-2),1,28:08,.667,.667,0.0,13.8,6.3,18.0,1.8,3.6,0.0,14.8,137,117,11.6,4.6
5,2018-10-26,26-149,CHO,HOME,CHI,W (+29),1,23:45,.635,.571,5.5,12.9,9.6,8.6,2.1,0.0,11.3,16.3,132,113,8.5,-2.8
6,2018-10-27,26-150,CHO,AWAY,PHI,L (-2),1,28:33,.482,.458,0.0,9.5,4.8,5.9,0.0,0.0,0.0,18.3,100,111,6.0,-4.3
7,2018-10-30,26-153,CHO,HOME,MIA,W (+12),1,19:07,.583,.583,0.0,6.1,3.4,0.0,5.1,0.0,0.0,14.0,118,110,5.1,-1.1
8,2018-11-01,26-155,CHO,HOME,OKC,L (-4),1,25:05,.505,.458,0.0,31.9,17.2,13.5,1.8,0.0,0.0,20.6,111,101,11.3,4.0
9,2018-11-03,26-157,CHO,HOME,CLE,W (+32),1,24:09,.582,.533,11.4,29.1,20.9,11.0,2.1,0.0,10.9,32.6,120,96,14.9,0.7
10,2018-11-06,26-160,CHO,HOME,ATL,W (+11),1,22:32,.547,.545,5.6,10.1,8.0,6.2,2.0,0.0,20.2,26.2,90,96,6.5,-3.0
11,2018-11-09,26-163,CHO,AWAY,PHI,L (-1),1,24:23,.660,.625,0.0,13.6,6.0,7.3,3.9,3.8,7.2,22.9,122,113,13.9,8.4
12,2018-11-11,26-165,CHO,AWAY,DET,W (+10),1,23:19,.833,.833,0.0,19.9,12.7,17.8,4.3,0.0,14.3,13.7,144,96,10.7,8.8
13,2018-11-13,26-167,CHO,AWAY,CLE,L (-24),1,31:57,.604,.531,0.0,23.1,9.3,14.3,4.7,0.0,14.2,28.3,104,111,16.4,3.2
14,2018-11-17,26-171,CHO,HOME,PHI,L (-3),1,39:45,.474,.361,7.5,19.0,13.1,11.8,1.1,0.0,4.5,23.0,106,106,14.5,-0.7
