,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-11-07,19-307,CLE,HOME,OKC,L (-9),1,41:46,.536,.536,0.0,5.0,2.4,4.6,0.0,2.0,17.6,17.2,89,100,5.4,-4.0
1,2018-11-10,19-310,CLE,AWAY,CHI,L (-1),1,34:20,.592,.563,2.9,9.8,6.1,15.1,0.0,0.0,5.6,22.5,128,110,13.9,2.1
2,2018-11-13,19-313,CLE,HOME,CHO,W (+24),1,32:40,.444,.444,7.5,7.6,7.6,16.9,1.5,0.0,18.2,29.6,94,96,7.1,-7.1
3,2018-11-14,19-314,CLE,AWAY,WAS,L (-24),1,33:53,.676,.625,0.0,9.4,4.9,12.7,0.0,0.0,18.4,27.1,108,121,13.9,-3.1
4,2018-11-19,19-319,CLE,AWAY,DET,L (-11),1,23:46,.712,.700,0.0,5.3,2.3,35.3,2.2,0.0,0.0,24.8,154,129,15.5,11.5
5,2018-11-21,19-321,CLE,HOME,LAL,L (-4),1,35:47,.336,.294,2.3,7.1,4.1,8.3,0.0,0.0,0.0,21.5,83,118,4.8,-9.4
6,2018-11-23,19-323,CLE,AWAY,PHI,W (+9),1,31:30,.582,.556,3.7,19.0,10.4,13.5,1.7,3.6,9.2,30.7,122,120,17.3,2.7
7,2018-11-24,19-324,CLE,HOME,HOU,W (+9),1,33:39,.690,.690,0.0,15.4,7.1,11.9,0.0,0.0,12.5,29.6,132,123,17.9,2.4
8,2018-11-26,19-326,CLE,HOME,MIN,L (-7),1,38:57,.283,.263,3.1,19.0,10.9,16.5,0.0,0.0,17.1,26.7,61,112,0.2,-14.7
9,2018-11-28,19-328,CLE,AWAY,OKC,L (-17),1,37:57,.503,.475,2.6,25.9,13.6,16.1,1.3,0.0,8.7,27.6,96,101,14.3,2.0
10,2018-11-30,19-330,CLE,AWAY,BOS,L (-33),1,33:07,.388,.333,0.0,14.9,7.0,27.2,0.0,0.0,13.4,30.7,77,139,4.2,-13.5
