,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Wed, Oct 17, 2018",2018,10,17,7:30p,False,TOR,L,False,104,116,0,1,L 1
1,"Fri, Oct 19, 2018",2018,10,19,8:00p,False,MIN,L,False,123,131,0,2,L 2
2,"Sun, Oct 21, 2018",2018,10,21,6:00p,True,ATL,L,False,111,133,0,3,L 3
3,"Wed, Oct 24, 2018",2018,10,24,7:00p,True,BRK,L,False,86,102,0,4,L 4
4,"Thu, Oct 25, 2018",2018,10,25,7:00p,False,DET,L,False,103,110,0,5,L 5
5,"Sat, Oct 27, 2018",2018,10,27,7:30p,True,IND,L,False,107,119,0,6,L 6
6,"Tue, Oct 30, 2018",2018,10,30,7:00p,True,ATL,W,False,136,114,1,6,W 1
7,"Thu, Nov 1, 2018",2018,11,1,7:00p,True,DEN,L,False,91,110,1,7,L 1
8,"Sat, Nov 3, 2018",2018,11,3,7:00p,False,CHO,L,False,94,126,1,8,L 2
9,"Mon, Nov 5, 2018",2018,11,5,7:00p,False,ORL,L,False,100,102,1,9,L 3
10,"Wed, Nov 7, 2018",2018,11,7,7:00p,True,OKC,L,False,86,95,1,10,L 4
11,"Sat, Nov 10, 2018",2018,11,10,8:00p,False,CHI,L,False,98,99,1,11,L 5
12,"Tue, Nov 13, 2018",2018,11,13,7:00p,True,CHO,W,False,113,89,2,11,W 1
13,"Wed, Nov 14, 2018",2018,11,14,7:00p,False,WAS,L,False,95,119,2,12,L 1
14,"Mon, Nov 19, 2018",2018,11,19,7:00p,False,DET,L,False,102,113,2,13,L 2
15,"Wed, Nov 21, 2018",2018,11,21,8:00p,True,LAL,L,False,105,109,2,14,L 3
16,"Fri, Nov 23, 2018",2018,11,23,7:30p,False,PHI,W,False,121,112,3,14,W 1
17,"Sat, Nov 24, 2018",2018,11,24,7:30p,True,HOU,W,False,117,108,4,14,W 2
18,"Mon, Nov 26, 2018",2018,11,26,7:00p,True,MIN,L,False,95,102,4,15,L 1
19,"Wed, Nov 28, 2018",2018,11,28,8:00p,False,OKC,L,False,83,100,4,16,L 2
21,"Fri, Nov 30, 2018",2018,11,30,7:00p,False,BOS,L,False,95,128,4,17,L 3
22,"Sat, Dec 1, 2018",2018,12,1,8:00p,True,TOR,L,False,95,106,4,18,L 4
23,"Mon, Dec 3, 2018",2018,12,3,7:30p,False,BRK,W,False,99,97,5,18,W 1
24,"Wed, Dec 5, 2018",2018,12,5,7:00p,True,GSW,L,False,105,129,5,19,L 1
25,"Fri, Dec 7, 2018",2018,12,7,7:30p,True,SAC,L,False,110,129,5,20,L 2
26,"Sat, Dec 8, 2018",2018,12,8,7:30p,True,WAS,W,False,116,101,6,20,W 1
27,"Mon, Dec 10, 2018",2018,12,10,8:00p,False,MIL,L,False,92,108,6,21,L 1
28,"Wed, Dec 12, 2018",2018,12,12,7:00p,True,NYK,W,False,113,106,7,21,W 1
29,"Fri, Dec 14, 2018",2018,12,14,7:30p,True,MIL,L,False,102,114,7,22,L 1
30,"Sun, Dec 16, 2018",2018,12,16,3:30p,True,PHI,L,False,105,128,7,23,L 2
31,"Tue, Dec 18, 2018",2018,12,18,7:00p,False,IND,W,False,92,91,8,23,W 1
32,"Wed, Dec 19, 2018",2018,12,19,7:00p,False,CHO,L,False,99,110,8,24,L 1
33,"Fri, Dec 21, 2018",2018,12,21,7:00p,False,TOR,L,False,110,126,8,25,L 2
34,"Sun, Dec 23, 2018",2018,12,23,6:00p,True,CHI,L,False,92,112,8,26,L 3
35,"Wed, Dec 26, 2018",2018,12,26,8:00p,False,MEM,L,False,87,95,8,27,L 4
36,"Fri, Dec 28, 2018",2018,12,28,8:00p,False,MIA,L,False,94,118,8,28,L 5
37,"Sat, Dec 29, 2018",2018,12,29,7:30p,False,ATL,L,False,108,111,8,29,L 6
38,"Wed, Jan 2, 2019",2019,1,2,7:00p,True,MIA,L,False,92,117,8,30,L 7
39,"Fri, Jan 4, 2019",2019,1,4,7:30p,True,UTA,L,False,91,117,8,31,L 8
40,"Sat, Jan 5, 2019",2019,1,5,8:00p,True,NOP,L,False,98,133,8,32,L 9
42,"Tue, Jan 8, 2019",2019,1,8,7:00p,True,IND,L,False,115,123,8,33,L 10
43,"Wed, Jan 9, 2019",2019,1,9,8:00p,False,NOP,L,False,124,140,8,34,L 11
44,"Fri, Jan 11, 2019",2019,1,11,8:00p,False,HOU,L,False,113,141,8,35,L 12
45,"Sun, Jan 13, 2019",2019,1,13,9:30p,False,LAL,W,False,101,95,9,35,W 1
46,"Wed, Jan 16, 2019",2019,1,16,10:00p,False,POR,L,False,112,129,9,36,L 1
47,"Fri, Jan 18, 2019",2019,1,18,9:00p,False,UTA,L,False,99,115,9,37,L 2
48,"Sat, Jan 19, 2019",2019,1,19,10:00p,False,DEN,L,False,102,124,9,38,L 3
49,"Mon, Jan 21, 2019",2019,1,21,1:00p,True,CHI,L,False,88,104,9,39,L 4
50,"Wed, Jan 23, 2019",2019,1,23,7:30p,False,BOS,L,False,103,123,9,40,L 5
51,"Fri, Jan 25, 2019",2019,1,25,7:30p,True,MIA,L,False,94,100,9,41,L 6
52,"Sun, Jan 27, 2019",2019,1,27,3:30p,False,CHI,W,False,104,101,10,41,W 1
53,"Tue, Jan 29, 2019",2019,1,29,7:00p,True,WAS,W,False,116,113,11,41,W 2
54,"Sat, Feb 2, 2019",2019,2,2,7:30p,True,DAL,L,False,98,111,11,42,L 1
55,"Tue, Feb 5, 2019",2019,2,5,7:00p,True,BOS,L,False,96,103,11,43,L 2
56,"Fri, Feb 8, 2019",2019,2,8,7:00p,False,WAS,L,False,106,119,11,44,L 3
57,"Sat, Feb 9, 2019",2019,2,9,7:00p,False,IND,L,False,90,105,11,45,L 4
58,"Mon, Feb 11, 2019",2019,2,11,7:00p,True,NYK,W,False,107,104,12,45,W 1
59,"Wed, Feb 13, 2019",2019,2,13,7:00p,True,BRK,L,True,139,148,12,46,L 1
60,"Thu, Feb 21, 2019",2019,2,21,7:00p,True,PHO,W,False,111,98,13,46,W 1
61,"Sat, Feb 23, 2019",2019,2,23,7:00p,True,MEM,W,False,112,107,14,46,W 2
63,"Mon, Feb 25, 2019",2019,2,25,7:00p,True,POR,L,False,110,123,14,47,L 1
64,"Thu, Feb 28, 2019",2019,2,28,7:30p,False,NYK,W,False,125,118,15,47,W 1
65,"Sat, Mar 2, 2019",2019,3,2,5:00p,True,DET,L,False,93,129,15,48,L 1
66,"Sun, Mar 3, 2019",2019,3,3,6:00p,True,ORL,W,False,107,93,16,48,W 1
67,"Wed, Mar 6, 2019",2019,3,6,7:30p,False,BRK,L,False,107,113,16,49,L 1
68,"Fri, Mar 8, 2019",2019,3,8,8:00p,False,MIA,L,False,110,126,16,50,L 2
69,"Mon, Mar 11, 2019",2019,3,11,7:00p,True,TOR,W,False,126,101,17,50,W 1
70,"Tue, Mar 12, 2019",2019,3,12,7:00p,False,PHI,L,False,99,106,17,51,L 1
71,"Thu, Mar 14, 2019",2019,3,14,7:00p,False,ORL,L,False,91,120,17,52,L 2
72,"Sat, Mar 16, 2019",2019,3,16,8:30p,False,DAL,L,False,116,121,17,53,L 3
73,"Mon, Mar 18, 2019",2019,3,18,7:00p,True,DET,W,False,126,119,18,53,W 1
74,"Wed, Mar 20, 2019",2019,3,20,7:00p,True,MIL,W,False,107,102,19,53,W 2
75,"Fri, Mar 22, 2019",2019,3,22,7:30p,True,LAC,L,False,108,110,19,54,L 1
76,"Sun, Mar 24, 2019",2019,3,24,4:30p,False,MIL,L,False,105,127,19,55,L 2
77,"Tue, Mar 26, 2019",2019,3,26,7:00p,True,BOS,L,False,106,116,19,56,L 3
78,"Thu, Mar 28, 2019",2019,3,28,8:30p,False,SAS,L,False,110,116,19,57,L 4
79,"Sat, Mar 30, 2019",2019,3,30,3:30p,False,LAC,L,False,108,132,19,58,L 5
80,"Mon, Apr 1, 2019",2019,4,1,10:00p,False,PHO,L,False,113,122,19,59,L 6
81,"Thu, Apr 4, 2019",2019,4,4,10:00p,False,SAC,L,False,104,117,19,60,L 7
82,"Fri, Apr 5, 2019",2019,4,5,10:30p,False,GSW,L,False,114,120,19,61,L 8
84,"Sun, Apr 7, 2019",2019,4,7,3:00p,True,SAS,L,False,90,112,19,62,L 9
85,"Tue, Apr 9, 2019",2019,4,9,7:00p,True,CHO,L,False,97,124,19,63,L 10
