,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-21,27-306,DEN,HOME,GSW,W (+2),1,26:35,.500,.500,15.4,22.6,18.7,11.5,1.8,3.6,0.0,8.0,137,98,8.1,3.8
1,2018-10-23,27-308,DEN,HOME,SAC,W (+14),1,22:52,.700,.700,0.0,4.9,2.4,4.7,2.1,0.0,16.7,10.7,118,115,5.3,-1.8
2,2018-10-25,27-310,DEN,AWAY,LAL,L (-7),1,26:21,.200,.200,4.2,8.5,6.4,0.0,1.7,2.9,37.5,12.2,34,115,-2.7,-12.1
3,2018-10-29,27-314,DEN,HOME,NOP,W (+5),1,9:21,.250,.250,0.0,13.2,6.0,0.0,0.0,0.0,0.0,17.7,53,114,-0.1,-15.7
4,2018-10-31,27-316,DEN,AWAY,CHI,W (+1),1,22:29,.608,.500,14.1,4.8,9.5,0.0,2.3,0.0,0.0,11.0,147,109,7.6,0.2
5,2018-11-01,27-317,DEN,AWAY,CLE,W (+19),1,18:12,.700,.700,29.3,12.3,20.0,8.0,0.0,0.0,16.7,14.9,142,111,7.0,1.7
6,2018-11-03,27-319,DEN,HOME,UTA,W (+15),1,21:02,.400,.400,6.0,22.8,15.6,0.0,4.8,0.0,16.7,12.6,73,84,4.1,-0.6
7,2018-11-05,27-321,DEN,HOME,BOS,W (+8),1,2:44,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0,117,-0.7,-21.0
8,2018-11-07,27-323,DEN,AWAY,MEM,L (-2),1,19:46,.425,.400,11.8,6.7,9.5,0.0,0.0,5.0,0.0,13.4,106,106,3.5,-2.5
9,2018-11-09,27-325,DEN,HOME,BRK,L (-2),1,9:12,.300,.300,0.0,10.2,5.4,15.0,0.0,0.0,0.0,22.9,83,118,0.1,-9.2
