,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-17,22-115,DET,HOME,BRK,W (+3),1,19:21,.700,.700,0.0,26.8,11.7,0.0,0.0,4.5,16.7,12.9,111,99,5.2,0.8
1,2018-12-10,22-169,DET,AWAY,PHI,L (-14),1,36:44,.742,.750,3.1,17.6,11.1,14.7,0.0,0.0,20.9,28.8,114,120,17.7,3.0
2,2018-12-12,22-171,DET,AWAY,CHO,L (-1),1,24:54,.375,.375,0.0,17.1,8.5,5.3,0.0,3.4,20.0,17.6,65,111,0.6,-10.3
3,2018-12-15,22-174,DET,HOME,BOS,W (+9),1,22:01,1.250,1.250,0.0,13.1,7.1,21.6,0.0,0.0,0.0,7.7,243,108,10.2,8.8
4,2018-12-17,22-176,DET,HOME,MIL,L (-3),1,23:09,.214,.214,4.9,5.2,5.1,0.0,0.0,0.0,0.0,13.1,58,113,-0.5,-10.3
5,2018-12-19,22-178,DET,AWAY,MIN,W (+6),1,18:43,.214,.214,0.0,12.0,6.1,19.7,0.0,0.0,12.5,19.0,63,117,-0.2,-10.9
6,2018-12-21,22-180,DET,AWAY,CHO,L (-12),1,18:36,.000,.000,0.0,6.5,3.1,0.0,0.0,0.0,0.0,7.3,0,117,-1.8,-14.6
7,2018-12-23,22-182,DET,HOME,ATL,L (-3),1,9:26,.333,.333,0.0,0.0,0.0,0.0,5.0,0.0,25.0,18.4,47,96,0.3,-7.9
8,2019-01-10,22-200,DET,AWAY,SAC,L (-10),1,22:54,.282,.188,0.0,5.4,2.5,12.7,2.1,3.3,10.1,18.6,66,113,2.2,-7.8
9,2019-02-13,22-234,DET,AWAY,BOS,L (-8),1,36:27,.506,.500,0.0,9.6,4.5,21.4,1.3,0.0,0.0,13.0,121,122,9.8,0.6
