,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-11-10,25-232,GSW,HOME,BRK,W (+16),1,29:37,.800,.781,0.0,11.6,6.3,28.8,1.8,0.0,0.0,26.8,162,112,25.2,16.2
1,2018-11-12,25-234,GSW,AWAY,LAC,L (-5),1,22:02,.500,.500,4.5,0.0,2.5,19.6,2.2,0.0,22.2,17.9,93,112,4.7,-2.6
2,2018-11-13,25-235,GSW,HOME,ATL,W (+7),1,33:32,.500,.500,6.4,6.4,6.4,31.2,0.0,0.0,10.0,25.3,108,114,12.0,-2.4
3,2018-11-21,25-243,GSW,HOME,OKC,L (-28),1,32:47,.438,.438,0.0,13.8,7.1,27.8,1.4,0.0,27.3,14.6,79,122,5.5,-5.8
4,2018-11-23,25-245,GSW,HOME,POR,W (+28),1,29:34,.594,.594,0.0,16.6,9.9,8.9,0.0,0.0,0.0,24.3,121,104,12.3,-2.0
5,2018-11-24,25-246,GSW,HOME,SAC,W (+1),1,29:13,.273,.273,3.6,14.9,9.8,21.8,0.0,2.4,8.3,17.2,80,116,3.3,-7.7
6,2018-11-26,25-248,GSW,HOME,ORL,W (+6),1,31:39,.400,.400,0.0,21.7,11.4,16.6,1.5,2.5,9.1,15.4,96,111,6.7,-3.5
7,2018-11-29,25-251,GSW,AWAY,TOR,L (-3),1,21:19,.444,.444,0.0,0.0,0.0,6.2,2.4,0.0,10.0,19.8,92,127,3.2,-8.6
8,2019-03-23,26-000,GSW,HOME,DAL,L (-35),1,26:34,.350,.350,3.7,25.1,12.8,41.4,0.0,0.0,16.7,19.8,80,135,4.7,-6.0
9,2019-04-10,26-018,GSW,AWAY,MEM,L (-15),1,27:47,.417,.417,0.0,15.4,7.9,13.3,0.0,0.0,20.0,23.1,75,135,1.5,-17.3
