,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-12-05,26-126,WAS,AWAY,ATL,W (+14),1,34:18,.349,.292,3.0,18.7,10.6,23.4,0.0,0.0,13.4,16.8,91,110,5.2,-8.7
1,2018-12-10,26-131,WAS,AWAY,IND,L (-8),1,34:56,.630,.667,0.0,11.8,4.9,18.2,1.4,0.0,22.5,16.6,99,112,8.8,-1.8
2,2018-12-31,26-152,HOU,HOME,MEM,W (+12),1,40:40,.545,.545,0.0,2.6,1.4,4.7,1.2,2.1,15.4,14.9,91,106,5.0,-4.7
3,2019-01-03,26-155,HOU,AWAY,GSW,W (+1),1,43:49,.500,.500,0.0,11.0,5.1,13.2,1.1,0.0,0.0,17.9,114,126,12.4,-3.4
4,2019-01-05,26-157,HOU,AWAY,POR,L (-9),1,42:07,.700,.700,0.0,2.4,1.3,3.8,0.0,0.0,6.3,18.0,137,130,11.7,0.0
5,2019-01-07,26-159,HOU,HOME,DEN,W (+12),1,40:27,.254,.214,0.0,8.1,4.4,19.3,1.2,0.0,20.2,11.1,80,118,2.0,-7.5
6,2019-01-09,26-161,HOU,HOME,MIL,L (-7),1,39:16,.732,.688,2.3,8.7,5.1,9.0,0.0,1.9,10.1,10.3,141,118,9.7,0.6
7,2019-01-11,26-163,HOU,HOME,CLE,W (+28),1,24:12,.667,.667,0.0,9.2,4.7,16.5,0.0,0.0,10.0,16.8,127,114,7.8,-4.5
8,2019-01-13,26-165,HOU,AWAY,ORL,L (-7),1,36:49,.866,.857,3.1,0.0,1.6,10.4,1.4,0.0,0.0,17.5,173,128,21.1,10.4
9,2019-01-14,26-166,HOU,HOME,MEM,W (+18),1,38:37,.427,.417,0.0,0.0,0.0,23.3,3.9,0.0,7.2,16.2,103,98,8.4,-1.4
10,2019-01-16,26-168,HOU,HOME,BRK,L (-3),1,45:55,.464,.464,0.0,10.9,5.5,17.7,1.0,1.6,0.0,12.6,117,130,11.0,-3.7
11,2019-01-19,26-171,HOU,HOME,LAL,W (+4),1,46:16,.313,.313,2.1,11.5,6.0,14.4,0.0,1.9,0.0,7.2,107,127,4.7,-7.5
12,2019-01-21,26-173,HOU,AWAY,PHI,L (-28),1,26:34,.000,.000,0.0,8.6,3.9,17.5,0.0,0.0,0.0,9.7,26,125,-2.8,-15.2
13,2019-01-23,26-175,HOU,AWAY,NYK,W (+4),1,33:50,.286,.286,2.7,3.6,3.1,16.6,1.4,2.8,0.0,8.4,97,118,4.2,-6.5
14,2019-01-25,26-177,HOU,HOME,TOR,W (+2),1,36:14,.464,.464,5.6,9.9,7.6,24.0,1.3,2.4,6.7,16.9,113,120,10.8,-0.1
