,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-17,33-164,HOU,HOME,NOP,L (-19),1,32:21,.669,.625,0.0,17.3,8.2,29.6,2.9,0.0,6.6,19.9,137,125,18.1,5.8
1,2018-10-20,33-167,HOU,AWAY,LAL,W (+9),1,29:40,.668,.618,6.7,16.2,11.6,55.0,1.5,0.0,12.5,31.0,139,107,26.0,14.7
2,2018-10-26,33-173,HOU,HOME,LAC,L (-20),1,34:22,.384,.231,2.5,22.5,9.7,33.0,2.7,0.0,24.2,23.6,84,130,7.7,-10.2
3,2018-10-30,33-177,HOU,HOME,POR,L (-19),1,37:06,.409,.368,2.0,14.4,6.5,50.1,2.7,0.0,8.8,25.1,98,109,12.3,2.1
4,2018-11-02,33-180,HOU,AWAY,BRK,W (+8),1,37:04,.583,.574,9.7,13.3,11.5,58.9,2.8,5.1,6.8,35.9,134,115,29.1,13.9
5,2018-11-03,33-181,HOU,AWAY,CHI,W (+8),1,35:22,.284,.273,0.0,20.9,9.9,35.1,5.6,0.0,24.5,20.2,70,86,6.7,-4.0
6,2018-11-05,33-183,HOU,AWAY,IND,W (+4),1,37:34,.349,.333,3.5,12.5,8.2,57.5,1.4,0.0,28.0,23.1,90,105,8.0,-5.3
7,2018-11-08,33-186,HOU,AWAY,OKC,L (-18),1,36:07,.421,.364,0.0,6.6,2.9,25.9,9.0,0.0,29.6,21.9,73,99,7.8,0.1
8,2018-11-10,33-188,HOU,AWAY,SAS,L (-7),1,40:12,.440,.385,0.0,11.4,5.0,18.9,3.9,2.2,6.3,17.0,101,102,10.2,1.8
9,2018-11-11,33-189,HOU,HOME,IND,W (+12),1,35:04,.808,.808,0.0,19.6,9.4,27.3,4.4,0.0,11.1,24.0,152,104,24.1,14.5
10,2018-11-13,33-191,HOU,AWAY,DEN,W (+10),1,32:16,.739,.708,0.0,22.5,11.8,20.8,3.3,0.0,17.4,26.5,127,108,18.3,7.5
11,2018-11-15,33-193,HOU,HOME,GSW,W (+21),1,28:12,.500,.500,0.0,21.8,10.0,42.3,5.9,5.9,16.7,19.7,111,86,13.0,12.1
12,2018-11-17,33-195,HOU,HOME,SAC,W (+20),1,32:49,1.071,1.111,0.0,12.2,7.3,36.8,1.4,0.0,41.7,24.7,129,111,19.0,5.6
13,2018-11-21,33-199,HOU,HOME,DET,W (+2),1,35:09,.563,.531,0.0,5.9,3.7,32.9,1.4,0.0,14.5,27.6,115,131,13.9,-5.6
14,2018-11-23,33-201,HOU,AWAY,DET,L (-5),1,36:55,.563,.500,2.8,10.5,6.2,41.7,0.0,0.0,10.1,23.4,126,121,15.5,3.1
15,2018-11-30,33-208,HOU,AWAY,SAS,W (+31),1,27:42,.504,.462,3.9,15.4,9.6,43.0,1.8,0.0,0.0,21.5,144,111,16.4,4.7
16,2018-12-01,33-209,HOU,HOME,CHI,W (+16),1,31:08,.505,.455,3.9,6.4,5.3,55.9,3.0,2.8,25.2,22.0,113,101,14.6,4.8
17,2018-12-03,33-211,HOU,AWAY,MIN,L (-12),1,36:27,.282,.188,0.0,9.9,5.2,30.0,4.3,0.0,36.0,17.9,63,110,2.4,-8.4
