,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-17,28-108,HOU,HOME,NOP,L (-19),1,24:43,.571,.571,4.0,0.0,2.1,0.0,1.9,0.0,0.0,12.0,117,132,4.4,-4.3
1,2018-10-20,28-111,HOU,AWAY,LAL,W (+9),1,22:09,.429,.429,13.5,8.7,11.1,10.9,4.0,0.0,12.5,13.8,108,103,5.4,1.1
2,2018-10-21,28-112,HOU,AWAY,LAC,L (-3),1,22:51,.600,.600,9.8,5.1,7.5,5.4,0.0,0.0,16.7,11.7,113,124,3.1,-6.0
3,2018-11-02,28-124,HOU,AWAY,BRK,W (+8),1,19:12,.258,.333,0.0,6.4,3.2,0.0,0.0,4.9,0.0,9.1,55,123,-0.7,-13.3
4,2018-11-03,28-125,HOU,AWAY,CHI,W (+8),1,17:18,.845,.813,6.5,0.0,3.4,13.1,5.7,5.8,0.0,22.4,169,84,15.1,26.6
5,2018-11-05,28-127,HOU,AWAY,IND,W (+4),1,27:12,.929,.929,0.0,8.6,4.5,7.0,1.9,0.0,22.2,16.0,122,104,8.8,5.1
6,2018-11-08,28-130,HOU,AWAY,OKC,L (-18),1,24:17,.403,.357,11.6,0.0,6.5,0.0,0.0,0.0,0.0,14.4,102,120,2.0,-7.2
7,2018-11-10,28-132,HOU,AWAY,SAS,L (-7),1,19:07,.102,.000,0.0,0.0,0.0,0.0,2.7,0.0,17.0,13.3,20,109,-3.4,-16.2
8,2018-11-11,28-133,HOU,HOME,IND,W (+12),1,21:42,.000,.000,0.0,6.3,3.0,12.3,2.4,0.0,0.0,8.3,42,110,-1.0,-7.1
9,2018-11-13,28-135,HOU,AWAY,DEN,W (+10),1,33:38,.901,.875,0.0,17.3,9.1,4.7,1.6,5.6,10.1,14.6,157,108,14.9,8.6
10,2018-11-15,28-137,HOU,HOME,GSW,W (+21),1,32:43,.720,.727,9.6,7.5,8.6,5.9,1.7,0.0,0.0,18.7,156,104,16.5,8.2
11,2018-11-17,28-139,HOU,HOME,SAC,W (+20),1,27:27,.615,.500,0.0,10.9,6.6,0.0,1.7,2.6,0.0,7.5,129,109,5.4,-1.7
12,2018-11-21,28-143,HOU,HOME,DET,W (+2),1,32:32,.916,.900,0.0,6.4,4.0,0.0,1.5,2.9,11.6,12.4,161,129,11.0,2.9
13,2018-11-23,28-145,HOU,AWAY,DET,L (-5),1,29:08,.625,.625,7.0,4.4,5.9,0.0,3.6,0.0,20.0,7.5,113,116,4.9,-0.4
14,2018-11-24,28-146,HOU,AWAY,CLE,L (-9),1,30:04,.417,.417,0.0,3.7,2.0,4.7,1.7,0.0,25.0,12.5,70,129,0.0,-10.7
15,2018-11-26,28-148,HOU,AWAY,WAS,L (-4),1,30:48,.530,.500,7.3,4.4,6.0,4.4,3.3,0.0,9.6,14.0,120,127,7.1,-2.8
16,2018-11-28,28-150,HOU,HOME,DAL,L (-20),1,32:05,.692,.692,7.1,4.5,6.0,5.3,0.0,0.0,7.1,18.5,134,143,11.9,-2.6
17,2018-11-30,28-152,HOU,AWAY,SAS,W (+31),1,12:21,.500,.500,0.0,0.0,0.0,8.6,4.0,0.0,0.0,7.0,128,109,0.7,-8.0
18,2018-12-01,28-153,HOU,HOME,CHI,W (+16),1,25:11,.635,.643,0.0,11.9,6.5,0.0,1.8,3.4,0.0,13.5,123,101,7.7,0.3
19,2018-12-03,28-155,HOU,AWAY,MIN,L (-12),1,24:36,.765,.700,0.0,24.4,12.8,0.0,2.1,0.0,14.5,13.1,122,109,6.2,-0.5
20,2018-12-06,28-158,HOU,AWAY,UTA,L (-27),1,27:50,.250,.250,3.5,16.8,9.6,5.3,0.0,3.0,0.0,5.8,79,120,1.7,-3.4
21,2018-12-08,28-160,HOU,AWAY,DAL,L (-3),1,23:46,.635,.571,5.0,15.1,10.1,0.0,2.3,7.6,11.3,17.3,120,113,8.5,5.3
22,2019-01-19,28-202,HOU,HOME,LAL,W (+4),1,27:26,.911,.889,3.5,9.7,6.1,6.4,0.0,3.3,9.2,16.4,162,126,14.2,5.8
23,2019-02-02,28-216,HOU,AWAY,UTA,W (+27),1,30:03,.563,.500,7.1,8.9,8.1,0.0,1.5,0.0,10.1,13.5,113,100,7.5,-2.8
24,2019-02-04,28-218,HOU,AWAY,PHO,W (+8),1,34:08,.591,.591,3.4,3.5,3.5,7.8,5.8,0.0,0.0,14.1,137,109,12.5,4.6
25,2019-03-12,28-254,PHI,HOME,CLE,W (+7),1,22:10,.857,.857,21.7,11.4,15.6,14.9,0.0,3.4,30.0,19.1,124,101,10.7,3.2
26,2019-04-01,28-274,PHI,AWAY,DAL,L (-20),1,21:47,.258,.167,15.7,16.6,16.2,19.6,0.0,3.4,11.4,16.2,82,118,4.8,-4.8
