,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Wed, Oct 17, 2018",2018,10,17,8:00p,True,NOP,L,False,112,131,0,1,L 1
1,"Sat, Oct 20, 2018",2018,10,20,10:30p,False,LAL,W,False,124,115,1,1,W 1
2,"Sun, Oct 21, 2018",2018,10,21,9:00p,False,LAC,L,False,112,115,1,2,L 1
3,"Wed, Oct 24, 2018",2018,10,24,8:00p,True,UTA,L,False,89,100,1,3,L 2
4,"Fri, Oct 26, 2018",2018,10,26,8:00p,True,LAC,L,False,113,133,1,4,L 3
5,"Tue, Oct 30, 2018",2018,10,30,8:00p,True,POR,L,False,85,104,1,5,L 4
6,"Fri, Nov 2, 2018",2018,11,2,7:30p,False,BRK,W,False,119,111,2,5,W 1
7,"Sat, Nov 3, 2018",2018,11,3,8:00p,False,CHI,W,False,96,88,3,5,W 2
8,"Mon, Nov 5, 2018",2018,11,5,7:00p,False,IND,W,False,98,94,4,5,W 3
9,"Thu, Nov 8, 2018",2018,11,8,8:00p,False,OKC,L,False,80,98,4,6,L 1
10,"Sat, Nov 10, 2018",2018,11,10,8:30p,False,SAS,L,False,89,96,4,7,L 2
11,"Sun, Nov 11, 2018",2018,11,11,7:00p,True,IND,W,False,115,103,5,7,W 1
12,"Tue, Nov 13, 2018",2018,11,13,9:00p,False,DEN,W,False,109,99,6,7,W 2
13,"Thu, Nov 15, 2018",2018,11,15,8:00p,True,GSW,W,False,107,86,7,7,W 3
14,"Sat, Nov 17, 2018",2018,11,17,8:00p,True,SAC,W,False,132,112,8,7,W 4
15,"Wed, Nov 21, 2018",2018,11,21,8:00p,True,DET,W,False,126,124,9,7,W 5
16,"Fri, Nov 23, 2018",2018,11,23,7:00p,False,DET,L,True,111,116,9,8,L 1
17,"Sat, Nov 24, 2018",2018,11,24,7:30p,False,CLE,L,False,108,117,9,9,L 2
18,"Mon, Nov 26, 2018",2018,11,26,7:00p,False,WAS,L,True,131,135,9,10,L 3
19,"Wed, Nov 28, 2018",2018,11,28,8:00p,True,DAL,L,False,108,128,9,11,L 4
21,"Fri, Nov 30, 2018",2018,11,30,8:00p,False,SAS,W,False,136,105,10,11,W 1
22,"Sat, Dec 1, 2018",2018,12,1,8:00p,True,CHI,W,False,121,105,11,11,W 2
23,"Mon, Dec 3, 2018",2018,12,3,8:00p,False,MIN,L,False,91,103,11,12,L 1
24,"Thu, Dec 6, 2018",2018,12,6,10:30p,False,UTA,L,False,91,118,11,13,L 2
25,"Sat, Dec 8, 2018",2018,12,8,6:00p,False,DAL,L,False,104,107,11,14,L 3
