,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-11-25,26-099,SAC,HOME,UTA,L (-21),1,33:51,.601,.500,3.3,6.8,5.0,13.5,1.3,0.0,10.7,22.9,117,127,13.8,-1.6
1,2018-12-08,26-112,SAC,AWAY,IND,L (-10),1,32:57,.431,.409,0.0,12.7,6.1,27.2,4.5,2.3,13.6,19.6,92,106,9.6,0.1
2,2018-12-16,26-120,SAC,AWAY,DAL,W (+7),1,37:04,.550,.455,0.0,17.4,9.1,15.9,0.0,0.0,6.8,16.3,120,112,11.9,-1.2
3,2018-12-17,26-121,SAC,AWAY,MIN,L (-27),1,10:22,.357,.357,0.0,21.5,9.6,0.0,0.0,0.0,12.5,32.2,59,125,-0.3,-18.1
4,2019-01-05,26-140,SAC,HOME,GSW,L (-4),1,34:58,.443,.382,0.0,20.1,9.2,24.6,4.3,0.0,5.0,24.9,110,126,15.0,-1.5
5,2019-01-07,26-142,SAC,HOME,ORL,W (+16),1,32:16,.500,.500,0.0,22.5,11.6,28.9,1.4,0.0,11.8,21.8,102,92,12.8,2.1
6,2019-01-08,26-143,SAC,AWAY,PHO,L (-4),1,29:34,.318,.318,0.0,12.2,6.1,24.5,0.0,2.6,26.7,20.7,70,115,0.8,-13.2
7,2019-01-22,26-157,SAC,AWAY,TOR,L (-15),1,36:04,.477,.433,6.0,17.7,12.0,36.3,3.8,0.0,5.6,20.6,114,111,18.6,5.6
8,2019-02-06,26-172,SAC,HOME,HOU,L (-26),1,31:37,.433,.433,3.1,9.7,6.3,15.2,4.5,3.1,0.0,18.7,116,120,10.7,2.3
9,2019-02-21,26-187,SAC,AWAY,GSW,L (-2),1,31:20,.618,.550,0.0,10.0,4.6,26.0,2.8,0.0,20.9,17.3,112,114,12.3,2.6
10,2019-02-23,26-189,SAC,AWAY,OKC,W (+3),1,23:48,.727,.667,0.0,14.4,7.6,5.9,3.6,0.0,16.2,20.5,117,101,11.0,3.3
11,2019-02-27,26-193,SAC,HOME,MIL,L (-1),1,43:07,.589,.568,2.0,15.9,8.6,24.2,2.1,1.8,4.0,21.9,127,116,25.1,8.1
12,2019-03-01,26-195,SAC,HOME,LAC,L (-7),1,35:16,.283,.233,2.7,12.6,7.9,7.4,1.3,0.0,5.9,20.5,65,117,2.9,-11.1
13,2019-03-04,26-198,SAC,HOME,NYK,W (+7),1,36:30,.481,.455,0.0,2.8,1.4,11.7,2.6,2.3,25.9,18.4,75,106,4.8,-7.7
14,2019-03-06,26-200,SAC,HOME,BOS,L (-2),1,27:47,.778,.778,4.5,14.0,9.2,16.5,1.7,0.0,18.2,18.2,128,113,10.0,2.3
15,2019-03-09,26-203,SAC,AWAY,NYK,W (+8),1,29:48,.418,.333,2.9,8.8,5.8,14.7,0.0,0.0,8.5,17.0,95,103,5.0,-4.4
16,2019-03-11,26-205,SAC,AWAY,WAS,L (-6),1,24:50,.618,.357,0.0,17.2,8.2,20.8,0.0,0.0,22.2,21.6,109,115,9.1,-3.0
