,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-17,26-166,IND,HOME,MEM,W (+28),1,25:47,.673,.682,0.0,18.3,11.0,26.0,0.0,0.0,20.2,25.5,121,92,11.1,5.3
1,2018-10-19,26-168,IND,AWAY,MIL,L (-17),1,31:41,.488,.457,0.0,17.6,8.3,6.6,0.0,3.2,7.2,36.1,94,114,11.4,-0.3
2,2018-10-20,26-169,IND,HOME,BRK,W (+20),1,32:54,.552,.575,3.6,22.4,12.8,12.0,5.7,0.0,11.7,33.5,107,102,18.6,2.3
3,2018-10-22,26-171,IND,AWAY,MIN,L (-10),1,33:36,.404,.391,2.8,20.9,10.9,17.4,0.0,2.7,10.8,34.8,81,104,8.2,0.0
4,2018-10-24,26-173,IND,AWAY,SAS,W (+20),1,33:25,.763,.708,4.0,11.5,8.4,36.0,3.1,0.0,12.7,22.5,148,103,23.6,13.9
5,2018-10-27,26-176,IND,AWAY,CLE,W (+12),1,36:41,.680,.733,4.8,7.3,6.2,22.5,4.3,0.0,10.2,25.6,128,118,21.2,5.4
6,2018-10-29,26-178,IND,HOME,POR,L (-10),1,36:00,.430,.417,0.0,32.4,14.1,37.3,1.4,0.0,3.9,31.8,92,107,14.2,4.3
7,2018-10-31,26-180,IND,AWAY,NYK,W (+6),1,32:17,.636,.639,0.0,22.3,11.7,4.9,3.2,2.8,13.7,30.8,109,104,16.0,2.0
8,2018-11-02,26-182,IND,AWAY,CHI,W (+2),1,35:34,.578,.500,6.6,36.8,22.2,24.2,2.9,2.3,0.0,27.6,132,103,26.1,10.7
9,2018-11-03,26-183,IND,HOME,BOS,W (+1),1,36:31,.558,.444,3.1,30.8,17.5,14.0,4.1,0.0,18.9,31.7,97,96,17.5,4.8
10,2018-11-05,26-185,IND,HOME,HOU,L (-4),1,35:49,.640,.619,0.0,21.7,10.3,14.7,0.0,0.0,15.5,33.6,105,110,15.3,3.5
11,2018-11-07,26-187,IND,HOME,PHI,L (-6),1,36:39,.551,.533,0.0,20.7,9.4,49.1,2.7,8.4,3.0,39.9,114,95,29.2,22.0
12,2018-11-09,26-189,IND,AWAY,MIA,W (+8),1,36:43,.455,.432,0.0,15.6,8.5,41.9,5.1,0.0,4.0,30.0,108,94,19.7,7.7
