,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-12-21,21-278,LAL,HOME,NOP,W (+8),1,32:16,.800,.800,6.3,24.8,16.2,0.0,2.8,4.0,9.1,14.2,139,90,16.7,5.4
1,2018-12-23,21-280,LAL,HOME,MEM,L (-8),1,32:53,.690,.667,3.6,10.0,7.0,5.8,0.0,9.1,6.8,21.4,127,112,16.3,2.0
2,2018-12-25,21-282,LAL,AWAY,GSW,W (+26),1,30:40,.900,.900,13.0,25.0,20.0,9.5,0.0,5.5,9.1,15.8,168,94,19.7,10.0
3,2018-12-27,21-284,LAL,AWAY,SAC,L (-1),1,20:14,.375,.375,11.6,13.4,12.6,0.0,0.0,3.3,11.1,18.5,81,114,2.8,-12.0
4,2018-12-28,21-285,LAL,HOME,LAC,L (-11),1,19:12,.343,.125,9.3,0.0,4.9,22.4,0.0,3.5,16.4,25.5,80,110,2.8,-8.2
5,2019-01-06,21-294,LAL,AWAY,MIN,L (-22),1,18:30,.580,.500,9.6,35.4,21.2,0.0,0.0,0.0,20.5,21.0,97,104,6.4,-2.7
6,2019-01-24,21-312,LAL,HOME,MIN,L (-15),1,20:46,.417,.417,22.0,17.8,19.7,7.1,0.0,0.0,25.0,33.0,76,120,3.1,-16.7
7,2019-01-27,21-315,LAL,HOME,PHO,W (+14),1,34:59,.629,.563,17.6,35.9,27.1,0.0,0.0,9.3,9.5,25.6,129,99,21.2,0.1
8,2019-01-29,21-317,LAL,HOME,PHI,L (-16),1,16:59,.518,.400,12.3,0.0,6.1,22.7,0.0,0.0,22.8,20.6,104,126,4.2,-4.7
9,2019-01-31,21-319,LAL,AWAY,LAC,W (+3),1,17:44,.405,.167,0.0,14.7,8.4,7.7,0.0,0.0,10.4,23.3,83,112,3.0,-8.9
10,2019-02-02,21-321,LAL,AWAY,GSW,L (-14),1,25:55,.437,.455,11.1,25.8,17.9,5.7,0.0,6.5,8.0,19.4,95,110,7.7,-2.9
11,2019-02-05,21-324,LAL,AWAY,IND,L (-42),1,19:12,.800,.800,7.6,18.3,13.5,10.0,0.0,0.0,28.6,16.6,106,138,5.6,-4.8
12,2019-02-09,21-328,LAC,AWAY,BOS,W (+11),1,23:08,.530,.500,4.8,32.5,19.9,0.0,0.0,9.4,15.0,23.3,89,95,8.6,-2.7
