,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-02-03,23-135,MEM,AWAY,NYK,W (+12),1,16:54,.000,.000,5.8,6.3,6.0,7.7,3.1,0.0,20.0,13.4,25,91,-2.7,-18.2
1,2019-02-22,23-154,MEM,HOME,LAC,L (-6),1,10:49,.800,.800,0.0,25.4,10.1,22.5,0.0,0.0,0.0,19.0,152,111,5.0,7.4
2,2019-02-27,23-159,MEM,HOME,CHI,L (-2),1,27:51,.583,.583,3.7,4.2,3.9,4.8,1.7,0.0,33.3,13.2,80,111,2.9,-7.2
3,2019-03-02,23-162,MEM,AWAY,DAL,W (+30),1,34:32,.507,.500,8.2,21.2,16.4,23.9,0.0,3.1,10.1,13.3,120,83,10.6,5.3
4,2019-03-03,23-163,MEM,AWAY,OKC,L (-4),1,28:18,.709,.583,8.5,6.0,7.0,5.7,0.0,2.7,20.5,15.4,120,106,7.4,-2.3
5,2019-03-05,23-165,MEM,HOME,POR,W (+9),1,15:15,.174,.000,0.0,9.0,4.5,15.7,0.0,0.0,51.0,17.3,39,117,-2.9,-16.7
6,2019-03-10,23-170,MEM,HOME,ORL,W (+8),1,17:51,.250,.250,0.0,14.9,8.2,8.6,0.0,11.0,0.0,10.2,62,100,2.6,-1.7
7,2019-03-16,23-176,MEM,AWAY,WAS,L (-7),1,6:32,.750,.750,0.0,52.5,25.9,18.1,7.3,0.0,33.3,20.1,97,112,2.8,4.6
8,2019-03-20,23-180,MEM,HOME,HOU,W (+1),1,40:53,.638,.650,6.0,13.8,10.1,11.7,0.0,0.0,14.5,14.5,125,127,12.2,1.6
9,2019-03-22,23-182,MEM,AWAY,ORL,L (-4),1,29:12,.483,.500,14.5,3.9,9.5,0.0,0.0,0.0,9.7,16.3,105,122,5.1,-8.2
10,2019-03-23,23-183,MEM,HOME,MIN,L (-13),1,25:25,.214,.214,3.4,18.9,9.8,0.0,2.0,0.0,0.0,11.0,63,115,0.6,-10.8
11,2019-03-25,23-185,MEM,HOME,OKC,W (+12),1,35:11,.813,.769,9.7,19.5,15.3,9.4,1.4,2.3,6.3,18.9,157,103,23.9,11.5
12,2019-03-27,23-187,MEM,HOME,GSW,L (-15),1,36:55,.654,.654,17.6,17.1,17.4,13.0,1.3,4.9,0.0,14.3,155,121,21.9,9.3
13,2019-03-30,23-190,MEM,AWAY,PHO,W (+5),1,37:40,.622,.571,0.0,21.2,9.1,6.9,1.3,2.4,17.2,12.6,111,117,10.0,-3.9
14,2019-03-31,23-191,MEM,AWAY,LAC,L (-17),1,19:58,.667,.667,0.0,14.6,5.9,19.4,0.0,10.0,14.3,15.1,109,111,6.2,2.2
15,2019-04-05,23-196,MEM,AWAY,DAL,W (+10),1,29:13,.500,.500,7.6,13.4,10.7,16.0,0.0,3.4,25.0,17.4,98,116,6.6,-4.1
16,2019-04-07,23-198,MEM,HOME,DAL,L (-2),1,39:27,.597,.550,10.7,32.3,22.0,14.7,0.0,2.4,15.5,14.7,123,119,15.0,-0.4
17,2019-04-09,23-200,MEM,AWAY,DET,L (-7),1,26:35,.558,.538,0.0,10.8,6.5,16.3,2.0,6.7,6.9,26.3,109,106,10.0,2.5
18,2019-04-10,23-201,MEM,HOME,GSW,W (+15),1,30:16,.706,.679,0.0,14.8,7.2,9.0,1.6,0.0,11.8,22.9,132,118,14.8,0.6
