,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-12-16,26-234,TOR,AWAY,DEN,L (-9),1,38:23,.563,.500,2.7,18.2,10.5,18.2,1.4,0.0,13.1,18.2,114,107,13.6,3.6
1,2018-12-21,26-239,TOR,HOME,CLE,W (+16),1,32:56,.405,.333,3.5,10.4,6.9,10.0,1.5,2.5,0.0,13.0,113,119,7.1,-4.9
2,2019-02-12,26-292,MEM,HOME,SAS,L (-1),1,34:29,.222,.222,0.0,22.3,12.2,20.3,1.5,2.1,18.2,14.2,65,110,4.0,-7.1
3,2019-03-03,26-311,MEM,AWAY,OKC,L (-4),1,36:29,.539,.464,0.0,18.5,10.9,29.1,2.6,2.1,6.0,20.5,111,94,16.7,5.0
4,2019-03-20,26-328,MEM,HOME,HOU,W (+1),1,41:38,.436,.389,3.0,5.4,4.2,13.7,2.5,0.0,27.9,14.8,85,124,4.4,-5.5
5,2019-03-22,26-330,MEM,AWAY,ORL,L (-4),1,38:34,.466,.500,8.2,11.9,10.0,28.4,1.3,2.5,13.4,17.7,111,115,12.6,-1.1
6,2019-03-25,26-333,MEM,HOME,OKC,W (+12),1,35:01,.587,.571,3.3,4.9,4.2,61.4,5.6,0.0,16.4,22.1,125,101,21.6,10.9
7,2019-03-31,26-339,MEM,AWAY,LAC,L (-17),1,35:25,.610,.583,2.8,28.7,13.4,22.7,4.0,2.8,10.9,22.3,113,106,18.5,6.1
8,2019-04-03,26-342,MEM,AWAY,POR,L (-27),1,28:40,.564,.563,3.8,12.0,7.8,41.3,1.7,5.3,17.0,19.4,109,120,12.0,2.5
9,2019-04-05,26-344,MEM,AWAY,DAL,W (+10),1,39:03,.613,.579,2.9,22.6,13.4,51.1,2.5,0.0,0.0,23.1,153,110,31.1,12.7
10,2019-04-07,26-346,MEM,HOME,DAL,L (-2),1,42:10,.533,.500,0.0,30.3,15.7,47.2,0.0,2.2,5.1,21.2,127,120,20.9,0.8
11,2019-04-09,26-348,MEM,AWAY,DET,L (-7),1,37:19,.555,.400,3.9,20.6,13.9,9.2,1.4,0.0,18.2,21.4,103,107,11.3,-3.9
12,2019-04-10,26-349,MEM,HOME,GSW,W (+15),1,36:46,.742,.643,8.7,24.3,16.3,32.6,3.9,0.0,25.5,13.1,153,111,21.1,9.3
