,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-17,26-164,TOR,HOME,CLE,W (+12),1,20:24,.375,.375,10.9,48.0,30.7,18.6,0.0,0.0,0.0,17.1,108,94,7.3,0.7
1,2018-10-20,26-167,TOR,AWAY,WAS,W (+4),1,18:50,.722,.625,12.1,27.1,20.0,9.7,0.0,5.1,8.3,25.5,147,108,13.7,8.1
2,2018-10-26,26-173,TOR,HOME,DAL,W (+9),1,22:02,.479,.438,23.7,13.6,18.5,7.6,2.2,0.0,5.3,36.6,111,107,11.7,-4.0
3,2018-11-02,26-180,TOR,AWAY,PHO,W (+9),1,24:25,.735,.750,4.6,26.2,15.6,7.2,2.0,12.1,15.5,24.5,115,90,14.0,4.7
4,2018-11-05,26-183,TOR,AWAY,UTA,W (+13),1,21:36,.506,.450,0.0,27.8,16.1,0.0,2.2,8.1,8.4,24.9,96,103,8.4,-1.8
5,2018-11-14,26-192,TOR,HOME,DET,L (-2),1,26:57,.543,.500,8.1,16.2,12.1,0.0,0.0,3.1,18.9,23.7,94,103,6.7,-5.2
6,2018-11-21,26-199,TOR,AWAY,ATL,W (+16),1,26:43,.773,.792,13.8,35.9,26.2,11.3,0.0,3.2,11.4,26.9,142,104,22.4,11.8
7,2018-11-23,26-201,TOR,HOME,WAS,W (+18),1,18:14,.508,.429,24.5,15.5,19.6,20.7,0.0,0.0,27.6,24.6,105,109,6.3,-5.0
8,2018-11-25,26-203,TOR,HOME,MIA,W (+10),1,24:14,.814,.800,9.9,29.9,21.3,12.7,0.0,0.0,8.7,20.6,155,115,16.6,8.5
9,2018-12-07,26-215,TOR,AWAY,BRK,L (-1),1,26:19,.680,.667,8.1,23.7,16.0,0.0,0.0,3.2,0.0,30.4,133,99,19.4,10.4
10,2019-02-23,26-293,MEM,AWAY,CLE,L (-5),1,29:38,.615,.605,15.3,23.1,18.8,7.3,0.0,7.0,9.0,31.6,122,113,19.5,5.3
11,2019-02-25,26-295,MEM,HOME,LAL,W (+5),1,24:50,.581,.533,18.9,29.7,24.4,0.0,1.9,6.2,22.5,36.6,99,94,14.0,-0.7
12,2019-02-27,26-297,MEM,HOME,CHI,L (-2),1,26:53,.542,.542,3.8,26.1,14.2,23.6,0.0,3.1,7.7,19.7,114,109,11.2,3.5
13,2019-03-02,26-300,MEM,AWAY,DAL,W (+30),1,28:08,.859,.889,0.0,28.9,18.3,26.9,1.8,0.0,14.7,22.5,146,77,19.7,14.1
14,2019-03-03,26-301,MEM,AWAY,OKC,L (-4),1,32:14,.542,.462,3.7,31.4,20.0,5.7,0.0,7.1,16.9,24.6,92,90,12.6,-1.1
15,2019-03-05,26-303,MEM,HOME,POR,W (+9),1,21:08,.970,.929,0.0,13.0,6.5,0.0,0.0,4.5,18.6,22.9,147,113,13.0,4.6
16,2019-03-08,26-306,MEM,HOME,UTA,W (+10),1,25:02,.720,.706,9.8,21.3,16.0,16.7,0.0,0.0,5.1,35.5,138,112,20.8,9.8
17,2019-03-10,26-308,MEM,HOME,ORL,W (+8),1,24:34,.470,.364,4.4,25.3,15.9,22.4,2.0,15.9,7.3,25.4,100,87,12.0,6.4
18,2019-03-13,26-311,MEM,AWAY,ATL,L (-21),1,19:31,.450,.375,0.0,0.0,0.0,0.0,0.0,4.2,25.3,25.5,66,139,0.5,-20.0
19,2019-03-16,26-314,MEM,AWAY,WAS,L (-7),1,28:35,.615,.588,7.8,24.0,15.8,16.1,0.0,3.7,10.1,30.5,115,133,16.5,-2.1
20,2019-03-20,26-318,MEM,HOME,HOU,W (+1),1,36:25,.623,.526,30.5,18.6,24.3,5.5,0.0,0.0,15.9,37.2,123,126,25.1,1.7
21,2019-03-22,26-320,MEM,AWAY,ORL,L (-4),1,40:55,.554,.553,2.6,64.8,32.4,11.4,0.0,9.6,16.2,27.8,97,107,19.4,0.2
22,2019-03-23,26-321,MEM,HOME,MIN,L (-13),1,26:06,.553,.500,19.7,36.8,26.8,23.9,0.0,9.7,18.1,33.6,107,108,16.3,5.8
23,2019-03-25,26-323,MEM,HOME,OKC,W (+12),1,32:13,.580,.500,0.0,37.2,21.3,4.8,0.0,5.1,6.1,21.7,117,97,15.3,0.0
24,2019-03-27,26-325,MEM,HOME,GSW,L (-15),1,32:15,.496,.480,7.6,39.2,19.9,14.1,0.0,5.6,9.9,38.0,99,121,16.4,0.1
25,2019-03-30,26-328,MEM,AWAY,PHO,W (+5),1,34:01,.589,.571,32.3,35.3,33.6,38.3,2.8,5.3,9.4,38.3,127,110,33.9,10.0
26,2019-03-31,26-329,MEM,AWAY,LAC,L (-17),1,20:32,.423,.250,9.7,35.4,20.2,8.6,2.3,4.9,32.0,32.7,67,107,2.9,-13.8
