,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-11-23,31-276,MIA,AWAY,CHI,W (+7),1,26:36,.188,.188,3.6,11.0,7.3,25.6,0.0,0.0,20.0,15.7,61,101,0.5,-9.2
1,2018-11-25,31-278,MIA,AWAY,TOR,L (-10),1,19:03,.381,.286,0.0,0.0,0.0,22.3,0.0,0.0,0.0,17.1,107,138,3.6,-6.9
2,2018-11-27,31-280,MIA,HOME,ATL,L (-2),1,18:42,.500,.500,5.5,12.2,8.7,15.9,2.4,0.0,0.0,17.1,119,112,6.9,1.3
3,2018-11-30,31-283,MIA,HOME,NOP,W (+5),1,19:24,.515,.417,0.0,5.6,2.7,21.2,2.5,0.0,20.5,21.3,98,107,4.4,-2.1
4,2018-12-02,31-285,MIA,HOME,UTA,W (+2),1,18:46,.450,.450,4.7,5.6,5.1,19.9,2.6,4.6,16.7,26.8,86,102,4.9,-0.5
5,2018-12-04,31-287,MIA,HOME,ORL,L (-15),1,20:18,.688,.688,4.9,16.9,10.5,9.0,2.6,0.0,27.3,24.0,100,116,6.5,-2.3
6,2018-12-07,31-290,MIA,AWAY,PHO,W (+17),1,16:35,.444,.444,0.0,22.9,10.6,9.5,5.8,6.4,10.0,27.3,78,86,6.6,-1.8
7,2018-12-08,31-291,MIA,AWAY,LAC,W (+23),1,29:22,.731,.682,0.0,23.4,12.3,17.2,1.6,2.7,7.5,18.1,141,92,17.9,9.0
8,2018-12-10,31-293,MIA,AWAY,LAL,L (-3),1,16:39,.000,.000,6.0,12.0,9.0,13.7,0.0,5.0,50.0,14.8,29,113,-2.5,-17.4
9,2018-12-12,31-295,MIA,AWAY,UTA,L (-27),1,18:07,.514,.429,0.0,15.1,6.5,12.6,0.0,0.0,25.5,31.0,77,122,2.0,-11.6
10,2018-12-14,31-297,MIA,AWAY,MEM,W (+3),1,22:00,.667,.667,5.7,14.2,10.4,8.7,0.0,4.0,18.2,22.7,108,111,7.5,-0.4
11,2018-12-16,31-299,MIA,AWAY,NOP,W (+6),1,15:44,.282,.250,0.0,33.2,16.1,17.5,0.0,0.0,0.0,13.6,91,103,1.1,-7.9
12,2018-12-20,31-303,MIA,HOME,HOU,W (+2),1,18:04,.431,.455,0.0,27.1,13.0,35.1,2.9,0.0,0.0,29.0,105,101,7.9,4.8
13,2018-12-22,31-305,MIA,HOME,MIL,W (+7),1,30:20,.611,.611,3.0,15.2,9.0,24.3,3.2,3.9,0.0,12.8,135,83,14.4,11.8
14,2018-12-23,31-306,MIA,AWAY,ORL,W (+24),1,24:35,1.125,1.125,0.0,13.9,7.4,27.7,2.1,0.0,0.0,7.5,230,101,11.6,11.5
15,2018-12-26,31-309,MIA,HOME,TOR,L (-2),1,29:17,.667,.667,4.2,21.0,12.6,4.7,3.5,0.0,10.0,16.3,118,111,11.6,2.4
16,2018-12-28,31-311,MIA,HOME,CLE,W (+24),1,8:10,.000,.000,0.0,13.4,6.8,0.0,0.0,0.0,0.0,5.6,0,108,-0.8,-16.3
17,2019-01-02,31-316,MIA,AWAY,CLE,W (+25),1,16:31,.688,.688,0.0,8.1,4.2,18.0,3.3,0.0,0.0,21.8,159,102,8.9,9.3
18,2019-01-04,31-318,MIA,HOME,WAS,W (+6),1,27:32,.660,.625,0.0,14.8,7.8,0.0,0.0,0.0,13.4,22.0,110,111,9.4,-2.1
19,2019-01-06,31-320,MIA,AWAY,ATL,L (-24),1,18:45,.500,.500,9.0,11.9,10.2,32.9,0.0,0.0,0.0,16.0,117,116,6.2,0.2
20,2019-01-08,31-322,MIA,HOME,DEN,L (-4),1,16:16,.375,.375,0.0,20.1,10.1,0.0,0.0,0.0,33.3,17.7,47,116,-0.5,-15.4
21,2019-01-10,31-324,MIA,HOME,BOS,W (+16),1,19:30,.378,.367,6.5,19.7,14.0,21.9,0.0,4.5,5.9,38.6,89,105,5.6,-9.3
22,2019-01-12,31-326,MIA,HOME,MEM,W (+4),1,13:41,.595,.600,0.0,9.2,4.6,35.7,0.0,6.7,0.0,19.7,142,120,5.8,3.4
23,2019-01-15,31-329,MIA,AWAY,MIL,L (-38),1,21:23,,,0.0,29.3,14.0,0.0,0.0,7.9,100.0,2.1,0,115,1.8,-6.8
24,2019-01-18,31-332,MIA,AWAY,DET,L (-5),1,30:42,.500,.500,0.0,10.2,5.4,22.8,1.7,0.0,36.4,16.5,79,106,3.9,-3.5
25,2019-01-19,31-333,MIA,AWAY,CHI,W (+14),1,25:08,.683,.583,0.0,11.2,6.4,9.7,1.9,0.0,12.0,15.0,129,106,8.9,1.1
26,2019-01-21,31-335,MIA,AWAY,BOS,L (-8),1,18:15,.571,.571,6.9,14.6,10.7,37.4,0.0,4.6,41.7,28.0,78,112,3.3,-3.3
27,2019-01-23,31-337,MIA,HOME,LAC,L (-12),1,25:34,.300,.300,4.1,5.4,4.6,5.1,0.0,3.0,0.0,8.8,87,122,1.9,-5.6
