,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-17,25-032,MIA,AWAY,ORL,L (-3),1,37:35,.470,.429,2.5,9.8,6.2,13.8,1.2,1.9,11.8,26.4,95,102,11.0,1.4
1,2018-10-18,25-033,MIA,AWAY,WAS,W (+1),1,38:25,.571,.500,4.5,6.2,5.3,22.3,1.2,2.3,7.5,25.9,129,111,20.9,8.2
2,2018-10-20,25-035,MIA,HOME,CHO,L (-1),1,26:50,.318,.318,4.5,11.0,8.0,10.0,0.0,0.0,21.4,21.6,66,119,-1.5,-16.5
3,2018-10-24,25-039,MIA,HOME,NYK,W (+23),1,34:51,.750,.750,3.5,16.9,11.5,4.9,1.4,0.0,22.2,23.1,104,89,14.1,2.4
4,2018-10-27,25-042,MIA,HOME,POR,W (+9),1,36:15,.356,.367,0.0,13.8,6.8,17.7,1.3,2.4,11.5,19.3,85,113,6.0,-6.0
5,2018-10-29,25-044,MIA,HOME,SAC,L (-10),1,36:34,.644,.571,5.3,2.7,4.0,0.0,2.4,5.5,0.0,25.3,139,111,24.5,10.3
6,2018-10-30,25-045,MIA,AWAY,CHO,L (-12),1,28:44,.493,.423,0.0,10.4,4.6,15.4,1.7,3.2,6.2,24.0,106,128,8.9,-4.7
7,2018-11-03,25-049,MIA,AWAY,ATL,L (-5),1,37:54,.775,.722,0.0,3.5,1.6,13.4,2.5,2.3,4.6,24.2,156,121,25.9,9.5
8,2018-11-05,25-051,MIA,AWAY,DET,W (+5),1,38:03,.617,.595,5.8,13.5,10.1,19.4,0.0,4.0,4.4,24.8,126,103,21.5,7.4
9,2018-11-07,25-053,MIA,HOME,SAS,W (+7),1,37:45,.318,.318,7.5,4.4,5.8,22.4,2.6,0.0,8.3,26.8,79,97,6.4,-4.1
10,2018-11-09,25-055,MIA,HOME,IND,L (-8),1,28:40,.469,.412,0.0,0.0,0.0,38.7,3.3,0.0,23.8,36.7,83,106,6.3,-5.7
11,2018-11-10,25-056,MIA,HOME,WAS,L (-6),1,36:12,.685,.643,2.9,6.6,4.6,23.4,1.4,0.0,10.2,21.9,136,121,18.8,5.9
12,2018-11-12,25-058,MIA,HOME,PHI,L (-10),1,37:15,.833,.750,0.0,3.1,1.6,0.0,1.3,2.7,22.7,16.0,123,131,10.8,-0.5
13,2018-11-14,25-060,MIA,AWAY,BRK,W (+13),1,35:30,.508,.462,3.8,9.5,7.3,17.2,0.0,0.0,16.9,21.0,100,106,8.3,-4.2
14,2018-11-16,25-062,MIA,AWAY,IND,L (-8),1,40:43,.852,.844,0.0,11.2,4.8,10.2,1.2,0.0,15.4,20.2,133,103,20.6,9.7
