,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-24,27-188,MIA,HOME,NYK,W (+23),1,30:23,.619,.563,0.0,8.3,4.9,29.0,1.6,0.0,0.0,13.1,142,92,12.7,6.9
1,2018-10-27,27-191,MIA,HOME,POR,W (+9),1,28:48,.848,.833,3.3,13.9,8.5,24.5,1.7,0.0,8.2,17.0,170,114,19.3,14.6
2,2018-10-29,27-193,MIA,HOME,SAC,L (-10),1,15:45,.214,.214,0.0,12.7,6.2,0.0,2.8,4.3,22.2,21.9,36,110,-2.0,-15.9
3,2018-10-30,27-194,MIA,AWAY,CHO,L (-12),1,21:25,.810,.750,10.9,7.0,9.2,21.0,4.6,0.0,18.8,21.2,143,124,13.6,9.1
4,2018-11-03,27-198,MIA,AWAY,ATL,L (-5),1,13:48,.000,.000,0.0,9.7,4.5,0.0,0.0,0.0,33.3,9.2,0,127,-2.9,-21.2
5,2019-02-05,27-292,MIA,AWAY,POR,W (+10),1,19:31,.595,.500,14.5,10.9,12.5,12.3,2.5,0.0,33.8,20.6,100,113,4.5,-4.4
6,2019-02-08,27-295,MIA,AWAY,SAC,L (-6),1,18:17,.922,.875,0.0,0.0,0.0,26.1,0.0,8.2,29.1,15.8,131,104,8.5,9.1
7,2019-02-10,27-297,MIA,AWAY,GSW,L (-2),1,22:10,.167,.167,8.7,28.5,17.2,14.2,0.0,0.0,25.0,13.9,66,125,0.0,-13.5
8,2019-02-11,27-298,MIA,AWAY,DEN,L (-16),1,28:14,.396,.346,8.1,17.0,12.9,12.5,3.5,6.5,12.6,25.7,81,99,7.6,-1.3
9,2019-02-13,27-300,MIA,AWAY,DAL,W (+11),1,21:02,.833,.833,0.0,13.7,8.1,6.5,0.0,6.3,25.0,17.2,115,106,6.9,2.1
10,2019-02-21,27-308,MIA,AWAY,PHI,L (-4),1,28:38,.577,.577,3.6,18.6,11.1,15.1,0.0,0.0,7.1,21.7,111,112,11.2,0.9
11,2019-02-23,27-310,MIA,HOME,DET,L (-23),1,23:22,.489,.357,4.8,19.9,11.1,19.9,4.3,0.0,17.9,21.5,97,119,6.2,-1.7
12,2019-02-25,27-312,MIA,HOME,PHO,L (-3),1,41:04,.783,.765,5.1,25.3,14.1,10.0,1.1,0.0,14.4,20.4,135,122,23.2,4.3
13,2019-02-27,27-314,MIA,HOME,GSW,W (+1),1,29:36,.689,.650,4.0,14.7,9.5,10.1,1.7,0.0,0.0,16.2,156,128,13.1,2.3
14,2019-02-28,27-315,MIA,AWAY,HOU,L (-3),1,32:56,.750,.750,4.0,17.1,10.4,10.1,1.5,0.0,22.2,24.9,110,130,13.5,-0.7
15,2019-03-02,27-317,MIA,HOME,BRK,W (+29),1,34:16,.847,.808,0.0,15.9,9.0,17.8,1.4,6.1,11.9,21.2,147,88,23.3,12.2
16,2019-03-04,27-319,MIA,HOME,ATL,W (+1),1,23:40,.615,.500,6.1,16.6,12.4,5.3,0.0,4.5,17.0,22.2,112,118,6.9,-6.2
17,2019-03-06,27-321,MIA,AWAY,CHO,W (+7),1,44:32,.762,.750,4.6,22.0,13.0,3.7,2.3,2.3,6.5,14.7,153,88,21.1,11.4
18,2019-03-08,27-323,MIA,HOME,CLE,W (+16),1,25:05,.778,.714,0.0,5.2,2.6,15.4,4.1,5.0,0.0,17.5,177,112,15.6,10.2
19,2019-03-10,27-325,MIA,HOME,TOR,L (-21),1,24:19,.059,.000,4.2,23.9,12.3,9.4,7.9,0.0,0.0,14.6,36,111,1.9,-8.4
20,2019-03-13,27-328,MIA,HOME,DET,W (+34),1,21:27,.726,.500,0.0,14.0,7.6,6.5,0.0,5.6,0.0,13.1,167,86,7.7,2.3
21,2019-03-15,27-330,MIA,HOME,MIL,L (-15),1,34:33,.579,.500,0.0,22.6,10.0,7.9,1.3,0.0,18.8,12.7,100,110,7.9,-0.8
22,2019-03-17,27-332,MIA,HOME,CHO,W (+18),1,30:54,.240,.143,9.7,18.3,14.1,28.7,0.0,0.0,26.5,16.7,76,89,3.4,-5.6
23,2019-03-18,27-333,MIA,AWAY,OKC,W (+9),1,35:45,.795,.750,3.0,22.4,13.0,3.7,1.3,0.0,0.0,13.6,162,106,18.2,3.6
24,2019-03-20,27-335,MIA,AWAY,SAS,W (+5),1,19:06,.592,.500,12.0,9.7,10.7,14.4,0.0,0.0,0.0,16.3,143,116,7.1,0.2
25,2019-03-22,27-337,MIA,AWAY,MIL,L (-29),1,24:13,.666,.563,0.0,15.2,6.5,0.0,0.0,0.0,9.3,20.5,119,127,6.9,-2.4
26,2019-03-23,27-338,MIA,AWAY,WAS,W (+5),1,38:20,.778,.778,2.8,14.2,9.0,17.2,2.7,5.7,10.0,11.7,150,109,17.6,7.8
27,2019-03-26,27-341,MIA,HOME,ORL,L (-5),1,22:38,.254,.143,4.6,8.8,6.8,6.3,0.0,0.0,20.2,19.7,54,115,-1.3,-15.6
28,2019-03-28,27-343,MIA,HOME,DAL,W (+6),1,23:58,.478,.333,0.0,18.2,9.5,11.4,0.0,0.0,12.0,15.0,97,102,4.3,-5.7
29,2019-03-30,27-345,MIA,AWAY,NYK,W (+8),1,31:54,.492,.400,12.5,23.4,17.8,4.6,1.5,0.0,14.1,18.5,103,95,9.6,-3.4
30,2019-04-01,27-347,MIA,AWAY,BOS,L (-5),1,39:34,.568,.500,0.0,13.7,7.5,3.5,2.5,2.4,19.6,16.8,91,111,9.7,-2.6
31,2019-04-03,27-349,MIA,HOME,BOS,L (-10),1,28:50,.727,.750,0.0,13.5,5.6,0.0,0.0,3.0,0.0,9.6,145,117,7.4,1.2
32,2019-04-05,27-351,MIA,AWAY,MIN,L (-2),1,17:15,.000,.000,0.0,29.3,13.7,6.2,0.0,9.0,66.7,7.6,20,107,0.2,-7.8
33,2019-04-07,27-353,MIA,AWAY,TOR,L (-8),1,16:23,.466,.417,0.0,27.5,12.7,9.4,0.0,0.0,0.0,17.5,103,114,4.1,-1.3
34,2019-04-09,27-355,MIA,HOME,PHI,W (+23),1,18:44,1.000,1.000,0.0,21.4,11.4,6.7,2.5,3.5,20.0,11.5,141,91,8.6,8.5
35,2019-04-10,27-356,MIA,AWAY,BRK,L (-19),1,24:00,.533,.500,3.6,9.1,6.6,6.7,0.0,7.1,26.2,19.3,80,110,5.3,-6.4
