,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-12-05,27-025,MIL,HOME,DET,W (+23),1,24:51,.681,.400,4.5,21.5,13.9,5.7,3.6,0.0,11.0,15.9,134,83,12.1,4.7
1,2018-12-14,27-034,MIL,AWAY,CLE,W (+12),1,26:44,.600,.600,0.0,10.4,5.2,9.9,1.8,0.0,0.0,7.8,134,108,6.2,-0.9
2,2018-12-17,27-037,MIL,AWAY,DET,W (+3),1,28:58,.750,.750,4.1,19.7,12.1,4.6,1.7,3.1,0.0,12.7,142,106,12.6,4.5
3,2018-12-22,27-042,MIL,AWAY,MIA,L (-7),1,32:59,.563,.563,2.8,8.2,5.5,5.5,0.0,0.0,0.0,10.7,111,103,6.5,0.5
4,2019-01-29,27-080,MIL,AWAY,DET,W (+10),1,23:50,.698,.714,5.8,4.7,5.2,10.3,2.2,0.0,0.0,15.7,146,117,10.7,4.6
5,2019-02-02,27-084,MIL,AWAY,WAS,W (+16),1,24:24,1.000,1.000,0.0,11.3,6.4,26.5,0.0,0.0,0.0,8.7,203,117,11.7,7.7
6,2019-02-08,27-090,MIL,AWAY,DAL,W (+15),1,19:32,.333,.333,0.0,4.9,2.8,10.7,0.0,0.0,0.0,13.4,91,116,1.9,-7.2
7,2019-02-09,27-091,MIL,HOME,ORL,L (-20),1,19:49,.600,.600,0.0,0.0,0.0,10.2,2.5,7.2,0.0,10.7,122,101,6.8,5.7
8,2019-03-19,27-129,MIL,HOME,LAL,W (+14),1,14:57,.000,.000,7.0,19.3,13.4,15.7,0.0,0.0,0.0,8.2,64,101,-1.1,-12.1
9,2019-03-20,27-130,MIL,AWAY,CLE,L (-5),1,27:39,.364,.364,3.3,22.9,13.2,5.6,0.0,6.4,8.3,19.1,75,108,4.2,-8.6
10,2019-03-22,27-132,MIL,HOME,MIA,W (+29),1,22:27,.850,.800,5.5,12.1,9.3,11.7,2.3,4.5,14.5,13.6,150,89,9.8,8.7
11,2019-03-24,27-134,MIL,HOME,CLE,W (+22),1,18:10,.872,.833,0.0,15.0,8.8,0.0,2.6,0.0,0.0,17.3,167,104,11.3,8.3
