,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-20,20-049,MIN,AWAY,DAL,L (-4),1,28:32,.510,.500,5.1,16.0,11.2,8.3,1.5,0.0,33.8,12.6,84,129,2.2,-7.4
1,2018-10-24,20-053,MIN,AWAY,TOR,L (-7),1,26:43,.357,.357,18.3,27.6,22.5,5.5,0.0,3.2,12.5,24.4,86,116,5.7,-5.7
2,2018-10-26,20-055,MIN,HOME,MIL,L (-30),1,29:17,.200,.200,4.6,8.4,5.9,5.0,1.5,0.0,0.0,12.9,58,122,1.5,-9.6
3,2018-10-29,20-058,MIN,HOME,LAL,W (+4),1,30:05,.576,.500,0.0,13.3,6.4,14.8,4.6,2.2,0.0,18.8,141,110,16.5,5.6
4,2018-10-31,20-060,MIN,HOME,UTA,W (+3),1,36:54,.791,.800,3.7,7.2,5.8,2.9,2.5,3.9,24.0,9.7,126,121,9.4,-0.1
5,2018-11-04,20-064,MIN,AWAY,POR,L (-30),1,29:32,.338,.313,2.6,7.7,4.7,6.3,0.0,0.0,0.0,12.7,79,123,1.6,-9.5
6,2018-11-09,20-069,MIN,AWAY,SAC,L (-11),1,27:21,.381,.286,0.0,7.2,3.5,4.9,0.0,0.0,20.2,13.9,71,120,0.0,-9.4
7,2019-01-02,20-123,MIN,AWAY,BOS,L (-13),1,24:16,.260,.000,0.0,20.5,8.9,9.9,4.1,0.0,14.8,12.5,64,115,1.5,-8.3
8,2019-01-04,20-125,MIN,HOME,ORL,W (+17),1,33:11,.372,.222,0.0,14.8,8.1,16.4,0.0,0.0,15.7,16.5,88,106,4.7,-7.0
9,2019-01-06,20-127,MIN,HOME,LAL,W (+22),1,34:14,.508,.500,0.0,5.2,2.9,0.0,1.3,6.5,20.2,12.3,77,85,4.0,-2.7
10,2019-01-08,20-129,MIN,AWAY,OKC,W (+2),1,36:53,.436,.389,0.0,3.5,1.5,3.8,0.0,2.4,0.0,11.4,102,124,4.0,-7.1
11,2019-01-11,20-132,MIN,HOME,DAL,L (-4),1,22:46,.845,.875,4.3,4.5,4.4,5.8,2.1,0.0,18.4,19.0,132,122,10.5,5.7
12,2019-01-12,20-133,MIN,HOME,NOP,W (+4),1,41:43,.525,.464,0.0,12.8,5.9,7.0,1.2,0.0,5.8,17.0,110,108,11.3,-1.2
13,2019-01-15,20-136,MIN,AWAY,PHI,L (-42),1,21:17,.387,.250,0.0,6.8,2.6,6.9,2.1,0.0,11.4,17.0,77,142,1.6,-10.9
14,2019-01-18,20-139,MIN,HOME,SAS,L (-3),1,25:18,.601,.500,0.0,8.8,4.5,18.2,1.9,0.0,10.7,15.8,121,117,7.8,1.2
15,2019-01-20,20-141,MIN,HOME,PHO,W (+2),1,11:05,.410,.250,0.0,10.3,5.2,12.5,4.1,9.2,29.1,24.1,69,99,0.7,-8.6
16,2019-01-22,20-143,MIN,AWAY,PHO,W (+27),1,24:57,.852,.818,0.0,19.6,9.8,12.2,3.8,0.0,7.5,20.4,164,84,18.0,15.1
17,2019-01-24,20-145,MIN,AWAY,LAL,W (+15),1,39:30,.278,.143,4.7,2.9,3.9,2.9,1.2,0.0,5.8,16.7,81,109,1.6,-12.6
