,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-16,27-306,PHI,AWAY,BOS,L (-18),1,34:12,.400,.400,2.9,13.2,8.3,0.0,2.7,2.3,16.7,14.9,67,99,4.7,-1.7
1,2018-10-18,27-308,PHI,HOME,CHI,W (+19),1,29:08,.635,.571,0.0,16.8,8.8,9.7,3.0,2.4,11.3,24.5,116,97,15.4,3.2
2,2018-10-20,27-310,PHI,HOME,ORL,W (+1),1,38:58,.806,.786,0.0,10.5,5.2,3.1,2.6,2.0,21.2,10.7,116,119,10.1,-1.7
3,2018-10-23,27-313,PHI,AWAY,DET,L (-1),1,44:12,.673,.682,5.7,13.8,10.2,5.7,1.1,1.6,7.8,12.7,129,119,13.6,-0.7
4,2018-10-24,27-314,PHI,AWAY,MIL,L (-15),1,29:13,.368,.350,0.0,6.4,3.3,5.0,0.0,5.8,21.6,18.8,58,112,0.3,-9.2
5,2018-10-27,27-317,PHI,HOME,CHO,W (+2),1,36:03,.682,.727,2.5,23.5,12.8,0.0,2.7,8.9,7.0,16.4,126,92,17.1,9.9
6,2018-10-29,27-319,PHI,HOME,ATL,W (+21),1,31:05,.458,.458,2.9,13.3,8.3,4.4,4.4,5.4,20.0,18.4,77,80,7.7,-0.1
7,2018-10-30,27-320,PHI,AWAY,TOR,L (-17),1,36:56,.663,.600,2.5,10.0,5.8,4.0,4.9,4.0,0.0,11.6,150,112,15.3,7.8
8,2018-11-01,27-322,PHI,HOME,LAC,W (+9),1,33:25,1.000,1.000,0.0,24.5,11.8,7.5,5.4,6.8,16.7,7.2,154,92,15.1,11.4
9,2018-11-03,27-324,PHI,HOME,DET,W (+10),1,31:33,.500,.500,0.0,9.3,5.1,6.1,1.4,0.0,16.7,8.4,80,96,1.9,-4.3
10,2018-11-04,27-325,PHI,AWAY,BRK,L (-25),1,29:16,.316,.200,0.0,15.8,9.8,5.6,1.6,0.0,44.2,16.9,42,119,-2.5,-13.0
11,2018-11-07,27-328,PHI,AWAY,IND,W (+6),1,35:56,.689,.667,0.0,11.6,6.4,4.6,2.7,4.2,9.6,13.3,117,93,11.8,4.8
12,2018-11-09,27-330,PHI,HOME,CHO,W (+1),1,30:02,.394,.313,3.7,5.9,4.9,4.3,0.0,10.1,0.0,12.2,100,118,5.0,-5.1
13,2018-11-14,27-335,MIN,HOME,NOP,W (+7),1,41:10,.547,.500,0.0,17.7,8.8,7.2,2.2,1.8,7.8,13.0,106,97,11.3,0.7
14,2018-11-16,27-337,MIN,HOME,POR,W (+16),1,23:22,1.000,1.000,4.5,18.3,11.3,0.0,6.2,0.0,12.5,15.1,154,87,13.0,13.1
15,2018-11-18,27-339,MIN,HOME,MEM,L (-13),1,37:23,.631,.636,0.0,5.2,2.8,10.4,5.5,2.4,0.0,14.3,130,100,14.8,11.4
16,2018-11-21,27-342,MIN,HOME,DEN,L (-2),1,37:10,.643,.667,0.0,12.6,6.5,0.0,2.7,0.0,7.4,16.2,108,108,11.4,3.4
17,2018-11-23,27-344,MIN,AWAY,BRK,W (+10),1,37:47,.438,.438,2.8,16.7,9.1,6.3,6.6,0.0,0.0,9.5,105,100,9.6,0.8
18,2018-11-24,27-345,MIN,HOME,CHI,W (+15),1,35:21,.106,.056,2.5,15.4,8.2,3.3,4.1,8.5,5.0,21.4,35,86,-3.6,-12.5
19,2018-11-26,27-347,MIN,AWAY,CLE,W (+7),1,38:43,.845,.833,0.0,21.7,11.0,4.1,2.7,4.5,0.0,17.2,171,97,23.0,13.0
20,2018-11-28,27-349,MIN,HOME,SAS,W (+39),1,30:58,.661,.667,6.6,23.1,14.8,4.1,1.6,5.2,0.0,21.7,139,89,18.7,8.9
21,2018-12-01,27-352,MIN,HOME,BOS,L (-9),1,38:18,.604,.455,3.0,30.5,15.9,0.0,5.0,0.0,12.4,18.0,113,108,14.7,3.8
22,2018-12-03,27-354,MIN,HOME,HOU,W (+12),1,38:48,.742,.714,0.0,20.6,9.8,12.0,2.7,7.1,25.5,13.4,116,96,13.6,7.0
23,2018-12-05,27-356,MIN,HOME,CHO,W (+17),1,33:14,.790,.722,0.0,16.4,9.6,3.7,2.9,2.2,15.7,16.3,132,102,14.7,2.8
24,2018-12-10,27-361,MIN,AWAY,GSW,L (-8),1,25:39,.444,.357,0.0,15.9,8.2,0.0,1.9,3.7,27.6,18.1,63,112,1.6,-8.4
25,2018-12-12,27-363,MIN,AWAY,SAC,L (-11),1,31:22,.559,.500,11.2,12.8,11.9,0.0,0.0,0.0,6.2,21.4,120,144,10.3,-7.6
26,2018-12-15,28-001,MIN,AWAY,PHO,L (-8),1,25:28,.225,.188,3.7,9.2,6.1,5.1,3.8,3.0,10.1,16.1,54,104,0.5,-9.3
27,2018-12-17,28-003,MIN,HOME,SAC,W (+27),1,35:38,.630,.556,0.0,12.7,7.0,6.3,2.5,2.6,8.8,12.7,121,97,11.3,-0.7
28,2018-12-19,28-005,MIN,HOME,DET,L (-6),1,37:12,.640,.633,0.0,18.6,9.2,8.1,1.3,3.1,5.5,21.1,125,118,15.4,4.5
29,2018-12-21,28-007,MIN,AWAY,SAS,L (-26),1,30:40,.658,.667,6.5,19.1,12.3,6.2,9.6,2.9,9.2,15.7,122,107,16.0,9.7
30,2018-12-23,28-009,MIN,AWAY,OKC,W (+2),1,28:48,.697,.688,0.0,19.4,9.8,14.6,3.3,0.0,0.0,14.1,144,108,13.0,7.3
31,2018-12-26,28-012,MIN,AWAY,CHI,W (+25),1,36:53,.288,.269,8.7,15.0,12.1,9.3,0.0,1.8,6.7,17.2,83,97,3.8,-7.3
32,2018-12-28,28-014,MIN,HOME,ATL,L (-3),1,44:44,.631,.625,8.3,7.4,7.9,14.7,1.1,5.5,11.9,23.2,120,115,21.4,4.6
33,2018-12-30,28-016,MIN,AWAY,MIA,W (+9),1,35:53,.662,.500,2.6,8.2,5.3,0.0,1.3,4.1,0.0,13.5,151,108,13.3,0.8
34,2018-12-31,28-017,MIN,AWAY,NOP,L (-9),1,38:06,.595,.615,2.8,3.3,3.0,10.7,5.2,2.0,13.0,17.7,108,124,13.1,0.1
