,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-11-02,22-176,MIN,AWAY,GSW,L (-17),1,40:30,.364,.364,4.2,8.3,5.9,31.0,2.4,0.0,0.0,11.6,107,116,11.3,-0.9
1,2018-11-04,22-178,MIN,AWAY,POR,L (-30),1,26:44,.222,.222,0.0,4.3,1.7,28.3,1.9,0.0,10.0,15.9,57,121,0.8,-11.7
2,2018-12-23,22-227,MIN,AWAY,OKC,W (+2),1,31:30,.500,.500,3.6,14.2,9.0,16.1,1.5,2.3,16.7,8.3,113,111,6.9,-1.8
3,2018-12-30,22-234,MIN,AWAY,MIA,W (+9),1,36:27,.466,.417,2.5,8.1,5.2,21.0,6.6,0.0,7.2,15.3,110,99,14.7,3.3
4,2018-12-31,22-235,MIN,AWAY,NOP,L (-9),1,38:18,.631,.591,2.8,3.3,3.0,45.9,1.3,0.0,0.0,13.5,158,134,20.8,3.2
5,2019-01-02,22-237,MIN,AWAY,BOS,L (-13),1,40:04,.500,.500,0.0,4.1,1.8,34.1,5.0,0.0,22.2,20.1,95,114,12.8,-1.0
6,2019-02-25,22-291,MIN,HOME,SAC,W (+7),1,31:22,.680,.650,0.0,2.7,1.6,37.3,4.2,2.2,14.5,17.9,132,95,16.6,8.2
7,2019-02-27,22-293,MIN,AWAY,ATL,L (-8),1,37:20,.350,.350,0.0,5.1,2.5,39.3,2.5,0.0,16.7,13.9,92,120,7.9,-6.6
8,2019-03-12,22-306,MIN,AWAY,DEN,L (-26),1,26:37,.800,.800,4.4,6.0,5.1,19.1,3.8,0.0,9.1,18.2,150,139,15.5,6.2
9,2019-03-14,22-308,MIN,AWAY,UTA,L (-20),1,28:44,.667,.667,0.0,11.7,5.8,47.0,1.7,0.0,0.0,13.8,151,124,15.1,5.6
10,2019-03-17,22-311,MIN,AWAY,HOU,L (-15),1,29:21,.000,.000,0.0,13.9,6.8,21.5,0.0,0.0,0.0,9.7,44,125,-0.3,-13.9
11,2019-03-19,22-313,MIN,HOME,GSW,L (-10),1,33:26,.317,.214,5.6,6.1,5.9,31.7,1.4,0.0,11.3,22.0,85,118,7.3,-6.8
12,2019-03-21,22-315,MIN,AWAY,CHO,L (-7),1,34:14,.453,.433,0.0,5.1,2.7,32.1,2.7,0.0,6.1,20.3,103,111,11.2,-2.1
13,2019-03-23,22-317,MIN,AWAY,MEM,W (+13),1,34:58,.644,.563,6.9,2.5,4.3,35.8,1.4,0.0,9.7,12.7,154,111,15.6,4.0
14,2019-03-26,22-320,MIN,HOME,LAC,L (-11),1,30:07,.689,.722,2.7,4.4,3.4,38.6,0.0,0.0,17.5,15.4,128,122,12.5,1.4
15,2019-03-29,22-323,MIN,HOME,GSW,W (+1),1,26:57,.644,.563,0.0,0.0,0.0,21.2,1.7,0.0,24.4,18.1,110,116,8.4,-1.7
16,2019-03-30,22-324,MIN,HOME,PHI,L (-9),1,22:25,.455,.389,0.0,4.6,2.4,39.4,0.0,0.0,0.0,20.0,112,129,8.4,-2.9
17,2019-04-01,22-326,MIN,HOME,POR,L (-10),1,33:16,.583,.583,3.2,6.9,5.0,39.1,4.3,0.0,14.3,17.8,125,129,17.3,3.1
18,2019-04-03,22-328,MIN,AWAY,DAL,W (+2),1,33:55,.833,.833,0.0,3.1,1.6,25.3,1.4,0.0,0.0,12.4,168,114,15.8,6.3
19,2019-04-05,22-330,MIN,HOME,MIA,W (+2),1,30:55,.545,.545,0.0,21.7,11.5,18.4,3.1,0.0,0.0,15.1,124,105,12.9,1.5
20,2019-04-07,22-332,MIN,HOME,OKC,L (-6),1,35:06,.512,.375,0.0,17.1,8.8,42.4,0.0,0.0,0.0,12.1,146,135,15.8,-0.5
21,2019-04-09,22-334,MIN,HOME,TOR,L (-20),1,28:26,.611,.611,0.0,4.6,1.9,57.1,1.6,0.0,10.0,15.5,132,121,14.0,1.7
22,2019-04-10,22-335,MIN,AWAY,DEN,L (-4),1,34:16,.333,.333,0.0,3.0,1.5,33.6,0.0,0.0,0.0,16.2,96,113,5.5,-6.8
