,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-26,24-173,NYK,HOME,GSW,L (-28),1,29:33,.500,.500,7.4,23.2,14.4,0.0,1.6,0.0,7.7,18.5,102,127,8.1,-2.2
1,2018-10-29,24-176,NYK,HOME,BRK,W (+19),1,28:00,.479,.450,4.6,14.3,10.1,0.0,0.0,0.0,16.1,18.9,97,110,3.7,-8.8
2,2018-10-31,24-178,NYK,HOME,IND,L (-6),1,31:57,.568,.545,0.0,12.5,5.9,5.7,1.6,0.0,0.0,16.1,120,115,9.9,0.8
3,2018-11-02,24-180,NYK,AWAY,DAL,W (+12),1,36:21,.396,.423,3.4,22.5,13.2,3.4,1.4,0.0,6.7,18.3,84,112,6.2,-9.5
4,2018-11-04,24-182,NYK,AWAY,WAS,L (-13),1,30:32,.481,.455,3.3,15.4,9.6,10.1,0.0,0.0,14.9,17.9,95,113,6.1,-5.1
5,2018-11-05,24-183,NYK,HOME,CHI,L (-1),1,41:24,.605,.571,2.4,10.8,6.4,9.0,0.0,0.0,0.0,15.4,141,108,13.1,0.8
6,2018-11-07,24-185,NYK,AWAY,ATL,W (+5),1,17:51,1.500,1.500,0.0,15.5,8.7,17.2,0.0,0.0,0.0,2.4,272,109,3.4,0.1
7,2018-11-10,24-188,NYK,AWAY,TOR,L (-16),1,23:15,.367,.367,4.1,14.4,8.9,6.1,2.1,0.0,0.0,25.9,91,130,5.0,-8.8
8,2018-11-11,24-189,NYK,HOME,ORL,L (-26),1,20:48,.625,.625,0.0,4.5,2.2,0.0,0.0,0.0,33.3,11.5,78,121,1.3,-9.0
9,2019-01-13,24-252,NYK,HOME,PHI,L (-3),1,36:22,.633,.600,0.0,13.5,5.9,19.2,0.0,0.0,13.7,8.8,123,113,7.4,-3.2
10,2019-02-01,24-271,NYK,HOME,BOS,L (-14),1,37:40,.688,.688,0.0,15.0,8.4,0.0,0.0,0.0,11.1,21.2,115,117,13.0,0.7
11,2019-02-03,24-273,NYK,HOME,MEM,L (-12),1,19:33,.357,.357,0.0,15.0,7.8,21.3,0.0,0.0,12.5,19.9,71,108,1.8,-8.1
12,2019-02-08,24-278,NYK,AWAY,DET,L (-17),1,23:56,.563,.563,0.0,10.0,4.7,14.9,0.0,0.0,10.1,18.2,105,129,5.4,-5.9
13,2019-02-09,24-279,NYK,HOME,TOR,L (-5),1,19:24,.222,.222,0.0,9.5,4.8,14.5,2.5,0.0,18.2,23.4,50,107,-1.3,-13.8
14,2019-02-11,24-281,NYK,AWAY,CLE,L (-3),1,22:20,.515,.417,4.4,16.2,10.5,5.7,2.1,0.0,0.0,15.1,119,106,7.0,-2.6
15,2019-02-14,24-284,NYK,AWAY,ATL,W (+15),1,21:10,.509,.409,0.0,22.2,12.2,7.8,2.3,4.3,13.6,30.6,97,90,8.0,-0.8
16,2019-02-22,24-292,NYK,HOME,MIN,L (-11),1,33:50,.608,.594,3.3,6.2,4.8,15.7,0.0,2.3,10.8,22.4,116,115,13.3,3.1
17,2019-02-24,24-294,NYK,HOME,SAS,W (+12),1,36:36,.755,.765,0.0,12.9,6.6,6.9,1.3,0.0,0.0,20.9,153,120,21.0,8.4
18,2019-02-26,24-296,NYK,HOME,ORL,W (+5),1,16:52,.403,.357,0.0,11.6,5.8,8.8,2.9,0.0,0.0,18.7,98,106,4.2,-2.8
19,2019-02-28,24-298,NYK,HOME,CLE,L (-7),1,29:24,.414,.400,0.0,14.4,6.1,24.8,3.4,0.0,0.0,15.7,114,126,9.1,-1.8
20,2019-03-03,24-301,NYK,AWAY,LAC,L (-21),1,28:48,.539,.500,3.1,14.5,8.4,0.0,1.5,0.0,0.0,22.7,109,122,11.3,-1.5
21,2019-03-04,24-302,NYK,AWAY,SAC,L (-7),1,30:25,.506,.450,0.0,14.3,6.9,14.5,0.0,0.0,15.5,17.8,98,117,6.1,-5.9
22,2019-03-06,24-304,NYK,AWAY,PHO,L (-11),1,33:34,.603,.583,4.1,27.2,16.7,27.1,0.0,0.0,7.4,17.6,127,113,13.0,3.3
23,2019-03-09,24-307,NYK,HOME,SAC,L (-8),1,33:18,.194,.167,0.0,15.4,7.8,13.5,0.0,0.0,0.0,16.5,56,108,0.9,-9.6
24,2019-03-10,24-308,NYK,AWAY,MIN,L (-11),1,40:37,.654,.632,5.8,11.3,8.5,28.2,2.4,0.0,13.1,24.8,124,107,21.7,8.4
25,2019-03-12,24-310,NYK,AWAY,IND,L (-5),1,36:22,.533,.500,0.0,16.5,8.8,14.6,1.4,0.0,15.1,24.5,95,106,9.9,-1.4
26,2019-03-15,24-313,NYK,AWAY,SAS,L (-26),1,35:07,.553,.553,0.0,7.2,3.2,12.0,2.9,0.0,0.0,24.5,111,114,14.9,5.3
27,2019-03-17,24-315,NYK,HOME,LAL,W (+1),1,41:20,.599,.575,0.0,13.9,8.7,3.6,0.0,0.0,8.7,23.8,118,124,14.7,-5.2
28,2019-03-18,24-316,NYK,AWAY,TOR,L (-36),1,17:52,.688,.688,0.0,0.0,0.0,0.0,5.2,0.0,20.0,24.0,92,118,6.6,3.7
29,2019-03-20,24-318,NYK,HOME,UTA,L (-21),1,37:06,.691,.692,0.0,3.3,1.6,10.8,1.3,3.0,11.6,20.4,125,140,14.0,-1.2
30,2019-03-22,24-320,NYK,HOME,DEN,L (-18),1,36:05,.318,.278,0.0,7.4,3.7,8.5,1.4,0.0,9.6,13.1,66,120,2.4,-9.0
31,2019-03-24,24-322,NYK,HOME,LAC,L (-11),1,44:22,.507,.469,2.5,5.0,3.8,6.5,0.0,0.0,5.3,18.3,111,139,10.1,-7.8
32,2019-03-28,24-326,NYK,HOME,TOR,L (-25),1,29:24,.455,.389,0.0,17.7,8.3,0.0,0.0,0.0,9.2,15.4,89,122,3.2,-8.2
