,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-17,30-176,NYK,HOME,ATL,W (+19),1,15:30,.750,.750,0.0,0.0,0.0,0.0,0.0,5.7,33.3,7.3,90,100,0.1,-7.2
1,2018-10-19,30-178,NYK,AWAY,BRK,L (-2),1,21:05,.000,.000,4.1,6.3,5.0,11.7,2.4,0.0,0.0,8.4,44,116,-0.2,-10.1
2,2018-10-20,30-179,NYK,HOME,BOS,L (-2),1,17:07,.521,.375,6.0,18.3,12.1,0.0,0.0,4.9,34.2,21.4,75,104,2.1,-6.7
3,2018-10-22,30-181,NYK,AWAY,MIL,L (-11),1,18:10,.515,.333,5.6,15.5,10.8,0.0,0.0,0.0,0.0,8.8,125,125,3.5,-5.3
4,2018-10-24,30-183,NYK,AWAY,MIA,L (-23),1,19:50,.500,.500,0.0,37.2,15.1,0.0,4.9,0.0,0.0,13.3,96,101,5.2,1.1
5,2019-01-13,30-264,NYK,HOME,PHI,L (-3),1,19:13,.500,.500,0.0,19.2,8.3,7.8,0.0,3.7,20.0,11.4,81,109,2.5,-6.2
6,2019-01-23,30-274,NYK,HOME,HOU,L (-4),1,14:26,.532,.000,8.5,12.5,10.8,0.0,0.0,0.0,34.7,8.5,92,118,1.6,-5.7
7,2019-01-25,30-276,NYK,AWAY,BRK,L (-10),1,25:37,1.000,1.000,3.9,8.3,6.0,0.0,3.8,7.3,0.0,5.3,202,108,8.6,2.8
8,2019-01-27,30-278,NYK,HOME,MIA,L (-9),1,18:08,.694,.500,0.0,13.6,6.2,0.0,2.7,0.0,0.0,7.2,146,112,3.8,-3.9
9,2019-01-28,30-279,NYK,AWAY,CHO,L (-9),1,22:23,.370,.200,0.0,8.4,4.4,6.7,2.3,0.0,0.0,13.9,86,109,3.4,-6.0
10,2019-01-30,30-281,NYK,HOME,DAL,L (-24),1,16:03,.500,.500,0.0,8.3,3.6,0.0,0.0,0.0,16.7,17.5,77,125,1.6,-8.6
11,2019-02-24,30-306,NYK,HOME,SAS,W (+12),1,30:22,.615,.615,13.2,9.3,11.2,4.1,0.0,0.0,0.0,18.3,141,125,12.1,-1.8
12,2019-02-26,30-308,NYK,HOME,ORL,W (+5),1,14:57,.387,.333,6.6,6.6,6.6,0.0,0.0,0.0,20.5,13.9,76,113,-0.3,-14.5
13,2019-02-28,30-310,NYK,HOME,CLE,L (-7),1,18:35,.500,.500,5.6,7.6,6.5,7.2,0.0,0.0,0.0,22.8,116,135,5.9,-4.3
14,2019-03-03,30-313,NYK,AWAY,LAC,L (-21),1,7:41,.000,.000,0.0,0.0,0.0,71.4,0.0,0.0,0.0,16.2,62,128,0.7,-4.3
15,2019-03-09,30-319,NYK,HOME,SAC,L (-8),1,25:07,.556,.556,3.5,20.5,12.1,0.0,0.0,0.0,0.0,15.3,118,106,6.2,-0.9
16,2019-04-05,30-346,NYK,AWAY,HOU,L (-24),1,19:06,.460,.450,0.0,18.3,10.0,0.0,0.0,0.0,0.0,25.1,88,118,5.4,-5.2
