,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-16,25-031,OKC,AWAY,GSW,L (-8),1,34:05,.485,.421,4.9,18.4,10.9,36.5,4.1,2.0,12.2,28.6,102,100,16.6,6.5
1,2018-10-19,25-034,OKC,AWAY,LAC,L (-16),1,30:01,.239,.133,0.0,6.8,3.2,41.5,0.0,0.0,15.2,27.0,64,115,-0.1,-11.4
2,2018-11-07,25-053,OKC,AWAY,CLE,W (+9),1,34:01,.622,.579,0.0,20.2,10.4,0.0,1.4,2.4,8.2,32.2,115,89,19.3,5.6
3,2018-11-08,25-054,OKC,HOME,HOU,W (+18),1,33:43,.543,.500,3.6,14.0,9.4,25.9,1.6,0.0,31.8,25.5,88,93,8.3,-3.4
4,2018-11-10,25-056,OKC,AWAY,DAL,L (-15),1,31:38,.426,.405,7.6,14.7,10.0,17.6,3.2,0.0,15.2,33.0,92,116,10.2,-0.9
5,2018-11-12,25-058,OKC,HOME,PHO,W (+17),1,35:38,.462,.368,0.0,16.8,8.5,34.7,5.6,0.0,4.4,26.8,119,100,19.1,4.9
6,2018-11-14,25-060,OKC,HOME,NYK,W (+25),1,29:54,.689,.650,0.0,14.9,7.7,44.8,1.6,2.6,21.6,19.2,140,102,17.5,7.9
7,2018-11-17,25-063,OKC,AWAY,PHO,W (+10),1,35:57,.472,.433,3.3,12.7,8.0,31.2,5.4,0.0,23.9,23.8,93,96,11.9,0.8
8,2018-11-23,25-069,OKC,HOME,CHO,W (+5),1,31:46,.592,.579,3.3,13.1,8.2,5.5,0.0,0.0,13.4,28.8,102,107,12.5,1.2
9,2018-12-28,25-104,OKC,AWAY,PHO,W (+16),1,39:01,.530,.500,3.2,8.2,5.9,17.9,2.4,0.0,13.7,23.1,110,101,15.0,-0.3
10,2019-03-02,25-168,OKC,AWAY,SAS,L (-14),1,31:22,.486,.433,3.1,13.6,8.1,14.9,1.5,0.0,13.9,29.5,94,117,9.5,-3.9
11,2019-03-03,25-169,OKC,HOME,MEM,W (+4),1,40:30,.358,.295,4.2,29.6,14.7,27.5,2.3,2.1,11.2,26.1,84,91,11.9,-0.6
12,2019-03-18,25-184,OKC,HOME,MIA,L (-9),1,36:20,.536,.500,0.0,8.8,4.3,27.6,0.0,0.0,21.2,26.5,96,120,10.5,-4.5
13,2019-04-10,25-207,OKC,AWAY,MIL,W (+11),1,39:51,.703,.667,0.0,11.0,5.7,10.1,4.4,0.0,8.1,25.6,122,102,24.9,5.9
