,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-16,28-167,OKC,AWAY,GSW,L (-8),1,37:24,.509,.478,0.0,5.6,2.5,29.9,5.0,0.0,15.9,33.4,93,104,15.2,5.3
1,2018-10-19,28-170,OKC,AWAY,LAC,L (-16),1,38:07,.353,.315,2.4,18.8,10.1,20.0,2.6,0.0,9.6,33.7,78,106,6.1,-2.6
2,2018-10-21,28-172,OKC,HOME,SAC,L (-11),1,32:38,.703,.639,0.0,19.6,9.1,9.4,4.0,0.0,16.2,26.8,124,116,20.6,6.9
3,2018-10-25,28-176,OKC,HOME,BOS,L (-6),1,35:56,.431,.364,5.2,15.7,10.5,4.8,1.3,0.0,10.5,31.5,90,102,8.5,-1.4
4,2018-10-28,28-179,OKC,HOME,PHO,W (+7),1,30:21,.724,.733,0.0,14.4,7.3,27.5,4.5,5.4,11.2,24.5,132,98,21.6,14.0
5,2018-10-30,28-181,OKC,HOME,LAC,W (+18),1,34:05,.662,.583,3.4,40.8,21.4,15.9,0.0,5.2,14.2,32.2,124,102,24.8,8.2
6,2018-11-01,28-183,OKC,AWAY,CHO,W (+4),1,39:20,.253,.200,2.3,23.9,12.2,10.1,4.7,7.0,8.4,24.4,62,94,7.4,-4.8
7,2018-11-02,28-184,OKC,AWAY,WAS,W (+23),1,29:26,.683,.667,0.0,17.6,9.6,29.1,3.2,0.0,19.4,22.8,123,109,16.1,4.9
8,2018-11-05,28-187,OKC,HOME,NOP,W (+6),1,37:12,.573,.471,6.0,12.0,9.0,27.7,4.9,0.0,4.7,22.9,130,107,24.3,11.2
9,2018-11-07,28-189,OKC,AWAY,CLE,W (+9),1,38:33,.507,.469,2.7,15.2,9.2,9.5,2.5,0.0,14.5,24.1,94,90,10.9,-1.9
10,2018-11-08,28-190,OKC,HOME,HOU,W (+18),1,35:17,.431,.405,3.4,26.7,16.4,30.8,9.2,0.0,4.1,31.2,107,70,19.8,15.5
11,2018-11-10,28-192,OKC,AWAY,DAL,L (-15),1,38:16,.457,.452,10.5,32.4,17.9,26.9,2.7,0.0,18.6,27.9,99,116,14.0,2.6
12,2018-11-12,28-194,OKC,HOME,PHO,W (+17),1,35:39,.771,.737,3.5,23.6,13.6,28.7,0.0,0.0,16.2,29.3,138,110,24.9,10.2
13,2018-11-14,28-196,OKC,HOME,NYK,W (+25),1,28:37,.737,.705,4.2,23.4,14.1,28.7,3.3,2.7,0.0,34.3,162,96,32.3,20.9
14,2018-11-17,28-199,OKC,AWAY,PHO,W (+10),1,39:59,.596,.477,2.9,28.6,15.9,8.8,3.6,6.8,15.7,32.6,114,92,24.6,8.7
15,2018-11-19,28-201,OKC,AWAY,SAC,L (-4),1,36:45,.515,.458,2.3,19.3,10.5,11.8,0.0,2.0,10.3,29.8,101,108,15.1,1.4
16,2018-11-21,28-203,OKC,AWAY,GSW,W (+28),1,35:08,.514,.522,5.2,19.1,11.9,18.3,2.7,0.0,11.0,30.4,107,92,16.1,3.6
17,2018-11-23,28-205,OKC,HOME,CHO,W (+5),1,37:21,.452,.452,8.4,11.2,9.8,25.1,2.5,2.0,12.5,26.2,97,100,14.3,4.5
18,2018-11-24,28-206,OKC,HOME,DEN,L (-7),1,39:56,.498,.452,8.3,16.8,12.2,13.2,2.4,5.5,4.0,24.5,114,101,19.8,9.7
19,2018-11-28,28-210,OKC,HOME,CLE,W (+17),1,24:48,.670,.654,8.8,7.9,8.3,30.3,0.0,5.9,27.1,33.8,101,88,11.3,3.5
20,2018-11-30,28-212,OKC,HOME,ATL,W (+15),1,28:32,.617,.536,0.0,15.9,9.6,14.1,3.1,0.0,15.6,28.2,111,100,13.6,-1.2
21,2018-12-03,28-215,OKC,AWAY,DET,W (+27),1,30:46,.461,.444,0.0,28.4,16.8,19.5,3.0,0.0,0.0,26.0,102,76,15.0,5.9
22,2018-12-05,28-217,OKC,AWAY,BRK,W (+2),1,37:11,.709,.667,7.4,29.2,18.4,21.8,0.0,2.6,5.7,36.8,143,109,39.3,21.8
23,2018-12-07,28-219,OKC,AWAY,CHI,L (-2),1,36:28,.510,.438,0.0,15.7,7.3,26.2,4.9,0.0,13.9,22.5,107,102,16.8,5.0
24,2018-12-10,28-222,OKC,HOME,UTA,W (+9),1,30:12,1.014,1.050,0.0,11.4,5.4,15.7,6.0,0.0,11.6,23.0,175,101,30.2,24.7
25,2018-12-12,28-224,OKC,AWAY,NOP,L (-4),1,37:13,.666,.618,5.4,24.7,14.9,21.2,2.4,1.6,17.6,25.1,119,106,21.4,6.7
26,2018-12-14,28-226,OKC,AWAY,DEN,L (-11),1,39:50,.601,.563,6.6,6.7,6.6,10.7,1.3,0.0,10.1,30.9,122,120,20.9,8.1
27,2018-12-15,28-227,OKC,HOME,LAC,W (+6),1,36:35,.733,.711,2.8,21.3,10.9,28.6,1.3,2.6,0.0,26.5,152,104,30.1,16.6
28,2018-12-17,28-229,OKC,HOME,CHI,W (+25),1,30:56,.578,.526,6.9,20.7,13.8,20.3,4.6,0.0,12.6,30.1,120,89,19.5,9.8
29,2018-12-19,28-231,OKC,AWAY,SAC,W (+19),1,38:27,.685,.630,4.9,21.5,13.7,27.1,0.0,0.0,13.7,34.7,132,106,32.8,10.7
30,2018-12-22,28-234,OKC,AWAY,UTA,W (+1),1,40:08,.731,.700,2.8,29.3,17.6,29.8,5.7,2.0,9.3,33.5,139,91,41.8,26.4
31,2018-12-23,28-235,OKC,HOME,MIN,L (-2),1,38:35,.582,.521,2.9,32.6,17.6,12.7,1.2,0.0,10.1,32.7,113,112,21.5,4.0
32,2018-12-25,28-237,OKC,AWAY,HOU,L (-4),1,37:40,.523,.480,11.6,22.5,16.8,8.4,3.7,0.0,13.0,32.1,106,104,19.5,3.4
33,2018-12-30,28-242,OKC,AWAY,DAL,L (-2),1,36:32,.615,.563,8.4,6.4,7.5,0.0,2.5,0.0,9.3,37.5,115,106,22.9,7.8
34,2018-12-31,28-243,OKC,HOME,DAL,W (+20),1,32:45,.457,.381,5.3,7.3,6.2,4.1,5.3,0.0,0.0,27.5,103,88,14.4,4.3
35,2019-01-02,28-245,OKC,AWAY,LAL,W (+7),1,34:21,.577,.552,4.4,5.1,4.7,14.7,5.1,0.0,3.0,35.7,118,87,27.1,17.2
36,2019-01-04,28-247,OKC,AWAY,POR,W (+2),1,36:44,.634,.543,0.0,21.3,10.6,9.7,1.3,0.0,9.3,36.4,121,108,25.5,10.5
37,2019-01-06,28-249,OKC,HOME,WAS,L (-18),1,35:39,.506,.472,2.9,8.1,5.6,23.6,2.7,0.0,9.2,26.5,101,117,14.1,2.4
38,2019-01-08,28-251,OKC,HOME,MIN,L (-2),1,37:41,.499,.479,10.3,15.9,13.5,4.0,0.0,0.0,6.9,32.9,105,122,13.2,-4.3
39,2019-01-10,28-253,OKC,AWAY,SAS,L (-7),1,46:32,.534,.500,2.4,21.8,10.8,2.8,3.1,0.0,6.6,27.3,107,124,20.6,-1.1
40,2019-01-12,28-255,OKC,HOME,SAS,W (+10),1,34:18,.458,.353,0.0,29.0,15.5,15.5,2.7,0.0,9.2,26.9,93,103,13.8,-2.9
41,2019-01-15,28-258,OKC,AWAY,ATL,L (-16),1,36:51,.569,.472,8.0,18.6,12.4,11.1,6.2,0.0,12.5,25.3,118,128,20.7,3.4
42,2019-01-17,28-260,OKC,HOME,LAL,L (-10),1,43:31,.624,.605,3.8,14.2,8.0,32.4,3.2,0.0,12.2,22.3,122,117,24.2,6.4
43,2019-01-19,28-262,OKC,AWAY,PHI,W (+2),1,40:23,.624,.500,0.0,15.5,7.8,18.9,3.5,0.0,3.9,26.8,135,112,26.7,10.5
44,2019-01-21,28-264,OKC,AWAY,NYK,W (+18),1,30:40,.706,.611,0.0,12.5,7.4,20.3,1.6,0.0,0.0,30.5,158,109,25.4,11.3
45,2019-01-22,28-265,OKC,HOME,POR,W (+9),1,37:55,.652,.548,6.2,15.8,11.4,16.7,6.4,2.1,9.8,35.4,128,106,32.4,12.3
46,2019-01-24,28-267,OKC,HOME,NOP,W (+6),1,37:41,.582,.611,8.0,20.0,14.2,22.4,1.2,2.0,9.2,22.7,122,107,20.7,6.8
47,2019-01-27,28-270,OKC,HOME,MIL,W (+6),1,37:39,.761,.762,5.0,28.0,16.4,13.3,3.6,0.0,17.5,31.5,120,100,28.9,14.0
48,2019-01-29,28-272,OKC,AWAY,ORL,W (+9),1,39:07,.662,.625,6.0,8.9,7.7,15.4,3.6,0.0,0.0,31.4,140,114,32.2,10.8
49,2019-02-01,28-275,OKC,AWAY,MIA,W (+16),1,35:27,.839,.826,0.0,19.7,9.8,27.0,2.7,0.0,7.2,32.7,158,99,36.9,26.3
50,2019-02-03,28-277,OKC,AWAY,BOS,L (-5),1,39:17,.573,.500,0.0,13.6,6.1,15.5,1.2,2.1,5.8,35.5,119,130,24.6,2.4
51,2019-02-05,28-279,OKC,HOME,ORL,W (+10),1,36:05,.590,.462,3.3,19.0,12.0,11.7,3.5,0.0,13.1,40.4,111,104,24.9,4.6
52,2019-02-07,28-281,OKC,HOME,MEM,W (+22),1,31:53,.708,.625,0.0,18.4,8.5,18.6,6.0,0.0,17.3,31.4,120,89,22.1,11.5
53,2019-02-09,28-283,OKC,AWAY,HOU,W (+5),1,41:16,.752,.682,5.3,21.8,13.9,13.4,1.1,0.0,6.3,30.6,152,109,36.4,16.7
54,2019-02-11,28-285,OKC,HOME,POR,W (+9),1,43:01,.762,.731,2.6,25.6,14.7,46.0,2.2,0.0,6.1,33.1,152,106,43.4,21.4
55,2019-02-14,28-288,OKC,AWAY,NOP,L (-9),1,40:56,.462,.431,0.0,18.7,8.3,19.0,1.1,1.8,9.0,31.3,99,126,15.9,-2.6
56,2019-02-22,28-296,OKC,HOME,UTA,W (+1),1,50:26,.669,.629,2.0,19.6,10.0,22.7,0.9,0.0,0.0,27.6,143,122,37.9,10.6
57,2019-02-23,28-297,OKC,HOME,SAC,L (-3),1,38:29,.337,.263,2.2,29.9,15.3,17.8,0.0,0.0,12.6,22.6,79,108,6.7,-5.3
58,2019-02-26,28-300,OKC,AWAY,DEN,L (-9),1,40:01,.454,.354,2.4,19.5,10.3,24.3,6.7,0.0,9.8,29.8,101,103,20.5,6.6
59,2019-03-05,28-307,OKC,AWAY,MIN,L (-11),1,38:09,.445,.400,2.2,12.6,6.5,7.9,1.2,0.0,3.4,30.6,99,130,12.4,-4.5
60,2019-03-07,28-309,OKC,AWAY,POR,W (+8),1,43:11,.503,.326,4.6,26.3,15.8,18.7,3.3,0.0,8.6,31.9,114,100,25.9,8.9
61,2019-03-08,28-310,OKC,AWAY,LAC,L (-8),1,27:33,.422,.406,3.1,18.1,10.0,5.4,0.0,0.0,22.0,31.9,71,114,0.5,-11.8
62,2019-03-11,28-313,OKC,AWAY,UTA,W (+9),1,34:58,.527,.250,0.0,28.5,15.7,16.5,4.2,3.1,27.4,23.5,88,80,11.6,2.2
63,2019-03-13,28-315,OKC,HOME,BRK,W (+12),1,36:55,.633,.583,5.0,21.7,12.4,13.3,2.7,5.3,9.2,24.5,128,94,22.2,11.5
64,2019-03-14,28-316,OKC,AWAY,IND,L (-2),1,35:46,.636,.565,0.0,19.2,9.7,27.3,2.6,0.0,15.0,39.9,113,105,24.2,10.1
65,2019-03-16,28-318,OKC,HOME,GSW,L (-22),1,37:46,.486,.440,4.1,32.5,15.7,13.0,1.3,0.0,6.3,33.1,101,107,17.8,8.7
66,2019-03-18,28-320,OKC,HOME,MIA,L (-9),1,38:32,.706,.611,2.6,22.1,12.1,23.2,2.5,3.7,18.5,28.5,124,109,26.6,12.0
67,2019-03-20,28-322,OKC,HOME,TOR,L (-9),1,34:50,.556,.536,0.0,20.0,7.6,27.0,1.4,0.0,14.9,23.0,107,112,11.7,3.6
68,2019-03-22,28-324,OKC,AWAY,TOR,W (+7),1,40:41,.729,.676,5.0,12.4,8.3,18.8,2.4,2.2,9.4,22.3,142,113,25.3,10.3
69,2019-03-25,28-327,OKC,AWAY,MEM,L (-12),1,38:34,.474,.431,4.4,29.6,15.2,14.6,1.3,0.0,5.9,36.8,100,115,17.6,3.5
70,2019-03-27,28-329,OKC,HOME,IND,W (+8),1,39:25,.589,.560,0.0,11.3,5.5,4.6,1.3,0.0,7.1,32.4,106,107,18.4,1.4
71,2019-03-29,28-331,OKC,HOME,DEN,L (-10),1,40:07,.517,.500,2.8,30.9,14.6,15.4,0.0,0.0,14.2,31.2,99,127,14.3,-1.8
72,2019-03-31,28-333,OKC,HOME,DAL,L (-3),1,38:38,.585,.525,8.7,19.8,13.5,8.9,2.5,2.9,11.5,28.0,115,105,21.4,10.1
73,2019-04-02,28-335,OKC,HOME,LAL,W (+16),1,37:45,.559,.559,2.4,17.2,8.6,17.3,6.2,2.8,10.5,19.7,114,93,19.3,6.4
74,2019-04-05,28-338,OKC,HOME,DET,W (+13),1,36:12,.582,.542,5.4,18.9,11.7,15.9,2.6,0.0,13.4,30.9,119,107,21.2,6.7
75,2019-04-07,28-340,OKC,AWAY,MIN,W (+6),1,37:52,.538,.455,3.2,20.0,11.4,20.1,3.8,0.0,0.0,27.3,138,120,22.5,5.0
76,2019-04-09,28-342,OKC,HOME,HOU,W (+1),1,42:01,.488,.440,2.2,19.4,10.5,11.5,4.8,0.0,6.7,29.0,110,107,18.3,5.3
