,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-21,29-343,OKC,HOME,SAC,L (-11),1,35:09,.575,.587,5.3,30.3,16.9,38.7,0.0,0.0,15.2,33.2,111,123,22.9,5.0
1,2018-10-25,29-347,OKC,HOME,BOS,L (-6),1,32:22,.293,.250,2.9,40.7,21.8,40.1,0.0,0.0,18.4,33.3,69,97,3.7,-7.2
2,2018-10-28,29-350,OKC,HOME,PHO,W (+7),1,30:52,.661,.615,3.6,28.3,16.1,35.6,5.9,0.0,25.6,31.5,109,95,20.7,5.9
3,2018-10-30,29-352,OKC,HOME,LAC,W (+18),1,33:30,.570,.540,7.0,7.5,7.3,39.0,3.9,2.7,9.7,36.2,119,99,25.6,10.5
4,2018-11-01,29-354,OKC,AWAY,CHO,W (+4),1,37:08,.535,.500,2.4,19.7,10.3,50.7,3.7,0.0,10.0,32.7,113,101,24.8,9.1
5,2018-11-02,29-355,OKC,AWAY,WAS,W (+23),1,26:00,.648,.625,0.0,15.0,8.1,72.5,7.2,0.0,5.3,31.4,148,100,27.3,17.8
6,2018-11-05,29-358,OKC,HOME,NOP,W (+6),1,25:11,.435,.375,0.0,31.0,15.5,51.1,1.8,0.0,23.5,41.0,85,109,9.2,-6.5
7,2018-11-19,30-007,OKC,AWAY,SAC,L (-4),1,36:34,.560,.560,4.5,26.7,15.2,31.4,3.6,0.0,13.4,30.6,108,98,22.5,9.5
8,2018-11-21,30-009,OKC,AWAY,GSW,W (+28),1,32:53,.346,.367,0.0,32.1,15.6,43.4,2.9,2.7,20.1,23.7,91,87,11.2,1.4
9,2018-11-23,30-011,OKC,HOME,CHO,W (+5),1,34:42,.657,.583,0.0,36.1,18.0,40.7,2.7,0.0,14.9,31.6,123,95,26.6,13.2
10,2018-11-24,30-012,OKC,HOME,DEN,L (-7),1,39:29,.307,.283,6.3,17.0,11.3,49.1,1.2,0.0,13.3,29.7,80,106,8.3,-2.3
11,2018-11-28,30-016,OKC,HOME,CLE,W (+17),1,37:15,.643,.647,2.9,44.7,24.9,68.8,2.7,0.0,14.4,25.5,128,80,28.8,17.4
12,2018-11-30,30-018,OKC,HOME,ATL,W (+15),1,30:44,.652,.600,4.5,23.6,16.0,46.6,1.5,0.0,22.1,30.9,122,101,19.8,3.1
13,2018-12-03,30-021,OKC,AWAY,DET,W (+27),1,28:59,.491,.471,4.4,15.1,10.7,31.6,3.2,0.0,21.4,34.9,89,80,11.1,0.8
14,2018-12-05,30-023,OKC,AWAY,BRK,W (+2),1,39:41,.440,.435,4.7,29.7,17.3,64.0,1.2,0.0,7.7,25.4,119,108,22.3,7.0
15,2018-12-07,30-025,OKC,AWAY,CHI,L (-2),1,35:03,.498,.476,5.7,48.9,25.9,58.0,5.1,0.0,29.3,36.9,90,98,18.7,4.1
16,2018-12-10,30-028,OKC,HOME,UTA,W (+9),1,35:57,.279,.222,8.7,25.4,16.7,35.5,1.3,0.0,15.7,28.6,79,108,6.7,-8.1
17,2018-12-12,30-030,OKC,AWAY,NOP,L (-4),1,38:14,.549,.563,2.6,13.4,7.9,27.5,4.7,3.2,27.8,27.1,90,104,15.5,3.1
18,2018-12-14,30-032,OKC,AWAY,DEN,L (-11),1,36:15,.409,.367,2.4,47.8,20.4,34.9,5.6,2.7,20.1,22.7,90,97,14.2,5.7
19,2018-12-15,30-033,OKC,HOME,LAC,W (+6),1,36:00,.355,.324,5.7,25.2,14.3,43.6,7.8,0.0,17.9,26.7,87,91,15.0,5.3
20,2018-12-17,30-035,OKC,HOME,CHI,W (+25),1,31:32,.440,.385,13.5,40.6,27.1,47.3,7.5,0.0,21.3,23.3,108,76,19.4,10.5
21,2018-12-19,30-037,OKC,AWAY,SAC,W (+19),1,34:39,.430,.447,5.4,21.5,14.0,59.0,7.6,0.0,18.5,28.7,107,89,22.3,11.0
22,2018-12-22,30-040,OKC,AWAY,UTA,W (+1),1,34:56,.224,.176,0.0,31.1,17.4,32.6,4.0,0.0,25.1,28.4,57,95,1.8,-10.3
23,2018-12-23,30-041,OKC,HOME,MIN,L (-2),1,35:50,.554,.553,3.1,31.9,17.3,45.2,1.3,0.0,16.2,29.4,111,112,18.2,3.5
24,2018-12-25,30-043,OKC,AWAY,HOU,L (-4),1,37:55,.430,.350,6.9,14.9,10.7,32.2,4.9,2.4,19.7,31.5,92,104,15.9,2.3
25,2018-12-28,30-046,OKC,AWAY,PHO,W (+16),1,39:02,.632,.638,6.5,27.3,17.8,32.7,0.0,0.0,15.9,39.7,118,103,28.1,5.9
26,2018-12-30,30-048,OKC,AWAY,DAL,L (-2),1,37:35,.197,.182,0.0,28.0,13.1,29.3,7.4,0.0,17.9,31.4,49,89,3.3,-7.0
27,2018-12-31,30-049,OKC,HOME,DAL,W (+20),1,34:31,.601,.542,0.0,38.2,16.1,54.8,5.0,0.0,15.8,34.3,113,84,28.8,15.2
28,2019-01-02,30-051,OKC,AWAY,LAL,W (+7),1,35:59,.287,.175,2.1,36.4,18.1,37.1,2.4,4.3,14.1,29.2,72,82,10.0,0.3
29,2019-01-04,30-053,OKC,AWAY,POR,W (+2),1,37:09,.506,.464,0.0,23.7,11.7,39.0,1.3,0.0,8.9,37.7,104,107,20.6,3.6
30,2019-01-06,30-055,OKC,HOME,WAS,L (-18),1,37:10,.429,.435,5.6,33.6,20.2,63.7,0.0,2.0,23.8,39.4,84,111,14.2,-0.8
31,2019-01-08,30-057,OKC,HOME,MIN,L (-2),1,38:38,.546,.523,3.4,10.4,7.3,67.8,1.3,4.2,23.4,33.0,112,120,21.7,7.0
32,2019-01-10,30-059,OKC,AWAY,SAS,L (-7),1,49:35,.496,.500,4.5,32.2,16.5,62.2,1.9,0.0,11.0,23.1,128,126,30.7,7.8
33,2019-01-12,30-061,OKC,HOME,SAS,W (+10),1,32:44,.458,.396,6.4,22.1,14.8,34.4,2.8,0.0,13.2,39.3,94,104,15.9,-3.1
34,2019-01-15,30-064,OKC,AWAY,ATL,L (-16),1,35:30,.571,.476,5.5,15.5,9.7,50.5,6.4,0.0,6.9,31.8,131,128,31.6,11.9
35,2019-01-17,30-066,OKC,HOME,LAL,L (-10),1,43:21,.378,.317,3.8,19.9,10.3,49.0,1.1,2.1,8.0,33.9,96,120,15.9,-1.9
36,2019-01-19,30-068,OKC,AWAY,PHI,W (+2),1,36:52,.436,.405,8.5,19.8,14.2,25.5,1.3,0.0,14.2,31.9,94,115,11.3,-5.8
37,2019-01-21,30-070,OKC,AWAY,NYK,W (+18),1,28:44,.599,.542,14.3,23.4,19.7,43.0,0.0,0.0,17.4,25.5,132,110,16.9,3.9
38,2019-01-22,30-071,OKC,HOME,POR,W (+9),1,36:43,.574,.475,6.4,21.8,14.7,58.6,1.3,0.0,16.5,36.1,120,115,25.8,4.6
39,2019-01-24,30-073,OKC,HOME,NOP,W (+6),1,36:41,.511,.500,2.7,41.1,22.5,54.8,2.4,0.0,15.1,28.4,116,102,25.2,7.5
40,2019-01-27,30-076,OKC,HOME,MIL,W (+6),1,36:05,.311,.300,2.6,31.9,17.1,39.2,1.3,2.5,16.1,28.5,81,103,9.1,-4.6
41,2019-01-29,30-078,OKC,AWAY,ORL,W (+9),1,38:21,.666,.625,3.1,29.6,18.3,43.5,0.0,2.1,22.4,25.5,125,111,24.7,6.2
42,2019-02-01,30-081,OKC,AWAY,MIA,W (+16),1,31:55,.574,.600,3.1,34.5,18.6,60.2,1.5,2.7,24.7,21.3,122,96,19.7,10.5
43,2019-02-03,30-083,OKC,AWAY,BOS,L (-5),1,37:06,.488,.447,5.9,35.9,19.4,59.7,2.5,0.0,15.1,29.1,116,127,22.7,3.7
44,2019-02-05,30-085,OKC,HOME,ORL,W (+10),1,35:47,.435,.357,3.4,38.3,22.6,54.6,1.2,2.5,27.6,27.2,96,104,16.2,0.4
45,2019-02-07,30-087,OKC,HOME,MEM,W (+22),1,33:14,.402,.344,3.0,42.3,21.1,60.6,5.8,0.0,5.1,25.6,119,85,21.6,9.9
46,2019-02-09,30-089,OKC,AWAY,HOU,W (+5),1,38:24,.453,.405,0.0,31.3,16.3,45.8,2.4,3.0,30.1,34.2,83,102,11.9,-2.6
47,2019-02-11,30-091,OKC,HOME,POR,W (+9),1,36:53,.425,.289,6.1,32.5,20.0,41.5,1.3,4.5,19.5,36.1,94,103,16.0,-2.0
48,2019-02-14,30-094,OKC,AWAY,NOP,L (-9),1,39:02,.693,.667,6.7,30.7,17.4,48.5,1.2,3.7,13.6,36.2,133,121,39.5,18.8
49,2019-02-22,30-102,OKC,HOME,UTA,W (+1),1,42:54,.644,.621,4.7,37.4,19.5,31.2,2.2,2.1,13.0,37.1,120,112,33.7,11.0
50,2019-02-23,30-103,OKC,HOME,SAC,L (-3),1,35:19,.612,.583,2.4,24.5,12.8,27.7,1.2,1.7,17.3,41.9,108,104,24.1,10.9
51,2019-02-26,30-106,OKC,AWAY,DEN,L (-9),1,35:33,.628,.643,10.8,31.4,20.3,37.7,0.0,0.0,28.5,26.9,103,115,16.9,1.2
52,2019-02-28,30-108,OKC,HOME,PHI,L (-4),1,37:31,.411,.354,0.0,32.0,16.0,50.7,1.3,2.1,12.5,36.7,88,102,15.7,0.7
53,2019-03-02,30-110,OKC,AWAY,SAS,L (-14),1,33:45,.473,.441,2.9,25.3,13.6,37.9,1.4,0.0,25.8,34.5,85,115,10.6,-3.2
54,2019-03-03,30-111,OKC,HOME,MEM,W (+4),1,35:31,.486,.450,4.7,13.5,8.4,28.7,4.0,2.4,15.0,29.6,96,89,14.6,6.9
55,2019-03-05,30-113,OKC,AWAY,MIN,L (-11),1,38:27,.611,.625,4.4,34.3,16.7,32.2,0.0,0.0,6.0,34.5,127,129,28.5,9.1
56,2019-03-07,30-115,OKC,AWAY,POR,W (+8),1,40:04,.604,.589,2.5,14.2,8.5,13.5,0.0,0.0,20.7,38.1,103,111,16.8,2.1
