,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-12-07,20-193,PHO,HOME,MIA,L (-17),1,24:44,.636,.611,0.0,13.2,7.1,27.5,1.9,0.0,29.8,24.6,91,116,6.8,-3.6
1,2018-12-10,20-196,PHO,HOME,LAC,L (-4),1,35:48,.375,.313,3.5,11.1,7.2,29.9,2.8,0.0,10.4,24.3,94,119,9.8,-7.5
2,2018-12-11,20-197,PHO,AWAY,SAS,L (-25),1,33:14,.531,.531,3.1,21.7,11.8,37.9,3.0,0.0,23.8,28.8,89,112,11.9,1.2
3,2018-12-13,20-199,PHO,HOME,DAL,W (+10),1,21:21,.000,.000,0.0,5.4,2.4,6.1,6.9,10.0,42.9,13.9,8,84,-1.6,-8.8
4,2018-12-15,20-201,PHO,HOME,MIN,W (+8),1,21:12,.750,.750,0.0,13.3,7.4,35.4,4.5,0.0,33.3,17.9,106,94,8.6,5.2
5,2018-12-17,20-203,PHO,AWAY,NYK,W (+18),1,20:44,.375,.375,0.0,4.1,2.5,10.1,2.2,0.0,20.0,10.4,75,110,1.9,-7.5
6,2018-12-19,20-205,PHO,AWAY,BOS,W (+8),1,16:26,.000,.000,6.0,0.0,3.1,35.6,3.0,0.0,60.0,11.9,56,110,0.0,-8.2
7,2018-12-22,20-208,PHO,AWAY,WAS,L (-3),1,19:58,1.000,1.000,5.7,6.6,6.1,22.3,7.8,0.0,16.7,13.2,168,114,12.4,15.7
8,2018-12-23,20-209,PHO,AWAY,BRK,L (-8),1,25:24,.000,.000,0.0,8.4,4.2,4.4,1.9,0.0,0.0,10.5,11,115,-3.1,-16.5
9,2018-12-26,20-212,PHO,AWAY,ORL,W (+2),1,18:11,.667,.667,0.0,19.4,10.1,6.9,0.0,4.9,40.0,12.1,83,115,1.4,-9.4
10,2018-12-28,20-214,PHO,HOME,OKC,L (-16),1,24:27,.340,.200,8.7,5.2,7.1,10.6,1.9,2.6,33.8,15.3,68,117,1.9,-9.8
11,2018-12-29,20-215,PHO,HOME,DEN,L (-4),1,30:19,.250,.250,0.0,13.6,6.2,13.8,4.9,0.0,0.0,14.4,82,123,3.9,-8.7
12,2018-12-31,20-217,PHO,HOME,GSW,L (-23),1,26:43,.595,.500,4.1,9.5,6.6,10.8,7.0,3.2,0.0,9.5,137,114,9.7,5.7
13,2019-01-02,20-219,PHO,HOME,PHI,L (-5),1,22:40,.644,.583,4.3,13.2,7.8,17.3,4.0,4.2,34.0,19.8,97,119,7.9,1.2
14,2019-01-04,20-221,PHO,HOME,LAC,L (-10),1,16:06,.583,.583,0.0,0.0,0.0,18.6,3.1,5.0,0.0,16.9,128,128,6.7,3.8
15,2019-01-06,20-223,PHO,HOME,CHO,L (-6),1,26:28,.625,.625,0.0,27.0,15.5,18.4,1.8,0.0,33.3,10.3,101,111,4.9,-5.0
16,2019-01-08,20-225,PHO,HOME,SAC,W (+4),1,31:28,.506,.500,3.8,11.4,7.6,31.4,5.9,6.0,28.8,18.4,96,101,12.7,3.5
17,2019-01-09,20-226,PHO,AWAY,DAL,L (-10),1,24:50,.400,.400,0.0,15.3,7.3,36.1,3.9,10.7,28.6,12.5,86,98,5.4,0.5
18,2019-01-12,20-229,PHO,HOME,DEN,W (+9),1,32:25,.127,.000,2.9,6.2,4.5,39.0,6.2,2.6,20.2,13.1,73,93,6.5,-1.2
19,2019-01-15,20-232,PHO,AWAY,IND,L (-34),1,22:03,.214,.214,8.2,10.4,9.2,46.0,2.0,6.8,30.0,17.9,71,117,4.7,-0.1
20,2019-01-17,20-234,PHO,AWAY,TOR,L (-2),1,16:07,.250,.250,0.0,22.3,10.5,18.0,3.0,5.1,0.0,10.3,85,106,2.0,-4.5
21,2019-01-19,20-236,PHO,AWAY,CHO,L (-20),1,13:14,1.500,1.500,0.0,11.0,4.6,20.5,0.0,6.7,50.0,6.7,141,140,3.7,0.7
22,2019-01-20,20-237,PHO,AWAY,MIN,L (-2),1,13:03,.500,.500,8.8,9.0,8.9,33.8,3.5,0.0,20.0,16.0,111,110,3.9,-1.3
23,2019-01-22,20-239,PHO,HOME,MIN,L (-27),1,22:16,.333,.333,0.0,4.4,2.2,19.8,4.3,0.0,14.3,14.0,71,117,4.0,-5.9
24,2019-01-24,20-241,PHO,HOME,POR,L (-14),1,11:43,.500,.500,8.5,9.3,8.9,0.0,0.0,0.0,50.0,14.1,59,124,-1.2,-18.7
25,2019-03-16,20-292,PHO,AWAY,NOP,W (+2),1,28:51,.429,.429,0.0,26.7,14.0,20.2,4.5,0.0,12.5,10.7,100,100,8.6,-0.8
26,2019-03-18,20-294,PHO,HOME,CHI,L (-15),1,21:45,.000,.000,0.0,11.0,5.1,22.6,2.3,0.0,33.3,6.2,59,118,1.2,-8.6
27,2019-03-23,20-299,PHO,AWAY,SAC,L (-9),1,21:34,.750,.750,0.0,14.5,7.1,19.8,2.2,8.2,50.0,7.8,87,108,3.8,-1.6
28,2019-03-25,20-301,PHO,AWAY,UTA,L (-33),1,22:15,.000,.000,0.0,17.5,8.2,7.0,2.2,0.0,51.5,7.7,13,126,-1.3,-12.0
29,2019-03-27,20-303,PHO,HOME,WAS,L (-3),1,21:37,.500,.500,0.0,8.5,4.4,23.0,4.3,0.0,33.3,11.7,94,119,4.6,-3.7
30,2019-03-30,20-306,PHO,HOME,MEM,L (-5),1,17:35,.500,.500,0.0,5.7,3.2,13.6,5.4,8.5,33.3,7.4,92,110,4.3,3.5
